Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Getafe,Celta Vigo,Real Sociedad,Osasuna,Athletic Club,Rayo Vallecano,Valencia,Espanyol,Elche,Girona,Alavés,Mallorca,Sevilla,Levante,Real Oviedo
9996.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9981.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,9463.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,522.0,9448.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,30.0,8959.0,239.0,504.0,225.0,40.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,808.0,2168.0,4443.0,1601.0,707.0,162.0,23.0,22.0,24.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,168.0,2619.0,2587.0,2368.0,1484.0,329.0,125.0,78.0,103.0,44.0,79.0,10.0,6.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,32.0,2169.0,1319.0,2466.0,1914.0,821.0,277.0,266.0,305.0,132.0,244.0,34.0,20.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,1531.0,632.0,1474.0,2276.0,1310.0,609.0,512.0,584.0,407.0,466.0,129.0,64.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,702.0,293.0,868.0,1489.0,1738.0,1107.0,911.0,863.0,731.0,830.0,248.0,206.0,6.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,336.0,139.0,478.0,918.0,1544.0,1290.0,1211.0,1083.0,1078.0,1085.0,457.0,344.0,16.0,21.0,0.0
0.0,0.0,0.0,0.0,0.0,137.0,55.0,279.0,572.0,1276.0,1389.0,1305.0,1293.0,1241.0,1174.0,658.0,536.0,33.0,52.0,0.0
0.0,0.0,0.0,0.0,0.0,70.0,18.0,135.0,326.0,1041.0,1213.0,1456.0,1384.0,1376.0,1249.0,782.0,759.0,99.0,92.0,0.0
0.0,0.0,0.0,0.0,0.0,21.0,7.0,67.0,177.0,758.0,1248.0,1343.0,1345.0,1376.0,1301.0,1011.0,1025.0,152.0,169.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,3.0,32.0,72.0,515.0,1135.0,1253.0,1205.0,1327.0,1199.0,1317.0,1301.0,333.0,301.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,23.0,336.0,876.0,928.0,968.0,1079.0,1088.0,1782.0,1678.0,631.0,599.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,149.0,537.0,525.0,580.0,826.0,833.0,1990.0,1917.0,1294.0,1333.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,154.0,165.0,225.0,296.0,352.0,1158.0,1395.0,3061.0,3085.0,92.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,25.0,37.0,61.0,84.0,408.0,694.0,4159.0,4044.0,468.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,55.0,213.0,295.0,9421.0
