FC Porto,Sporting CP,Maritimo,Santa Clara,Arouca,Gil Vicente,Benfica,C.D. Nacional,Vitória de Guimaraes,Rio Ave,Estrela,Académico de Viseu,Braga,FC Famalicao,Moreirense,Estoril,Alverca,Casa Pia
4531.0,3092.0,6.0,0.0,0.0,1.0,2346.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0
3103.0,3620.0,23.0,0.0,0.0,4.0,3129.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0,0.0,0.0
2185.0,3029.0,53.0,2.0,2.0,61.0,4001.0,0.0,1.0,0.0,0.0,8.0,642.0,16.0,0.0,0.0,0.0,0.0
175.0,244.0,465.0,191.0,198.0,1763.0,476.0,78.0,13.0,0.0,9.0,151.0,5801.0,427.0,0.0,9.0,0.0,0.0
4.0,15.0,743.0,670.0,802.0,3312.0,42.0,361.0,100.0,10.0,44.0,356.0,2054.0,1391.0,18.0,70.0,8.0,0.0
2.0,0.0,767.0,1189.0,1358.0,2050.0,5.0,683.0,253.0,60.0,149.0,431.0,787.0,1955.0,64.0,209.0,38.0,0.0
0.0,0.0,738.0,1510.0,1517.0,1190.0,1.0,994.0,439.0,126.0,299.0,377.0,342.0,1796.0,133.0,427.0,111.0,0.0
0.0,0.0,694.0,1602.0,1414.0,724.0,0.0,1290.0,581.0,218.0,477.0,448.0,126.0,1390.0,221.0,639.0,174.0,2.0
0.0,0.0,729.0,1335.0,1312.0,424.0,0.0,1377.0,856.0,336.0,671.0,487.0,56.0,972.0,363.0,789.0,288.0,5.0
0.0,0.0,682.0,1117.0,1053.0,212.0,0.0,1309.0,1022.0,504.0,870.0,520.0,28.0,758.0,521.0,990.0,403.0,11.0
0.0,0.0,663.0,835.0,756.0,118.0,0.0,1165.0,1176.0,733.0,1010.0,558.0,10.0,534.0,705.0,1117.0,593.0,27.0
0.0,0.0,651.0,612.0,592.0,67.0,0.0,885.0,1225.0,938.0,1146.0,635.0,5.0,338.0,931.0,1172.0,746.0,57.0
0.0,0.0,660.0,396.0,405.0,42.0,0.0,686.0,1170.0,1165.0,1248.0,629.0,4.0,212.0,1056.0,1229.0,984.0,114.0
0.0,0.0,626.0,266.0,255.0,24.0,0.0,508.0,1104.0,1373.0,1203.0,683.0,2.0,112.0,1295.0,1060.0,1248.0,241.0
0.0,0.0,648.0,145.0,181.0,6.0,0.0,336.0,875.0,1463.0,1149.0,800.0,0.0,64.0,1415.0,966.0,1524.0,428.0
0.0,0.0,672.0,84.0,92.0,1.0,0.0,204.0,680.0,1451.0,923.0,962.0,0.0,29.0,1552.0,723.0,1716.0,911.0
0.0,0.0,702.0,41.0,50.0,1.0,0.0,102.0,391.0,1204.0,614.0,1408.0,0.0,4.0,1271.0,457.0,1531.0,2224.0
0.0,0.0,478.0,5.0,13.0,0.0,0.0,22.0,114.0,419.0,188.0,1545.0,0.0,2.0,455.0,143.0,636.0,5980.0
