AZ Alkmaar,Go Ahead Eagles,PSV Eindhoven,Feyenoord Rotterdam,FC Groningen,Ajax Amsterdam,Sparta Rotterdam,Fortuna Sittard,Heerenveen,Excelsior,NEC Nijmegen,FC Twente,Telstar,PEC Zwolle,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
408.0,34.0,7819.0,737.0,13.0,474.0,0.0,1.0,6.0,2.0,240.0,256.0,3.0,0.0,3.0,3.0,1.0,0.0
1415.0,261.0,1388.0,2687.0,158.0,1722.0,0.0,1.0,60.0,18.0,1077.0,1138.0,17.0,0.0,51.0,4.0,2.0,1.0
1572.0,543.0,482.0,2073.0,287.0,1874.0,0.0,3.0,133.0,48.0,1382.0,1449.0,34.0,0.0,97.0,14.0,6.0,3.0
1618.0,756.0,199.0,1545.0,505.0,1593.0,4.0,13.0,233.0,86.0,1576.0,1529.0,99.0,0.0,222.0,9.0,7.0,6.0
1402.0,1009.0,68.0,1064.0,823.0,1377.0,12.0,20.0,434.0,185.0,1515.0,1509.0,152.0,0.0,391.0,15.0,16.0,8.0
1169.0,1281.0,29.0,731.0,985.0,1063.0,26.0,64.0,703.0,316.0,1220.0,1387.0,330.0,0.0,637.0,29.0,15.0,15.0
881.0,1358.0,10.0,527.0,1282.0,761.0,43.0,119.0,946.0,513.0,1085.0,996.0,507.0,8.0,894.0,28.0,19.0,23.0
627.0,1290.0,3.0,324.0,1423.0,508.0,108.0,243.0,1219.0,715.0,775.0,725.0,736.0,28.0,1162.0,59.0,30.0,25.0
405.0,1146.0,2.0,167.0,1381.0,318.0,196.0,418.0,1410.0,1070.0,499.0,471.0,955.0,56.0,1342.0,76.0,59.0,29.0
253.0,889.0,0.0,83.0,1206.0,163.0,390.0,647.0,1463.0,1239.0,321.0,272.0,1303.0,117.0,1419.0,107.0,79.0,49.0
146.0,665.0,0.0,41.0,833.0,96.0,662.0,1008.0,1251.0,1492.0,159.0,168.0,1524.0,278.0,1338.0,146.0,110.0,83.0
64.0,421.0,0.0,17.0,544.0,32.0,1106.0,1482.0,960.0,1514.0,97.0,63.0,1549.0,539.0,1075.0,205.0,176.0,156.0
28.0,222.0,0.0,3.0,330.0,12.0,1711.0,1847.0,648.0,1344.0,38.0,28.0,1294.0,978.0,755.0,283.0,241.0,238.0
8.0,83.0,0.0,1.0,166.0,7.0,2244.0,1952.0,347.0,812.0,12.0,6.0,886.0,1761.0,398.0,522.0,438.0,357.0
4.0,31.0,0.0,0.0,50.0,0.0,2036.0,1361.0,138.0,456.0,3.0,2.0,426.0,3158.0,161.0,745.0,784.0,645.0
0.0,9.0,0.0,0.0,12.0,0.0,1072.0,643.0,37.0,151.0,1.0,1.0,149.0,2063.0,44.0,2045.0,2007.0,1766.0
0.0,2.0,0.0,0.0,2.0,0.0,337.0,160.0,12.0,34.0,0.0,0.0,31.0,871.0,9.0,2809.0,2957.0,2776.0
0.0,0.0,0.0,0.0,0.0,0.0,53.0,18.0,0.0,5.0,0.0,0.0,5.0,143.0,2.0,2901.0,3053.0,3820.0
