Millwall,West Bromwich Albion,Charlton Athletic,Wolverhampton Wanderers,Queens Park Rangers,Blackburn Rovers,Watford,Swansea City,Bolton Wanderers,Portsmouth,Middlesbrough,Cardiff City,Wrexham,Birmingham City,Sheffield United,West Ham United,Derby County,Burnley,Bristol City,Lincoln City,Preston North End,Stoke City,Norwich City,Southampton
1552.0,16.0,2.0,3226.0,4.0,2.0,1.0,33.0,118.0,1.0,651.0,101.0,39.0,25.0,50.0,1702.0,69.0,1302.0,6.0,21.0,0.0,0.0,30.0,1049.0
2249.0,75.0,18.0,1394.0,22.0,8.0,12.0,140.0,177.0,5.0,1232.0,144.0,107.0,92.0,111.0,1121.0,195.0,1046.0,22.0,57.0,1.0,3.0,94.0,1675.0
2028.0,180.0,48.0,823.0,55.0,27.0,11.0,253.0,177.0,16.0,1576.0,124.0,217.0,155.0,204.0,812.0,346.0,765.0,50.0,47.0,3.0,2.0,223.0,1858.0
1444.0,334.0,82.0,650.0,123.0,58.0,47.0,384.0,189.0,29.0,1570.0,144.0,404.0,276.0,369.0,624.0,485.0,639.0,105.0,62.0,13.0,9.0,375.0,1585.0
971.0,452.0,178.0,512.0,154.0,88.0,82.0,567.0,188.0,55.0,1316.0,162.0,518.0,377.0,569.0,565.0,699.0,554.0,164.0,84.0,30.0,19.0,508.0,1188.0
641.0,593.0,213.0,390.0,241.0,176.0,111.0,636.0,193.0,97.0,1034.0,206.0,663.0,538.0,672.0,464.0,768.0,469.0,244.0,106.0,34.0,46.0,623.0,842.0
381.0,689.0,316.0,355.0,302.0,204.0,159.0,652.0,245.0,133.0,718.0,170.0,723.0,622.0,767.0,411.0,883.0,427.0,325.0,81.0,61.0,65.0,741.0,570.0
251.0,786.0,339.0,282.0,398.0,273.0,223.0,822.0,233.0,161.0,518.0,158.0,760.0,645.0,862.0,345.0,856.0,363.0,362.0,83.0,85.0,108.0,727.0,360.0
179.0,748.0,442.0,251.0,446.0,309.0,261.0,803.0,203.0,230.0,395.0,177.0,784.0,743.0,778.0,325.0,768.0,351.0,477.0,96.0,136.0,120.0,732.0,246.0
102.0,756.0,532.0,227.0,501.0,390.0,334.0,762.0,187.0,277.0,273.0,191.0,729.0,745.0,765.0,276.0,714.0,342.0,508.0,108.0,162.0,157.0,763.0,199.0
74.0,704.0,583.0,191.0,533.0,477.0,436.0,718.0,223.0,388.0,200.0,174.0,700.0,723.0,707.0,264.0,696.0,282.0,540.0,98.0,188.0,208.0,755.0,138.0
42.0,645.0,603.0,198.0,650.0,551.0,489.0,626.0,223.0,367.0,140.0,215.0,668.0,741.0,673.0,254.0,612.0,273.0,621.0,116.0,278.0,286.0,649.0,80.0
23.0,652.0,699.0,173.0,614.0,563.0,505.0,626.0,230.0,501.0,95.0,233.0,612.0,623.0,573.0,230.0,601.0,267.0,689.0,134.0,320.0,330.0,649.0,58.0
22.0,626.0,689.0,140.0,703.0,600.0,641.0,576.0,272.0,501.0,87.0,220.0,539.0,616.0,558.0,227.0,496.0,253.0,713.0,146.0,401.0,377.0,557.0,40.0
18.0,538.0,714.0,147.0,694.0,687.0,696.0,478.0,248.0,609.0,73.0,258.0,533.0,580.0,474.0,254.0,405.0,242.0,681.0,164.0,483.0,459.0,528.0,37.0
7.0,507.0,690.0,112.0,744.0,734.0,690.0,449.0,289.0,681.0,40.0,252.0,435.0,545.0,454.0,245.0,349.0,226.0,679.0,202.0,626.0,564.0,450.0,30.0
9.0,455.0,730.0,142.0,708.0,752.0,754.0,387.0,306.0,742.0,29.0,337.0,401.0,458.0,386.0,206.0,283.0,229.0,706.0,215.0,681.0,665.0,398.0,21.0
3.0,384.0,702.0,140.0,681.0,790.0,806.0,330.0,379.0,829.0,25.0,349.0,342.0,384.0,307.0,218.0,270.0,254.0,647.0,264.0,770.0,763.0,350.0,13.0
2.0,308.0,621.0,100.0,677.0,776.0,862.0,270.0,413.0,868.0,12.0,371.0,292.0,378.0,257.0,258.0,182.0,272.0,650.0,282.0,932.0,933.0,276.0,8.0
2.0,232.0,604.0,124.0,625.0,764.0,848.0,206.0,525.0,941.0,6.0,465.0,212.0,282.0,174.0,204.0,142.0,256.0,625.0,364.0,1076.0,1088.0,233.0,2.0
0.0,171.0,501.0,135.0,456.0,706.0,801.0,142.0,597.0,958.0,6.0,640.0,166.0,240.0,155.0,242.0,90.0,317.0,531.0,506.0,1203.0,1261.0,175.0,1.0
0.0,93.0,399.0,114.0,420.0,620.0,678.0,91.0,1026.0,846.0,4.0,955.0,99.0,134.0,77.0,276.0,51.0,301.0,352.0,899.0,1224.0,1232.0,109.0,0.0
0.0,45.0,234.0,107.0,191.0,346.0,424.0,39.0,1558.0,612.0,0.0,1712.0,47.0,66.0,50.0,291.0,30.0,340.0,231.0,1751.0,939.0,941.0,46.0,0.0
0.0,11.0,61.0,67.0,58.0,99.0,129.0,10.0,1801.0,153.0,0.0,2242.0,10.0,12.0,8.0,186.0,10.0,230.0,72.0,4114.0,354.0,364.0,9.0,0.0
