Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Coritiba,Atlético-MG,Corinthians,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
5542.0,4434.0,13.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4282.0,5371.0,181.0,98.0,63.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.0,175.0,4025.0,3134.0,1832.0,282.0,82.0,6.0,199.0,14.0,85.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
13.0,17.0,2693.0,2875.0,2383.0,786.0,312.0,31.0,533.0,68.0,273.0,1.0,10.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,3.0,1640.0,1994.0,2277.0,1434.0,692.0,99.0,959.0,189.0,642.0,3.0,44.0,6.0,6.0,0.0,11.0,0.0,0.0,0.0
0.0,0.0,833.0,968.0,1489.0,1986.0,1181.0,285.0,1411.0,421.0,1207.0,14.0,115.0,24.0,25.0,3.0,37.0,0.0,1.0,0.0
0.0,0.0,359.0,483.0,961.0,1744.0,1514.0,506.0,1708.0,789.0,1468.0,36.0,240.0,37.0,57.0,8.0,89.0,0.0,1.0,0.0
0.0,0.0,158.0,243.0,522.0,1413.0,1571.0,771.0,1626.0,1184.0,1568.0,89.0,437.0,98.0,115.0,24.0,175.0,2.0,4.0,0.0
0.0,0.0,67.0,109.0,245.0,1009.0,1538.0,1122.0,1333.0,1415.0,1475.0,180.0,700.0,183.0,215.0,63.0,317.0,3.0,26.0,0.0
0.0,0.0,15.0,54.0,134.0,628.0,1206.0,1446.0,884.0,1574.0,1209.0,306.0,1043.0,348.0,377.0,139.0,563.0,22.0,52.0,0.0
0.0,0.0,14.0,18.0,64.0,360.0,813.0,1508.0,588.0,1431.0,866.0,560.0,1391.0,553.0,613.0,282.0,798.0,45.0,96.0,0.0
0.0,0.0,0.0,10.0,25.0,189.0,517.0,1457.0,367.0,1083.0,545.0,836.0,1506.0,722.0,927.0,495.0,1088.0,71.0,162.0,0.0
0.0,0.0,1.0,1.0,4.0,92.0,270.0,1060.0,192.0,719.0,316.0,1109.0,1362.0,1129.0,1219.0,755.0,1278.0,185.0,308.0,0.0
0.0,0.0,1.0,3.0,0.0,46.0,165.0,731.0,118.0,503.0,167.0,1319.0,1104.0,1331.0,1343.0,1024.0,1361.0,315.0,469.0,0.0
0.0,0.0,0.0,0.0,0.0,23.0,79.0,492.0,52.0,307.0,101.0,1400.0,848.0,1465.0,1330.0,1238.0,1367.0,562.0,734.0,2.0
0.0,0.0,0.0,0.0,0.0,3.0,39.0,286.0,21.0,180.0,45.0,1420.0,567.0,1341.0,1338.0,1550.0,1149.0,983.0,1070.0,8.0
0.0,0.0,0.0,0.0,0.0,2.0,13.0,132.0,9.0,86.0,22.0,1316.0,350.0,1218.0,1129.0,1718.0,878.0,1517.0,1591.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,57.0,0.0,25.0,9.0,953.0,208.0,955.0,822.0,1636.0,565.0,2439.0,2267.0,57.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,12.0,1.0,444.0,74.0,575.0,472.0,1028.0,315.0,3648.0,3088.0,332.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,11.0,37.0,6.0,208.0,131.0,9582.0
