Brighton & Hove Albion,Arsenal,Brentford,Everton,Hull City,Chelsea,Ipswich Town,Manchester City,Leeds United,Liverpool,Newcastle United,Fulham,AFC Bournemouth,Sunderland,Nottingham Forest,Crystal Palace,Manchester United,Coventry City,Tottenham Hotspur,Aston Villa
39.0,6589.0,8.0,1.0,106.0,6.0,46.0,3133.0,1.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,56.0,4.0,0.0,0.0
307.0,2958.0,124.0,27.0,217.0,79.0,147.0,5543.0,19.0,109.0,5.0,2.0,40.0,2.0,8.0,0.0,391.0,11.0,0.0,11.0
1805.0,350.0,900.0,270.0,539.0,555.0,419.0,973.0,213.0,1006.0,119.0,48.0,420.0,18.0,149.0,3.0,1969.0,52.0,3.0,189.0
1669.0,79.0,1063.0,419.0,423.0,762.0,319.0,233.0,386.0,1163.0,212.0,120.0,613.0,38.0,250.0,9.0,1834.0,66.0,5.0,337.0
1329.0,19.0,1109.0,601.0,353.0,863.0,299.0,74.0,508.0,1223.0,330.0,152.0,750.0,78.0,367.0,9.0,1406.0,60.0,12.0,458.0
1102.0,3.0,1093.0,675.0,361.0,992.0,281.0,26.0,568.0,1060.0,439.0,208.0,806.0,127.0,447.0,21.0,1073.0,82.0,34.0,602.0
954.0,0.0,1024.0,732.0,318.0,945.0,282.0,8.0,634.0,984.0,532.0,336.0,906.0,157.0,546.0,45.0,803.0,65.0,62.0,667.0
712.0,1.0,884.0,818.0,368.0,931.0,282.0,5.0,804.0,878.0,624.0,387.0,904.0,196.0,616.0,74.0,606.0,87.0,91.0,732.0
527.0,1.0,829.0,824.0,351.0,879.0,296.0,1.0,805.0,747.0,732.0,465.0,845.0,319.0,698.0,104.0,514.0,100.0,129.0,834.0
444.0,0.0,696.0,886.0,362.0,765.0,322.0,2.0,853.0,646.0,779.0,590.0,873.0,394.0,798.0,153.0,393.0,105.0,190.0,749.0
349.0,0.0,591.0,807.0,387.0,744.0,361.0,1.0,896.0,509.0,825.0,674.0,777.0,513.0,788.0,239.0,302.0,121.0,251.0,865.0
255.0,0.0,456.0,789.0,387.0,611.0,356.0,1.0,829.0,498.0,870.0,817.0,694.0,662.0,863.0,290.0,225.0,175.0,349.0,873.0
179.0,0.0,403.0,717.0,403.0,556.0,398.0,0.0,844.0,395.0,900.0,935.0,663.0,734.0,829.0,408.0,163.0,180.0,476.0,817.0
132.0,0.0,285.0,672.0,460.0,427.0,450.0,0.0,683.0,279.0,863.0,981.0,557.0,989.0,901.0,583.0,120.0,218.0,623.0,777.0
109.0,0.0,211.0,610.0,493.0,333.0,524.0,0.0,648.0,185.0,832.0,1022.0,438.0,1092.0,827.0,818.0,67.0,302.0,856.0,633.0
47.0,0.0,162.0,464.0,560.0,226.0,608.0,0.0,491.0,138.0,711.0,950.0,305.0,1293.0,725.0,1164.0,38.0,359.0,1192.0,567.0
21.0,0.0,89.0,362.0,729.0,159.0,730.0,0.0,401.0,98.0,570.0,951.0,218.0,1222.0,516.0,1483.0,24.0,509.0,1508.0,410.0
16.0,0.0,55.0,208.0,867.0,111.0,902.0,0.0,262.0,48.0,397.0,762.0,124.0,1141.0,381.0,1895.0,11.0,802.0,1725.0,293.0
4.0,0.0,16.0,90.0,1255.0,48.0,1478.0,0.0,125.0,23.0,202.0,458.0,55.0,769.0,227.0,1855.0,5.0,1541.0,1701.0,148.0
0.0,0.0,2.0,28.0,1061.0,8.0,1500.0,0.0,30.0,3.0,57.0,142.0,11.0,256.0,63.0,847.0,0.0,5161.0,793.0,38.0
