Marseille,Lens,Lille,Lyon,AS Monaco,Brest,Le Mans,Paris Saint-Germain,Stade Rennais,Lorient,Nice,Paris FC,Troyes,Le Havre AC,Toulouse,Angers,AJ Auxerre,Strasbourg
383.0,2893.0,347.0,194.0,37.0,0.0,41.0,6018.0,48.0,3.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,10.0
1230.0,3812.0,1032.0,676.0,175.0,0.0,69.0,2613.0,226.0,14.0,0.0,27.0,57.0,0.0,7.0,0.0,2.0,60.0
2096.0,1691.0,2037.0,1416.0,576.0,5.0,150.0,873.0,591.0,90.0,1.0,92.0,93.0,2.0,43.0,0.0,7.0,237.0
1848.0,864.0,1972.0,1782.0,927.0,20.0,182.0,326.0,935.0,211.0,1.0,223.0,128.0,3.0,118.0,0.0,17.0,443.0
1534.0,391.0,1527.0,1768.0,1239.0,43.0,206.0,108.0,1321.0,412.0,1.0,362.0,146.0,16.0,195.0,0.0,44.0,687.0
1059.0,195.0,1207.0,1360.0,1509.0,111.0,255.0,39.0,1397.0,593.0,4.0,618.0,196.0,37.0,359.0,0.0,111.0,950.0
711.0,100.0,743.0,1043.0,1462.0,198.0,300.0,15.0,1428.0,887.0,14.0,858.0,204.0,86.0,563.0,3.0,207.0,1178.0
509.0,30.0,464.0,712.0,1201.0,365.0,346.0,5.0,1218.0,1135.0,30.0,1121.0,302.0,158.0,806.0,15.0,309.0,1274.0
308.0,14.0,296.0,449.0,1017.0,535.0,394.0,2.0,957.0,1297.0,61.0,1309.0,328.0,287.0,1020.0,25.0,459.0,1242.0
158.0,8.0,216.0,248.0,725.0,722.0,481.0,1.0,755.0,1291.0,135.0,1283.0,375.0,466.0,1224.0,60.0,683.0,1169.0
81.0,0.0,88.0,170.0,501.0,1034.0,525.0,0.0,476.0,1218.0,237.0,1204.0,468.0,633.0,1277.0,158.0,1028.0,902.0
48.0,2.0,42.0,93.0,309.0,1284.0,539.0,0.0,281.0,1002.0,432.0,1073.0,551.0,978.0,1247.0,216.0,1179.0,724.0
25.0,0.0,16.0,57.0,173.0,1413.0,639.0,0.0,167.0,765.0,691.0,777.0,686.0,1212.0,1039.0,420.0,1408.0,512.0
8.0,0.0,10.0,20.0,91.0,1379.0,714.0,0.0,110.0,515.0,1080.0,503.0,715.0,1471.0,918.0,752.0,1408.0,306.0
2.0,0.0,3.0,10.0,33.0,1188.0,830.0,0.0,55.0,320.0,1579.0,303.0,864.0,1620.0,611.0,1165.0,1237.0,180.0
0.0,0.0,0.0,1.0,19.0,892.0,976.0,0.0,25.0,151.0,1988.0,155.0,1054.0,1404.0,324.0,1893.0,1028.0,90.0
0.0,0.0,0.0,1.0,5.0,563.0,1209.0,0.0,10.0,78.0,2138.0,73.0,1390.0,1052.0,176.0,2669.0,605.0,31.0
0.0,0.0,0.0,0.0,1.0,248.0,2144.0,0.0,0.0,18.0,1608.0,15.0,2421.0,575.0,73.0,2624.0,268.0,5.0
