Flamengo,Palmeiras,Athletico Paranaense,Bahia,Fluminense,Cruzeiro,Atlético-MG,Coritiba,Red Bull Bragantino,Santos,Botafogo,São Paulo,Vitória,Corinthians,Mirassol,Grêmio,Vasco da Gama,Internacional,Remo,Chapecoense
7093.0,2903.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2897.0,6998.0,70.0,6.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,92.0,5155.0,1186.0,2333.0,949.0,225.0,9.0,14.0,4.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,2492.0,2050.0,3013.0,1671.0,573.0,35.0,48.0,14.0,62.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1270.0,2429.0,2228.0,2108.0,1256.0,120.0,186.0,58.0,250.0,86.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,637.0,2082.0,1354.0,2184.0,1902.0,364.0,451.0,173.0,593.0,214.0,16.0,16.0,11.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,261.0,1230.0,639.0,1569.0,2331.0,768.0,911.0,483.0,1097.0,522.0,41.0,87.0,41.0,2.0,15.0,3.0,0.0,0.0
0.0,0.0,82.0,558.0,240.0,789.0,1569.0,1339.0,1508.0,783.0,1645.0,956.0,140.0,215.0,119.0,8.0,36.0,13.0,0.0,0.0
0.0,0.0,20.0,272.0,107.0,399.0,973.0,1514.0,1681.0,1074.0,1590.0,1322.0,250.0,408.0,243.0,28.0,95.0,24.0,0.0,0.0
0.0,0.0,7.0,114.0,49.0,188.0,571.0,1600.0,1541.0,1244.0,1493.0,1488.0,433.0,612.0,369.0,59.0,158.0,74.0,0.0,0.0
0.0,0.0,2.0,45.0,16.0,82.0,311.0,1479.0,1226.0,1416.0,1162.0,1487.0,675.0,871.0,636.0,138.0,294.0,158.0,2.0,0.0
0.0,0.0,0.0,20.0,3.0,32.0,156.0,1147.0,935.0,1394.0,900.0,1281.0,903.0,1253.0,976.0,260.0,434.0,296.0,10.0,0.0
0.0,0.0,0.0,6.0,0.0,15.0,69.0,742.0,668.0,1166.0,561.0,1014.0,1305.0,1493.0,1286.0,491.0,722.0,435.0,27.0,0.0
0.0,0.0,0.0,2.0,0.0,3.0,46.0,475.0,400.0,933.0,337.0,717.0,1480.0,1561.0,1463.0,774.0,969.0,796.0,44.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,235.0,237.0,612.0,172.0,427.0,1656.0,1332.0,1545.0,1098.0,1351.0,1195.0,124.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,118.0,126.0,384.0,83.0,241.0,1404.0,1031.0,1353.0,1631.0,1774.0,1572.0,278.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,61.0,176.0,27.0,142.0,1046.0,675.0,1065.0,2022.0,1950.0,2134.0,649.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,81.0,8.0,55.0,558.0,358.0,750.0,2377.0,1638.0,2417.0,1718.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,10.0,92.0,83.0,138.0,1096.0,554.0,869.0,6745.0,407.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,7.0,14.0,403.0,9559.0
