West Ham United,Swansea City,Middlesbrough,West Bromwich Albion,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Lincoln City,Southampton,Birmingham City,Millwall,Stoke City,Bristol City,Norwich City,Sheffield United,Blackburn Rovers,Watford,Portsmouth,Wrexham,Bolton Wanderers,Cardiff City,Derby County,Preston North End,Burnley
6943.0,94.0,430.0,21.0,2.0,1.0,1772.0,0.0,588.0,20.0,70.0,5.0,12.0,28.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0
1974.0,429.0,1335.0,130.0,45.0,19.0,3489.0,3.0,1792.0,125.0,318.0,24.0,35.0,171.0,42.0,5.0,3.0,1.0,33.0,0.0,0.0,15.0,0.0,12.0
636.0,795.0,1881.0,304.0,124.0,45.0,1969.0,6.0,2267.0,308.0,721.0,82.0,124.0,396.0,166.0,22.0,18.0,14.0,73.0,0.0,0.0,29.0,2.0,18.0
238.0,1083.0,1724.0,534.0,294.0,130.0,1102.0,15.0,1641.0,516.0,951.0,188.0,239.0,660.0,260.0,42.0,44.0,47.0,160.0,0.0,0.0,80.0,3.0,49.0
109.0,1183.0,1236.0,669.0,368.0,213.0,673.0,32.0,1136.0,656.0,1087.0,288.0,366.0,785.0,433.0,120.0,71.0,75.0,264.0,1.0,1.0,132.0,12.0,90.0
51.0,1054.0,936.0,781.0,516.0,272.0,349.0,58.0,774.0,815.0,1053.0,378.0,481.0,891.0,492.0,187.0,129.0,122.0,299.0,0.0,0.0,196.0,29.0,137.0
23.0,949.0,685.0,844.0,600.0,353.0,225.0,92.0,514.0,825.0,937.0,448.0,521.0,943.0,545.0,226.0,176.0,189.0,441.0,2.0,2.0,245.0,33.0,182.0
15.0,807.0,450.0,842.0,631.0,422.0,147.0,132.0,356.0,782.0,883.0,570.0,581.0,890.0,678.0,290.0,222.0,215.0,497.0,1.0,0.0,309.0,49.0,231.0
3.0,693.0,367.0,811.0,648.0,495.0,96.0,176.0,265.0,805.0,725.0,602.0,645.0,813.0,677.0,337.0,277.0,265.0,573.0,5.0,5.0,348.0,64.0,305.0
6.0,595.0,274.0,734.0,712.0,540.0,58.0,208.0,189.0,784.0,603.0,642.0,715.0,726.0,700.0,428.0,331.0,366.0,539.0,11.0,6.0,425.0,71.0,337.0
0.0,477.0,197.0,680.0,681.0,596.0,41.0,266.0,157.0,668.0,519.0,665.0,657.0,655.0,750.0,492.0,403.0,433.0,670.0,13.0,4.0,466.0,93.0,417.0
0.0,389.0,140.0,634.0,708.0,656.0,19.0,304.0,104.0,620.0,441.0,708.0,731.0,573.0,659.0,511.0,445.0,464.0,633.0,25.0,14.0,588.0,170.0,464.0
2.0,377.0,93.0,613.0,681.0,653.0,19.0,414.0,63.0,587.0,370.0,693.0,667.0,509.0,693.0,557.0,482.0,521.0,695.0,43.0,25.0,562.0,209.0,472.0
0.0,275.0,74.0,463.0,658.0,682.0,10.0,485.0,52.0,492.0,327.0,693.0,644.0,421.0,646.0,643.0,583.0,611.0,656.0,52.0,39.0,655.0,260.0,579.0
0.0,204.0,62.0,453.0,604.0,738.0,12.0,566.0,36.0,478.0,268.0,643.0,604.0,331.0,613.0,682.0,647.0,628.0,666.0,69.0,49.0,678.0,367.0,602.0
0.0,186.0,49.0,362.0,541.0,697.0,8.0,624.0,22.0,365.0,212.0,599.0,596.0,318.0,558.0,745.0,688.0,744.0,668.0,118.0,82.0,771.0,396.0,651.0
0.0,121.0,31.0,347.0,543.0,681.0,5.0,686.0,17.0,289.0,147.0,634.0,573.0,271.0,528.0,763.0,740.0,786.0,620.0,147.0,118.0,754.0,444.0,755.0
0.0,105.0,17.0,244.0,447.0,702.0,1.0,866.0,12.0,275.0,133.0,553.0,507.0,214.0,428.0,771.0,868.0,771.0,554.0,245.0,180.0,717.0,621.0,769.0
0.0,71.0,16.0,189.0,390.0,604.0,2.0,932.0,6.0,234.0,96.0,445.0,433.0,160.0,387.0,780.0,830.0,835.0,590.0,392.0,278.0,750.0,764.0,816.0
0.0,53.0,3.0,142.0,306.0,558.0,2.0,1055.0,4.0,156.0,67.0,412.0,327.0,110.0,299.0,730.0,897.0,844.0,492.0,537.0,434.0,699.0,1010.0,863.0
0.0,33.0,0.0,115.0,232.0,418.0,1.0,1113.0,3.0,101.0,34.0,341.0,291.0,83.0,215.0,699.0,892.0,830.0,382.0,826.0,679.0,638.0,1263.0,811.0
0.0,20.0,0.0,62.0,158.0,327.0,0.0,976.0,2.0,74.0,23.0,226.0,146.0,31.0,152.0,527.0,674.0,675.0,294.0,1519.0,1325.0,502.0,1580.0,707.0
0.0,5.0,0.0,22.0,92.0,149.0,0.0,726.0,0.0,20.0,12.0,127.0,84.0,15.0,56.0,328.0,396.0,380.0,147.0,2537.0,2585.0,299.0,1525.0,495.0
0.0,2.0,0.0,4.0,19.0,49.0,0.0,265.0,0.0,5.0,3.0,34.0,21.0,6.0,17.0,115.0,184.0,184.0,48.0,3457.0,4174.0,140.0,1035.0,238.0
