AS Roma,Internazionale,Como,Lazio,Cagliari,AC Milan,Frosinone,Juventus,Sassuolo,Napoli,Atalanta,Lecce,Udinese,Torino,Fiorentina,Bologna,Parma,Monza,Genoa,Venezia
2626.0,5130.0,1650.0,51.0,4.0,123.0,0.0,263.0,10.0,103.0,36.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2876.0,2643.0,2583.0,155.0,21.0,374.0,6.0,682.0,33.0,434.0,171.0,0.0,18.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2184.0,1283.0,2544.0,408.0,80.0,831.0,34.0,1268.0,106.0,797.0,404.0,4.0,38.0,4.0,3.0,11.0,1.0,0.0,0.0,0.0
1141.0,522.0,1473.0,819.0,214.0,1336.0,86.0,1819.0,272.0,1337.0,766.0,19.0,108.0,9.0,20.0,47.0,2.0,0.0,10.0,0.0
582.0,244.0,796.0,1073.0,405.0,1464.0,164.0,1711.0,473.0,1541.0,1052.0,30.0,242.0,37.0,45.0,104.0,11.0,1.0,25.0,0.0
262.0,91.0,445.0,1308.0,618.0,1397.0,279.0,1333.0,697.0,1498.0,1218.0,81.0,380.0,71.0,95.0,176.0,10.0,0.0,41.0,0.0
167.0,45.0,232.0,1318.0,807.0,1249.0,431.0,967.0,919.0,1141.0,1355.0,114.0,579.0,124.0,151.0,279.0,28.0,1.0,92.0,1.0
75.0,31.0,138.0,1161.0,886.0,1010.0,648.0,698.0,1074.0,953.0,1214.0,214.0,785.0,197.0,258.0,443.0,58.0,6.0,151.0,0.0
44.0,5.0,74.0,1023.0,1113.0,723.0,832.0,473.0,1127.0,714.0,986.0,305.0,956.0,310.0,358.0,613.0,98.0,3.0,242.0,1.0
19.0,4.0,37.0,810.0,1108.0,525.0,967.0,315.0,1088.0,514.0,843.0,470.0,1071.0,433.0,523.0,754.0,176.0,13.0,328.0,2.0
16.0,2.0,20.0,626.0,1024.0,366.0,1082.0,197.0,1025.0,366.0,632.0,633.0,1076.0,616.0,622.0,947.0,246.0,19.0,483.0,2.0
7.0,0.0,5.0,437.0,1043.0,228.0,1040.0,124.0,874.0,265.0,470.0,772.0,1050.0,780.0,777.0,1029.0,380.0,62.0,650.0,7.0
1.0,0.0,1.0,306.0,807.0,159.0,1070.0,81.0,722.0,164.0,352.0,959.0,940.0,901.0,954.0,1130.0,534.0,96.0,803.0,20.0
0.0,0.0,1.0,209.0,635.0,106.0,941.0,41.0,582.0,86.0,217.0,1145.0,860.0,1070.0,1120.0,1110.0,743.0,150.0,952.0,32.0
0.0,0.0,1.0,140.0,507.0,61.0,812.0,10.0,446.0,48.0,145.0,1227.0,717.0,1221.0,1232.0,953.0,1010.0,274.0,1132.0,64.0
0.0,0.0,0.0,88.0,338.0,26.0,683.0,9.0,261.0,21.0,83.0,1217.0,517.0,1338.0,1226.0,901.0,1345.0,489.0,1301.0,157.0
0.0,0.0,0.0,43.0,214.0,15.0,501.0,6.0,170.0,14.0,33.0,1238.0,356.0,1224.0,1125.0,754.0,1631.0,885.0,1482.0,309.0
0.0,0.0,0.0,22.0,135.0,6.0,289.0,3.0,91.0,4.0,15.0,995.0,225.0,1005.0,918.0,484.0,2022.0,1723.0,1362.0,701.0
0.0,0.0,0.0,3.0,39.0,1.0,118.0,0.0,28.0,0.0,8.0,470.0,69.0,515.0,487.0,211.0,1283.0,3767.0,742.0,2259.0
0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,2.0,0.0,0.0,107.0,11.0,144.0,86.0,49.0,422.0,2511.0,204.0,6445.0
