Arsenal,Manchester City,Leeds United,Hull City,Brighton & Hove Albion,Chelsea,Brentford,Liverpool,Everton,Ipswich Town,Nottingham Forest,Newcastle United,Manchester United,Sunderland,AFC Bournemouth,Crystal Palace,Tottenham Hotspur,Fulham,Aston Villa,Coventry City
5537.0,4016.0,50.0,2.0,133.0,45.0,38.0,60.0,8.0,0.0,5.0,5.0,85.0,2.0,11.0,0.0,0.0,1.0,2.0,0.0
3291.0,4311.0,233.0,18.0,629.0,232.0,231.0,300.0,82.0,0.0,93.0,38.0,405.0,15.0,83.0,4.0,1.0,11.0,23.0,0.0
716.0,965.0,846.0,133.0,1688.0,774.0,779.0,1038.0,399.0,5.0,385.0,236.0,1398.0,84.0,341.0,24.0,17.0,49.0,123.0,0.0
223.0,348.0,1063.0,233.0,1416.0,950.0,905.0,1183.0,516.0,6.0,554.0,360.0,1195.0,180.0,519.0,48.0,26.0,82.0,193.0,0.0
107.0,174.0,967.0,282.0,1233.0,953.0,932.0,1068.0,647.0,17.0,639.0,482.0,1143.0,235.0,597.0,82.0,47.0,152.0,243.0,0.0
54.0,80.0,991.0,388.0,960.0,913.0,932.0,996.0,669.0,14.0,699.0,549.0,1025.0,276.0,704.0,112.0,95.0,175.0,368.0,0.0
40.0,45.0,862.0,454.0,788.0,928.0,859.0,925.0,783.0,43.0,744.0,651.0,866.0,367.0,712.0,156.0,136.0,244.0,397.0,0.0
16.0,28.0,859.0,564.0,644.0,844.0,872.0,777.0,799.0,74.0,782.0,675.0,792.0,426.0,745.0,190.0,178.0,268.0,467.0,0.0
6.0,14.0,712.0,594.0,573.0,777.0,814.0,736.0,742.0,75.0,783.0,779.0,643.0,528.0,826.0,264.0,227.0,383.0,524.0,0.0
4.0,8.0,652.0,699.0,478.0,660.0,694.0,580.0,811.0,109.0,797.0,762.0,595.0,607.0,770.0,361.0,275.0,471.0,667.0,0.0
1.0,7.0,613.0,716.0,391.0,636.0,621.0,533.0,760.0,181.0,807.0,804.0,487.0,667.0,723.0,432.0,372.0,543.0,705.0,1.0
2.0,0.0,543.0,806.0,307.0,542.0,535.0,486.0,723.0,239.0,741.0,807.0,391.0,747.0,743.0,550.0,490.0,602.0,746.0,0.0
1.0,2.0,436.0,843.0,253.0,472.0,489.0,367.0,671.0,352.0,672.0,779.0,307.0,868.0,720.0,655.0,576.0,748.0,788.0,1.0
2.0,2.0,368.0,819.0,196.0,408.0,380.0,332.0,644.0,515.0,635.0,742.0,208.0,882.0,647.0,776.0,694.0,870.0,880.0,0.0
0.0,0.0,293.0,836.0,121.0,306.0,305.0,228.0,577.0,624.0,549.0,709.0,169.0,933.0,604.0,953.0,911.0,995.0,882.0,5.0
0.0,0.0,215.0,857.0,78.0,251.0,259.0,160.0,469.0,954.0,411.0,618.0,127.0,948.0,467.0,1112.0,1083.0,1152.0,837.0,2.0
0.0,0.0,172.0,723.0,67.0,162.0,193.0,127.0,338.0,1342.0,347.0,440.0,87.0,911.0,388.0,1337.0,1327.0,1114.0,905.0,20.0
0.0,0.0,85.0,644.0,32.0,91.0,115.0,69.0,260.0,1969.0,246.0,336.0,50.0,773.0,248.0,1497.0,1664.0,1130.0,728.0,63.0
0.0,0.0,37.0,379.0,13.0,54.0,47.0,34.0,102.0,3285.0,110.0,221.0,27.0,531.0,149.0,1389.0,1798.0,972.0,507.0,345.0
0.0,0.0,3.0,10.0,0.0,2.0,0.0,1.0,0.0,196.0,1.0,7.0,0.0,20.0,3.0,58.0,83.0,38.0,15.0,9563.0
