Lille,AS Monaco,Stade Rennais,Lyon,Paris FC,Strasbourg,Brest,Paris Saint-Germain,Lorient,Lens,Angers,Troyes,Marseille,Le Mans,AJ Auxerre,Le Havre AC,Toulouse,Nice
1923.0,1107.0,905.0,822.0,276.0,392.0,11.0,3434.0,55.0,907.0,0.0,0.0,151.0,0.0,4.0,0.0,13.0,0.0
1771.0,1346.0,1131.0,1063.0,407.0,657.0,31.0,2004.0,101.0,1133.0,5.0,0.0,306.0,2.0,12.0,9.0,22.0,0.0
1497.0,1310.0,1237.0,1151.0,596.0,792.0,60.0,1375.0,178.0,1255.0,7.0,1.0,433.0,3.0,31.0,11.0,61.0,2.0
1211.0,1290.0,1189.0,1236.0,765.0,902.0,111.0,1028.0,293.0,1214.0,14.0,2.0,572.0,5.0,42.0,17.0,109.0,0.0
995.0,1160.0,1192.0,1155.0,904.0,1018.0,179.0,730.0,377.0,1164.0,46.0,1.0,779.0,6.0,70.0,40.0,176.0,8.0
783.0,965.0,1059.0,1091.0,1051.0,1090.0,268.0,522.0,520.0,1087.0,73.0,3.0,952.0,34.0,135.0,73.0,281.0,13.0
687.0,828.0,930.0,926.0,1118.0,1068.0,382.0,371.0,765.0,908.0,121.0,3.0,1078.0,42.0,205.0,131.0,410.0,27.0
436.0,655.0,791.0,802.0,1115.0,1132.0,571.0,220.0,858.0,773.0,203.0,14.0,1129.0,89.0,334.0,208.0,611.0,59.0
294.0,545.0,587.0,613.0,1034.0,935.0,732.0,169.0,1154.0,616.0,374.0,18.0,1120.0,151.0,446.0,347.0,757.0,108.0
175.0,299.0,412.0,435.0,913.0,700.0,1024.0,77.0,1226.0,398.0,481.0,36.0,1109.0,274.0,698.0,524.0,1059.0,160.0
117.0,224.0,249.0,304.0,680.0,494.0,1264.0,41.0,1157.0,252.0,827.0,91.0,784.0,450.0,838.0,746.0,1162.0,320.0
60.0,120.0,155.0,179.0,477.0,332.0,1312.0,17.0,1028.0,139.0,1013.0,188.0,567.0,660.0,1049.0,992.0,1243.0,469.0
23.0,81.0,89.0,99.0,316.0,211.0,1223.0,7.0,821.0,75.0,1218.0,303.0,444.0,892.0,1186.0,1208.0,1127.0,677.0
19.0,36.0,47.0,72.0,169.0,136.0,1025.0,2.0,599.0,48.0,1304.0,456.0,282.0,1156.0,1279.0,1368.0,976.0,1026.0
8.0,21.0,13.0,35.0,103.0,76.0,776.0,2.0,402.0,18.0,1420.0,843.0,146.0,1412.0,1236.0,1345.0,805.0,1339.0
1.0,9.0,11.0,13.0,51.0,43.0,547.0,1.0,278.0,10.0,1265.0,1310.0,89.0,1618.0,1069.0,1327.0,633.0,1725.0
0.0,2.0,2.0,2.0,19.0,20.0,330.0,0.0,138.0,2.0,1022.0,2191.0,43.0,1826.0,856.0,1008.0,378.0,2161.0
0.0,2.0,1.0,2.0,6.0,2.0,154.0,0.0,50.0,1.0,607.0,4540.0,16.0,1380.0,510.0,646.0,177.0,1906.0
