PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,Ajax Amsterdam,FC Twente,Excelsior,Fortuna Sittard,Go Ahead Eagles,FC Groningen,NEC Nijmegen,Heerenveen,Sparta Rotterdam,Telstar,FC Utrecht,SC Cambuur,PEC Zwolle,Willem II,ADO Den Haag
7808.0,346.0,886.0,646.0,279.0,1.0,0.0,11.0,3.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1470.0,1463.0,3072.0,2355.0,1322.0,41.0,9.0,74.0,61.0,99.0,14.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
497.0,1983.0,2346.0,2429.0,1821.0,136.0,41.0,183.0,147.0,288.0,54.0,1.0,12.0,62.0,0.0,0.0,0.0,0.0
143.0,2186.0,1712.0,1902.0,2022.0,329.0,110.0,392.0,322.0,560.0,126.0,7.0,31.0,157.0,0.0,1.0,0.0,0.0
57.0,1686.0,986.0,1257.0,1915.0,659.0,226.0,777.0,675.0,1013.0,271.0,29.0,91.0,356.0,0.0,2.0,0.0,0.0
20.0,1014.0,504.0,674.0,1115.0,1123.0,470.0,1186.0,1051.0,1451.0,554.0,58.0,200.0,568.0,0.0,12.0,0.0,0.0
5.0,583.0,245.0,369.0,659.0,1295.0,664.0,1353.0,1238.0,1454.0,803.0,112.0,345.0,851.0,1.0,23.0,0.0,0.0
0.0,361.0,123.0,180.0,401.0,1310.0,834.0,1308.0,1349.0,1304.0,1008.0,190.0,499.0,1082.0,4.0,46.0,0.0,1.0
0.0,178.0,69.0,109.0,206.0,1262.0,1108.0,1220.0,1274.0,1205.0,1116.0,311.0,668.0,1186.0,10.0,76.0,1.0,1.0
0.0,92.0,36.0,40.0,135.0,1110.0,1321.0,1026.0,1135.0,900.0,1317.0,527.0,955.0,1222.0,19.0,161.0,2.0,2.0
0.0,58.0,14.0,23.0,62.0,947.0,1386.0,879.0,978.0,701.0,1334.0,767.0,1174.0,1331.0,54.0,282.0,6.0,4.0
0.0,35.0,4.0,10.0,41.0,763.0,1337.0,729.0,768.0,503.0,1279.0,1172.0,1483.0,1195.0,117.0,531.0,9.0,24.0
0.0,10.0,3.0,4.0,18.0,576.0,1147.0,473.0,544.0,284.0,1082.0,1658.0,1737.0,1037.0,289.0,1019.0,34.0,85.0
0.0,5.0,0.0,2.0,4.0,320.0,847.0,269.0,315.0,160.0,655.0,2322.0,1512.0,595.0,803.0,1806.0,128.0,257.0
0.0,0.0,0.0,0.0,0.0,102.0,382.0,102.0,115.0,48.0,298.0,1807.0,885.0,255.0,1955.0,2929.0,406.0,716.0
0.0,0.0,0.0,0.0,0.0,20.0,105.0,18.0,23.0,9.0,74.0,753.0,315.0,66.0,3504.0,1992.0,1270.0,1851.0
0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,2.0,1.0,11.0,236.0,82.0,16.0,2147.0,859.0,3030.0,3597.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,50.0,11.0,1.0,1097.0,261.0,5114.0,3462.0
