SC Freiburg,Borussia Dortmund,FC Augsburg,Bayern Munich,RB Leipzig,SV Elversberg,Bayer Leverkusen,Mainz,Eintracht Frankfurt,Werder Bremen,Schalke 04,FC Cologne,TSG Hoffenheim,VfB Stuttgart,SC Paderborn 07,1. FC Union Berlin,Borussia Mönchengladbach,Hamburg SV
83.0,1803.0,8.0,7709.0,238.0,1.0,87.0,1.0,3.0,1.0,0.0,0.0,12.0,54.0,0.0,0.0,0.0,0.0
530.0,4845.0,121.0,1766.0,1116.0,5.0,738.0,51.0,60.0,2.0,0.0,12.0,164.0,589.0,0.0,1.0,0.0,0.0
1275.0,1700.0,425.0,378.0,2165.0,46.0,1642.0,202.0,241.0,28.0,6.0,59.0,530.0,1282.0,0.0,14.0,6.0,1.0
1430.0,815.0,657.0,102.0,1840.0,114.0,1743.0,352.0,389.0,66.0,10.0,110.0,804.0,1506.0,0.0,23.0,26.0,13.0
1436.0,439.0,893.0,30.0,1390.0,239.0,1520.0,511.0,567.0,134.0,18.0,208.0,1058.0,1422.0,0.0,56.0,48.0,31.0
1296.0,191.0,1073.0,8.0,1019.0,355.0,1243.0,740.0,808.0,230.0,51.0,333.0,1121.0,1274.0,2.0,111.0,98.0,47.0
1133.0,89.0,1110.0,6.0,775.0,456.0,963.0,955.0,961.0,362.0,94.0,426.0,1206.0,1076.0,1.0,150.0,155.0,82.0
839.0,55.0,1104.0,1.0,529.0,719.0,718.0,1034.0,1047.0,537.0,151.0,611.0,1140.0,858.0,5.0,243.0,260.0,149.0
647.0,25.0,1095.0,0.0,348.0,832.0,507.0,1097.0,1136.0,688.0,250.0,772.0,996.0,629.0,3.0,384.0,351.0,240.0
464.0,20.0,936.0,0.0,233.0,986.0,318.0,1110.0,1108.0,870.0,358.0,941.0,829.0,458.0,21.0,507.0,517.0,324.0
299.0,11.0,781.0,0.0,149.0,1102.0,219.0,974.0,941.0,978.0,521.0,1068.0,677.0,330.0,36.0,735.0,698.0,481.0
228.0,3.0,629.0,0.0,88.0,1115.0,135.0,839.0,852.0,1093.0,714.0,1089.0,501.0,249.0,71.0,860.0,868.0,666.0
155.0,3.0,444.0,0.0,58.0,1082.0,92.0,695.0,658.0,1179.0,992.0,1068.0,376.0,133.0,123.0,1052.0,1060.0,830.0
99.0,1.0,322.0,0.0,26.0,1011.0,40.0,589.0,473.0,1101.0,1163.0,1031.0,275.0,85.0,258.0,1242.0,1232.0,1052.0
53.0,0.0,209.0,0.0,14.0,845.0,22.0,398.0,342.0,1023.0,1399.0,923.0,172.0,32.0,468.0,1381.0,1382.0,1337.0
24.0,0.0,125.0,0.0,9.0,603.0,9.0,267.0,269.0,865.0,1748.0,701.0,82.0,15.0,825.0,1360.0,1385.0,1713.0
8.0,0.0,58.0,0.0,3.0,347.0,3.0,148.0,120.0,655.0,1701.0,501.0,49.0,8.0,1910.0,1278.0,1261.0,1950.0
1.0,0.0,10.0,0.0,0.0,142.0,1.0,37.0,25.0,188.0,824.0,147.0,8.0,0.0,6277.0,603.0,653.0,1084.0
