FC Porto,Benfica,Sporting CP,Santa Clara,Estrela,Arouca,Braga,Académico de Viseu,Moreirense,Gil Vicente,Maritimo,Alverca,Vitória de Guimaraes,FC Famalicao,C.D. Nacional,Rio Ave,Estoril,Casa Pia
3801.0,3528.0,2638.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3309.0,3259.0,3238.0,17.0,0.0,0.0,170.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2580.0,2841.0,3604.0,118.0,5.0,16.0,782.0,1.0,0.0,37.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0
285.0,326.0,460.0,1788.0,277.0,413.0,5266.0,19.0,35.0,710.0,4.0,22.0,9.0,341.0,20.0,5.0,20.0,0.0
20.0,39.0,49.0,2871.0,764.0,1098.0,2024.0,103.0,120.0,1524.0,15.0,133.0,100.0,915.0,127.0,9.0,87.0,2.0
5.0,4.0,10.0,1862.0,1159.0,1383.0,872.0,217.0,335.0,1769.0,34.0,293.0,178.0,1335.0,277.0,57.0,207.0,3.0
0.0,2.0,1.0,1205.0,1346.0,1464.0,423.0,366.0,507.0,1555.0,81.0,453.0,307.0,1454.0,383.0,103.0,346.0,4.0
0.0,1.0,0.0,795.0,1358.0,1281.0,212.0,555.0,666.0,1288.0,173.0,617.0,437.0,1372.0,585.0,170.0,480.0,10.0
0.0,0.0,0.0,543.0,1228.0,1112.0,107.0,666.0,796.0,986.0,259.0,799.0,660.0,1223.0,730.0,247.0,621.0,23.0
0.0,0.0,0.0,309.0,1027.0,905.0,52.0,907.0,935.0,697.0,369.0,959.0,832.0,934.0,899.0,384.0,751.0,40.0
0.0,0.0,0.0,192.0,801.0,682.0,30.0,993.0,1050.0,506.0,500.0,1006.0,945.0,794.0,1005.0,520.0,898.0,78.0
0.0,0.0,0.0,145.0,621.0,584.0,17.0,1073.0,1078.0,307.0,688.0,1077.0,1027.0,561.0,1064.0,631.0,1002.0,125.0
0.0,0.0,0.0,72.0,492.0,414.0,8.0,1160.0,1068.0,240.0,842.0,1059.0,1131.0,409.0,1045.0,809.0,1033.0,218.0
0.0,0.0,0.0,54.0,377.0,272.0,4.0,1101.0,993.0,176.0,1099.0,991.0,1105.0,306.0,1032.0,1021.0,1120.0,349.0
0.0,0.0,0.0,16.0,262.0,197.0,1.0,1003.0,906.0,115.0,1359.0,968.0,1083.0,164.0,973.0,1238.0,1170.0,545.0
0.0,0.0,0.0,9.0,158.0,113.0,0.0,921.0,776.0,52.0,1575.0,806.0,1011.0,112.0,879.0,1641.0,1006.0,941.0
0.0,0.0,0.0,2.0,101.0,51.0,0.0,643.0,509.0,25.0,1915.0,565.0,781.0,47.0,679.0,1908.0,834.0,1940.0
0.0,0.0,0.0,1.0,24.0,15.0,0.0,272.0,226.0,8.0,1087.0,250.0,394.0,18.0,301.0,1257.0,425.0,5722.0
