Palmeiras,Flamengo,Fluminense,Athletico Paranaense,Red Bull Bragantino,Bahia,Coritiba,São Paulo,Atlético-MG,Corinthians,Cruzeiro,Botafogo,Vitória,Internacional,Santos,Grêmio,Vasco da Gama,Remo,Mirassol,Chapecoense
9356.0,579.0,16.0,25.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580.0,6831.0,703.0,816.0,914.0,8.0,63.0,50.0,15.0,8.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
54.0,1654.0,2204.0,2328.0,2821.0,83.0,327.0,269.0,108.0,55.0,26.0,34.0,4.0,22.0,5.0,6.0,0.0,0.0,0.0,0.0
9.0,569.0,2410.0,2276.0,2448.0,202.0,633.0,623.0,259.0,209.0,121.0,108.0,15.0,69.0,22.0,22.0,3.0,1.0,1.0,0.0
0.0,226.0,1993.0,1842.0,1718.0,472.0,1020.0,1013.0,511.0,352.0,232.0,284.0,35.0,178.0,52.0,63.0,4.0,4.0,1.0,0.0
1.0,89.0,1122.0,1059.0,886.0,853.0,1421.0,1478.0,855.0,648.0,438.0,466.0,101.0,327.0,136.0,101.0,11.0,8.0,0.0,0.0
0.0,33.0,625.0,665.0,516.0,1091.0,1437.0,1418.0,1034.0,832.0,527.0,738.0,169.0,455.0,224.0,172.0,32.0,30.0,2.0,0.0
0.0,9.0,403.0,384.0,281.0,1101.0,1251.0,1178.0,1201.0,1026.0,744.0,795.0,287.0,630.0,341.0,268.0,45.0,49.0,7.0,0.0
0.0,6.0,235.0,245.0,176.0,1110.0,1039.0,1005.0,1201.0,1052.0,839.0,982.0,360.0,735.0,450.0,390.0,78.0,85.0,12.0,0.0
0.0,4.0,150.0,145.0,105.0,1082.0,776.0,838.0,1026.0,1079.0,922.0,1084.0,532.0,892.0,579.0,477.0,137.0,145.0,27.0,0.0
0.0,0.0,68.0,101.0,48.0,977.0,629.0,619.0,960.0,1120.0,989.0,1027.0,651.0,966.0,743.0,639.0,210.0,207.0,46.0,0.0
0.0,0.0,30.0,62.0,38.0,886.0,437.0,494.0,813.0,927.0,1054.0,1074.0,801.0,1023.0,852.0,831.0,319.0,287.0,72.0,0.0
0.0,0.0,23.0,29.0,18.0,650.0,368.0,422.0,669.0,820.0,982.0,959.0,1043.0,1096.0,1042.0,894.0,432.0,432.0,121.0,0.0
0.0,0.0,14.0,12.0,4.0,573.0,254.0,280.0,529.0,663.0,952.0,777.0,1128.0,993.0,1201.0,1088.0,664.0,630.0,238.0,0.0
0.0,0.0,3.0,9.0,2.0,417.0,170.0,157.0,357.0,520.0,829.0,603.0,1337.0,876.0,1236.0,1277.0,926.0,900.0,379.0,2.0
0.0,0.0,1.0,1.0,2.0,252.0,106.0,92.0,249.0,358.0,629.0,486.0,1360.0,712.0,1141.0,1353.0,1296.0,1215.0,745.0,2.0
0.0,0.0,0.0,0.0,0.0,154.0,47.0,33.0,142.0,213.0,405.0,340.0,1092.0,542.0,991.0,1187.0,1925.0,1714.0,1206.0,9.0
0.0,0.0,0.0,1.0,0.0,63.0,18.0,21.0,53.0,92.0,231.0,180.0,765.0,346.0,680.0,881.0,2175.0,2215.0,2248.0,31.0
0.0,0.0,0.0,0.0,0.0,26.0,4.0,8.0,18.0,26.0,76.0,59.0,317.0,132.0,300.0,343.0,1709.0,2024.0,4646.0,312.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,8.0,34.0,54.0,249.0,9644.0
