Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
458.0,523.0,13.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452.0,393.0,97.0,29.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,64.0,429.0,205.0,123.0,77.0,6.0,3.0,9.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.0,12.0,221.0,265.0,213.0,168.0,25.0,20.0,23.0,9.0,13.0,6.0,3.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0
2.0,6.0,109.0,196.0,211.0,199.0,51.0,64.0,58.0,18.0,26.0,25.0,10.0,5.0,2.0,7.0,10.0,0.0,1.0,0.0
1.0,2.0,66.0,128.0,156.0,182.0,78.0,94.0,78.0,35.0,60.0,37.0,14.0,18.0,7.0,20.0,22.0,0.0,2.0,0.0
0.0,0.0,37.0,70.0,95.0,131.0,116.0,120.0,97.0,69.0,83.0,63.0,22.0,25.0,9.0,37.0,24.0,0.0,2.0,0.0
0.0,0.0,17.0,49.0,65.0,75.0,126.0,131.0,108.0,80.0,82.0,65.0,44.0,52.0,18.0,40.0,46.0,0.0,2.0,0.0
0.0,0.0,6.0,26.0,48.0,43.0,120.0,105.0,141.0,98.0,86.0,84.0,54.0,52.0,22.0,61.0,48.0,2.0,4.0,0.0
0.0,0.0,1.0,10.0,26.0,41.0,118.0,95.0,89.0,121.0,102.0,79.0,51.0,72.0,32.0,85.0,64.0,6.0,8.0,0.0
0.0,0.0,2.0,10.0,17.0,31.0,92.0,83.0,86.0,91.0,106.0,107.0,72.0,87.0,37.0,85.0,72.0,11.0,11.0,0.0
0.0,0.0,2.0,5.0,9.0,13.0,77.0,79.0,81.0,96.0,93.0,77.0,87.0,85.0,74.0,101.0,87.0,13.0,21.0,0.0
0.0,0.0,0.0,1.0,4.0,12.0,46.0,69.0,69.0,87.0,91.0,87.0,103.0,110.0,77.0,101.0,105.0,14.0,23.0,1.0
0.0,0.0,0.0,3.0,7.0,9.0,52.0,52.0,61.0,87.0,73.0,87.0,101.0,118.0,102.0,96.0,80.0,32.0,37.0,3.0
0.0,0.0,0.0,0.0,1.0,4.0,34.0,34.0,36.0,77.0,66.0,86.0,113.0,124.0,110.0,105.0,103.0,47.0,55.0,5.0
0.0,0.0,0.0,0.0,2.0,2.0,32.0,25.0,35.0,45.0,40.0,79.0,115.0,109.0,150.0,89.0,116.0,71.0,85.0,5.0
0.0,0.0,0.0,0.0,3.0,2.0,14.0,14.0,13.0,47.0,40.0,67.0,88.0,74.0,146.0,94.0,110.0,142.0,139.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,13.0,21.0,26.0,36.0,86.0,43.0,127.0,43.0,67.0,265.0,216.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,13.0,10.0,15.0,34.0,22.0,75.0,27.0,37.0,316.0,323.0,123.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,12.0,4.0,5.0,81.0,71.0,821.0
