Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Watford,Blackburn Rovers,West Ham United,Burnley,Wolverhampton Wanderers,Wrexham,Cardiff City,Birmingham City,Sheffield United,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
35.0,2450.0,184.0,29.0,352.0,4.0,3335.0,1.0,3.0,127.0,100.0,90.0,197.0,92.0,134.0,150.0,316.0,26.0,4.0,336.0,2.0,0.0,22.0,2011.0
83.0,1994.0,350.0,67.0,611.0,13.0,2077.0,14.0,4.0,251.0,205.0,229.0,360.0,196.0,221.0,303.0,475.0,46.0,13.0,576.0,9.0,2.0,47.0,1854.0
112.0,1449.0,451.0,136.0,775.0,20.0,1398.0,26.0,20.0,336.0,337.0,320.0,467.0,265.0,330.0,450.0,673.0,94.0,15.0,725.0,25.0,9.0,84.0,1483.0
203.0,1092.0,542.0,203.0,829.0,43.0,902.0,47.0,27.0,470.0,378.0,407.0,551.0,406.0,389.0,550.0,751.0,146.0,46.0,806.0,39.0,21.0,130.0,1022.0
245.0,782.0,651.0,236.0,780.0,74.0,610.0,79.0,38.0,514.0,511.0,463.0,669.0,443.0,461.0,578.0,761.0,199.0,57.0,747.0,46.0,24.0,183.0,849.0
286.0,560.0,656.0,312.0,780.0,114.0,475.0,136.0,73.0,568.0,495.0,517.0,611.0,481.0,524.0,660.0,728.0,262.0,85.0,722.0,81.0,43.0,220.0,611.0
331.0,395.0,704.0,364.0,741.0,145.0,326.0,153.0,97.0,622.0,525.0,534.0,652.0,514.0,537.0,603.0,697.0,322.0,113.0,736.0,102.0,50.0,248.0,489.0
394.0,330.0,692.0,447.0,655.0,153.0,244.0,212.0,115.0,587.0,583.0,549.0,655.0,532.0,560.0,627.0,619.0,365.0,148.0,641.0,134.0,72.0,296.0,390.0
421.0,225.0,570.0,450.0,611.0,182.0,168.0,226.0,150.0,630.0,569.0,589.0,654.0,561.0,604.0,622.0,666.0,393.0,170.0,642.0,159.0,80.0,355.0,303.0
473.0,182.0,619.0,469.0,563.0,248.0,127.0,285.0,214.0,591.0,574.0,586.0,598.0,562.0,623.0,573.0,546.0,439.0,220.0,605.0,181.0,102.0,387.0,233.0
507.0,142.0,558.0,499.0,548.0,297.0,80.0,300.0,229.0,590.0,583.0,564.0,583.0,594.0,629.0,562.0,578.0,431.0,218.0,510.0,221.0,126.0,465.0,186.0
490.0,121.0,591.0,552.0,442.0,298.0,75.0,369.0,264.0,546.0,577.0,565.0,526.0,602.0,598.0,540.0,517.0,470.0,309.0,459.0,281.0,165.0,504.0,139.0
527.0,73.0,506.0,550.0,422.0,405.0,54.0,395.0,335.0,541.0,556.0,569.0,480.0,584.0,571.0,504.0,470.0,526.0,333.0,437.0,332.0,197.0,532.0,101.0
558.0,57.0,448.0,579.0,344.0,485.0,41.0,416.0,347.0,471.0,564.0,543.0,455.0,574.0,547.0,516.0,384.0,547.0,379.0,402.0,418.0,290.0,531.0,104.0
580.0,47.0,457.0,597.0,316.0,494.0,22.0,537.0,403.0,530.0,513.0,537.0,428.0,547.0,495.0,422.0,348.0,573.0,459.0,326.0,433.0,302.0,561.0,73.0
624.0,33.0,397.0,599.0,295.0,526.0,16.0,570.0,468.0,466.0,487.0,492.0,402.0,486.0,461.0,426.0,320.0,604.0,516.0,294.0,523.0,383.0,574.0,38.0
577.0,21.0,362.0,642.0,210.0,618.0,16.0,640.0,527.0,409.0,451.0,453.0,354.0,446.0,430.0,393.0,284.0,613.0,591.0,238.0,606.0,485.0,604.0,30.0
571.0,12.0,329.0,543.0,210.0,641.0,13.0,670.0,623.0,390.0,413.0,427.0,315.0,450.0,408.0,361.0,238.0,635.0,633.0,219.0,654.0,563.0,657.0,25.0
581.0,16.0,273.0,585.0,181.0,769.0,7.0,714.0,713.0,366.0,392.0,373.0,274.0,435.0,369.0,295.0,193.0,582.0,711.0,174.0,673.0,658.0,650.0,16.0
614.0,8.0,206.0,551.0,111.0,814.0,11.0,738.0,791.0,307.0,335.0,350.0,225.0,338.0,335.0,277.0,155.0,647.0,813.0,139.0,826.0,777.0,611.0,21.0
558.0,6.0,160.0,462.0,103.0,894.0,2.0,858.0,940.0,273.0,286.0,291.0,204.0,316.0,282.0,214.0,106.0,586.0,911.0,112.0,899.0,860.0,666.0,11.0
486.0,2.0,145.0,446.0,61.0,915.0,0.0,894.0,1051.0,203.0,257.0,252.0,162.0,284.0,216.0,168.0,74.0,583.0,932.0,84.0,1040.0,1108.0,628.0,9.0
426.0,3.0,100.0,399.0,42.0,911.0,1.0,896.0,1147.0,134.0,188.0,172.0,111.0,173.0,177.0,137.0,62.0,524.0,1200.0,47.0,1094.0,1488.0,567.0,1.0
318.0,0.0,49.0,283.0,18.0,937.0,0.0,824.0,1421.0,78.0,121.0,128.0,67.0,119.0,99.0,69.0,39.0,387.0,1124.0,23.0,1222.0,2195.0,478.0,1.0
