AZ Alkmaar,FC Groningen,Go Ahead Eagles,Fortuna Sittard,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,FC Twente,Telstar,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II,SC Cambuur
298.0,152.0,48.0,0.0,750.0,7276.0,688.0,31.0,0.0,385.0,0.0,363.0,2.0,7.0,0.0,0.0,0.0,0.0
1011.0,602.0,150.0,4.0,1951.0,1579.0,1971.0,181.0,17.0,1202.0,0.0,1247.0,16.0,69.0,0.0,0.0,0.0,0.0
1169.0,831.0,318.0,12.0,1738.0,611.0,1830.0,367.0,44.0,1425.0,1.0,1456.0,43.0,155.0,0.0,0.0,0.0,0.0
1349.0,1068.0,494.0,41.0,1408.0,272.0,1463.0,526.0,102.0,1432.0,1.0,1496.0,79.0,269.0,0.0,0.0,0.0,0.0
1312.0,1223.0,616.0,58.0,1214.0,143.0,1260.0,797.0,157.0,1307.0,10.0,1314.0,175.0,412.0,0.0,1.0,0.0,1.0
1238.0,1281.0,879.0,110.0,973.0,72.0,954.0,998.0,257.0,1177.0,12.0,1164.0,259.0,620.0,0.0,5.0,1.0,0.0
1089.0,1277.0,1047.0,174.0,731.0,26.0,696.0,1148.0,427.0,1030.0,34.0,1037.0,441.0,833.0,2.0,2.0,4.0,2.0
896.0,1117.0,1272.0,313.0,523.0,14.0,505.0,1402.0,643.0,780.0,57.0,737.0,656.0,1058.0,1.0,15.0,6.0,5.0
667.0,933.0,1363.0,528.0,339.0,6.0,321.0,1326.0,971.0,526.0,153.0,551.0,937.0,1296.0,11.0,30.0,30.0,12.0
467.0,681.0,1295.0,785.0,205.0,1.0,172.0,1177.0,1315.0,349.0,271.0,349.0,1277.0,1479.0,24.0,66.0,55.0,32.0
272.0,417.0,1056.0,1232.0,108.0,0.0,85.0,930.0,1641.0,213.0,514.0,150.0,1539.0,1363.0,59.0,175.0,152.0,94.0
137.0,236.0,708.0,1678.0,38.0,0.0,37.0,577.0,1656.0,104.0,908.0,89.0,1644.0,1124.0,180.0,379.0,293.0,212.0
66.0,126.0,445.0,1968.0,19.0,0.0,14.0,331.0,1281.0,46.0,1416.0,36.0,1415.0,733.0,402.0,756.0,567.0,379.0
20.0,41.0,196.0,1427.0,3.0,0.0,3.0,138.0,807.0,17.0,2110.0,10.0,804.0,354.0,834.0,1247.0,1120.0,869.0
7.0,10.0,75.0,880.0,0.0,0.0,1.0,47.0,392.0,7.0,1803.0,1.0,417.0,145.0,1405.0,1822.0,1663.0,1325.0
1.0,4.0,21.0,448.0,0.0,0.0,0.0,20.0,179.0,0.0,1340.0,0.0,188.0,61.0,1867.0,2007.0,2001.0,1863.0
1.0,1.0,13.0,251.0,0.0,0.0,0.0,4.0,91.0,0.0,871.0,0.0,82.0,14.0,2337.0,1879.0,2056.0,2400.0
0.0,0.0,4.0,91.0,0.0,0.0,0.0,0.0,20.0,0.0,499.0,0.0,26.0,8.0,2878.0,1616.0,2052.0,2806.0
