Arouca,FC Porto,Maritimo,C.D. Nacional,Santa Clara,Benfica,Sporting CP,Gil Vicente,Estrela,Braga,FC Famalicao,Estoril,Moreirense,Académico de Viseu,Alverca,Vitória de Guimaraes,Rio Ave,Casa Pia
0.0,3930.0,0.0,0.0,0.0,2807.0,3236.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3268.0,8.0,0.0,0.0,3255.0,3350.0,4.0,0.0,112.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2561.0,63.0,0.0,1.0,3526.0,3117.0,37.0,0.0,649.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
275.0,224.0,1210.0,109.0,64.0,389.0,273.0,889.0,4.0,5619.0,797.0,29.0,1.0,112.0,1.0,4.0,0.0,0.0
818.0,14.0,2337.0,382.0,327.0,20.0,24.0,1831.0,30.0,1931.0,1769.0,114.0,16.0,348.0,17.0,22.0,0.0,0.0
1104.0,3.0,1954.0,724.0,535.0,0.0,0.0,1769.0,91.0,860.0,1902.0,299.0,28.0,634.0,34.0,60.0,3.0,0.0
1310.0,0.0,1423.0,947.0,830.0,2.0,0.0,1572.0,149.0,397.0,1676.0,478.0,56.0,922.0,66.0,156.0,15.0,1.0
1407.0,0.0,1056.0,1182.0,999.0,1.0,0.0,1228.0,255.0,193.0,1276.0,697.0,107.0,1152.0,151.0,272.0,23.0,1.0
1334.0,0.0,740.0,1283.0,1208.0,0.0,0.0,917.0,416.0,112.0,905.0,927.0,239.0,1207.0,258.0,380.0,63.0,11.0
1102.0,0.0,493.0,1300.0,1340.0,0.0,0.0,633.0,670.0,55.0,638.0,1118.0,319.0,1301.0,371.0,534.0,110.0,16.0
904.0,0.0,308.0,1243.0,1263.0,0.0,0.0,434.0,836.0,24.0,441.0,1225.0,515.0,1223.0,587.0,761.0,205.0,31.0
681.0,0.0,195.0,962.0,1060.0,0.0,0.0,306.0,1129.0,9.0,267.0,1305.0,742.0,1017.0,842.0,1075.0,333.0,77.0
481.0,0.0,117.0,757.0,848.0,0.0,0.0,190.0,1341.0,9.0,146.0,1222.0,1013.0,804.0,1098.0,1292.0,535.0,147.0
263.0,0.0,64.0,534.0,695.0,0.0,0.0,113.0,1421.0,4.0,75.0,1000.0,1271.0,557.0,1397.0,1431.0,897.0,278.0
193.0,0.0,21.0,296.0,434.0,0.0,0.0,44.0,1368.0,0.0,39.0,745.0,1619.0,364.0,1621.0,1467.0,1236.0,553.0
94.0,0.0,9.0,173.0,249.0,0.0,0.0,25.0,1170.0,0.0,23.0,488.0,1689.0,227.0,1608.0,1224.0,2017.0,1004.0
27.0,0.0,2.0,88.0,117.0,0.0,0.0,8.0,760.0,0.0,1.0,265.0,1587.0,101.0,1326.0,940.0,2603.0,2175.0
2.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,360.0,0.0,1.0,88.0,798.0,30.0,623.0,382.0,1960.0,5706.0
