Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Atlético-MG,Corinthians,Coritiba,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
3414.0,6566.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6294.0,3334.0,217.0,104.0,40.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260.0,91.0,4379.0,2959.0,1305.0,159.0,100.0,282.0,68.0,12.0,364.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30.0,7.0,2577.0,2936.0,1789.0,451.0,313.0,650.0,216.0,77.0,849.0,9.0,82.0,1.0,4.0,1.0,7.0,0.0,1.0,0.0
2.0,2.0,1370.0,1817.0,1963.0,924.0,616.0,1106.0,513.0,148.0,1294.0,29.0,166.0,14.0,13.0,4.0,17.0,2.0,0.0,0.0
0.0,0.0,688.0,982.0,1628.0,1216.0,947.0,1365.0,791.0,320.0,1561.0,50.0,312.0,43.0,38.0,6.0,48.0,3.0,2.0,0.0
0.0,0.0,398.0,569.0,1136.0,1413.0,1171.0,1455.0,1070.0,482.0,1479.0,113.0,428.0,76.0,83.0,26.0,91.0,4.0,6.0,0.0
0.0,0.0,182.0,295.0,805.0,1374.0,1250.0,1328.0,1304.0,736.0,1331.0,196.0,668.0,139.0,167.0,54.0,145.0,13.0,13.0,0.0
0.0,0.0,102.0,168.0,591.0,1234.0,1302.0,1175.0,1367.0,909.0,977.0,279.0,929.0,222.0,286.0,100.0,286.0,33.0,40.0,0.0
0.0,0.0,46.0,81.0,345.0,1044.0,1196.0,927.0,1332.0,1178.0,792.0,481.0,1109.0,344.0,376.0,204.0,435.0,49.0,61.0,0.0
0.0,0.0,18.0,44.0,206.0,785.0,978.0,665.0,1080.0,1294.0,561.0,732.0,1305.0,505.0,665.0,306.0,638.0,99.0,119.0,0.0
0.0,0.0,5.0,26.0,98.0,534.0,761.0,439.0,804.0,1356.0,346.0,940.0,1287.0,786.0,843.0,508.0,870.0,193.0,204.0,0.0
0.0,0.0,3.0,9.0,53.0,383.0,549.0,278.0,599.0,1167.0,225.0,1131.0,1139.0,1002.0,1138.0,672.0,1009.0,304.0,339.0,0.0
0.0,0.0,2.0,3.0,27.0,249.0,346.0,169.0,393.0,837.0,114.0,1340.0,873.0,1200.0,1346.0,935.0,1192.0,511.0,462.0,1.0
0.0,0.0,0.0,1.0,9.0,130.0,231.0,87.0,238.0,614.0,44.0,1383.0,674.0,1281.0,1313.0,1188.0,1300.0,757.0,750.0,0.0
0.0,0.0,0.0,0.0,2.0,68.0,136.0,56.0,118.0,408.0,30.0,1258.0,471.0,1289.0,1202.0,1421.0,1288.0,1132.0,1117.0,4.0
0.0,0.0,0.0,0.0,2.0,27.0,66.0,15.0,72.0,282.0,17.0,1015.0,292.0,1311.0,1015.0,1563.0,1214.0,1671.0,1431.0,7.0
0.0,0.0,0.0,0.0,0.0,6.0,32.0,1.0,31.0,146.0,5.0,680.0,159.0,1058.0,906.0,1623.0,858.0,2318.0,2126.0,51.0
0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,34.0,3.0,360.0,84.0,716.0,594.0,1347.0,591.0,2835.0,3205.0,219.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,13.0,10.0,42.0,11.0,76.0,124.0,9718.0
