Espanyol,Alavés,Sevilla,Racing Santander,Villarreal,Deportivo La Coruña,Elche,Athletic Club,Atlético Madrid,Barcelona,Celta Vigo,Málaga,Osasuna,Real Betis,Real Madrid,Real Sociedad,Valencia,Rayo Vallecano,Levante,Getafe
0.0,0.0,0.0,1.0,154.0,1.0,0.0,0.0,40.0,7629.0,5.0,1.0,0.0,8.0,2160.0,0.0,0.0,1.0,0.0,0.0
3.0,2.0,0.0,26.0,1116.0,22.0,0.0,0.0,401.0,2091.0,61.0,13.0,8.0,187.0,6043.0,20.0,4.0,3.0,0.0,0.0
29.0,72.0,12.0,199.0,3932.0,201.0,30.0,5.0,1997.0,236.0,481.0,180.0,41.0,1003.0,1295.0,180.0,38.0,59.0,5.0,5.0
90.0,172.0,59.0,479.0,2151.0,428.0,103.0,28.0,2381.0,36.0,929.0,376.0,119.0,1565.0,323.0,432.0,133.0,147.0,20.0,29.0
175.0,310.0,116.0,709.0,1142.0,651.0,198.0,68.0,1604.0,7.0,1201.0,591.0,242.0,1563.0,115.0,656.0,227.0,327.0,26.0,72.0
267.0,473.0,161.0,834.0,605.0,731.0,322.0,82.0,1089.0,0.0,1208.0,756.0,378.0,1243.0,42.0,808.0,365.0,470.0,62.0,104.0
356.0,552.0,276.0,836.0,331.0,826.0,399.0,135.0,706.0,1.0,1029.0,872.0,445.0,1023.0,13.0,890.0,461.0,581.0,100.0,168.0
441.0,642.0,351.0,945.0,222.0,874.0,484.0,200.0,498.0,0.0,889.0,895.0,477.0,764.0,3.0,814.0,516.0,598.0,180.0,207.0
493.0,697.0,384.0,859.0,139.0,866.0,588.0,220.0,361.0,0.0,844.0,792.0,564.0,599.0,5.0,834.0,576.0,682.0,195.0,302.0
541.0,731.0,535.0,791.0,73.0,889.0,576.0,336.0,257.0,0.0,632.0,768.0,633.0,527.0,1.0,804.0,588.0,692.0,263.0,363.0
642.0,763.0,489.0,701.0,54.0,726.0,630.0,385.0,214.0,0.0,612.0,742.0,709.0,410.0,0.0,773.0,634.0,783.0,332.0,401.0
720.0,729.0,643.0,697.0,32.0,662.0,692.0,403.0,156.0,0.0,499.0,669.0,694.0,286.0,0.0,687.0,753.0,799.0,413.0,466.0
805.0,748.0,683.0,592.0,22.0,571.0,755.0,482.0,111.0,0.0,397.0,699.0,766.0,239.0,0.0,618.0,740.0,729.0,449.0,594.0
799.0,709.0,766.0,541.0,12.0,585.0,732.0,621.0,62.0,0.0,316.0,592.0,776.0,183.0,0.0,568.0,779.0,699.0,544.0,716.0
847.0,672.0,833.0,438.0,6.0,521.0,771.0,710.0,52.0,0.0,280.0,474.0,779.0,136.0,0.0,513.0,807.0,727.0,681.0,753.0
785.0,716.0,821.0,421.0,6.0,435.0,833.0,836.0,35.0,0.0,217.0,461.0,779.0,86.0,0.0,436.0,757.0,666.0,819.0,891.0
836.0,662.0,911.0,330.0,0.0,364.0,817.0,1035.0,17.0,0.0,143.0,383.0,718.0,81.0,0.0,332.0,734.0,619.0,994.0,1024.0
826.0,564.0,992.0,282.0,2.0,269.0,801.0,1152.0,9.0,0.0,116.0,336.0,720.0,57.0,0.0,284.0,701.0,573.0,1191.0,1125.0
733.0,464.0,1015.0,208.0,1.0,236.0,702.0,1389.0,7.0,0.0,92.0,255.0,617.0,23.0,0.0,216.0,650.0,492.0,1556.0,1344.0
612.0,322.0,953.0,111.0,0.0,142.0,567.0,1913.0,3.0,0.0,49.0,145.0,535.0,17.0,0.0,135.0,537.0,353.0,2170.0,1436.0
