Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Vasco da Gama,Coritiba,Vitória,Cruzeiro,Botafogo,Atlético-MG,Internacional,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
6502.0,3259.0,152.0,60.0,20.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3012.0,5461.0,843.0,356.0,203.0,19.0,18.0,29.0,27.0,5.0,8.0,2.0,2.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0
390.0,943.0,3789.0,2013.0,1415.0,251.0,180.0,258.0,279.0,59.0,76.0,64.0,46.0,107.0,77.0,25.0,27.0,1.0,0.0,0.0
72.0,237.0,2160.0,2333.0,1793.0,551.0,515.0,482.0,560.0,165.0,171.0,167.0,110.0,301.0,205.0,106.0,70.0,1.0,1.0,0.0
16.0,54.0,1188.0,1720.0,1722.0,809.0,768.0,738.0,802.0,251.0,291.0,312.0,216.0,454.0,309.0,175.0,170.0,4.0,1.0,0.0
6.0,31.0,657.0,1112.0,1272.0,952.0,984.0,899.0,924.0,358.0,455.0,452.0,322.0,636.0,462.0,244.0,217.0,11.0,6.0,0.0
1.0,8.0,414.0,720.0,900.0,1003.0,980.0,944.0,992.0,502.0,531.0,571.0,451.0,690.0,605.0,360.0,305.0,18.0,5.0,0.0
0.0,4.0,280.0,477.0,694.0,972.0,881.0,955.0,919.0,633.0,602.0,675.0,546.0,755.0,649.0,506.0,396.0,37.0,19.0,0.0
1.0,2.0,200.0,370.0,516.0,991.0,896.0,892.0,883.0,669.0,643.0,757.0,591.0,779.0,708.0,537.0,482.0,55.0,28.0,0.0
0.0,1.0,120.0,259.0,414.0,790.0,853.0,788.0,874.0,776.0,688.0,831.0,646.0,875.0,763.0,621.0,570.0,96.0,35.0,0.0
0.0,0.0,79.0,197.0,300.0,747.0,804.0,820.0,787.0,794.0,734.0,818.0,772.0,873.0,794.0,710.0,581.0,121.0,68.0,1.0
0.0,0.0,43.0,125.0,255.0,687.0,671.0,711.0,680.0,907.0,780.0,852.0,876.0,834.0,831.0,808.0,681.0,154.0,102.0,3.0
0.0,0.0,36.0,93.0,177.0,602.0,664.0,601.0,564.0,883.0,836.0,926.0,930.0,766.0,855.0,903.0,798.0,234.0,131.0,1.0
0.0,0.0,14.0,73.0,123.0,506.0,537.0,567.0,509.0,899.0,910.0,854.0,869.0,783.0,873.0,968.0,926.0,347.0,233.0,9.0
0.0,0.0,14.0,47.0,88.0,422.0,489.0,450.0,434.0,894.0,890.0,810.0,992.0,705.0,806.0,1047.0,1059.0,492.0,350.0,11.0
0.0,0.0,9.0,27.0,63.0,326.0,347.0,402.0,344.0,852.0,847.0,772.0,954.0,589.0,815.0,1057.0,1264.0,784.0,522.0,26.0
0.0,0.0,2.0,14.0,32.0,231.0,247.0,278.0,265.0,714.0,796.0,636.0,942.0,461.0,661.0,1009.0,1259.0,1340.0,1028.0,85.0
0.0,0.0,0.0,4.0,12.0,102.0,131.0,143.0,117.0,465.0,511.0,357.0,515.0,291.0,422.0,637.0,800.0,2935.0,2265.0,293.0
0.0,0.0,0.0,0.0,1.0,37.0,32.0,39.0,36.0,164.0,223.0,128.0,207.0,81.0,147.0,266.0,364.0,2780.0,4283.0,1212.0
0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,10.0,8.0,16.0,13.0,11.0,13.0,20.0,30.0,590.0,923.0,8359.0
