Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Rayo Vallecano,Osasuna,Valencia,Sevilla,Elche,Mallorca,Espanyol,Girona,Alavés,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9921.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,79.0,9921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8940.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1060.0,8767.0,112.0,40.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,154.0,3569.0,3568.0,584.0,780.0,1148.0,150.0,1.0,5.0,23.0,16.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,15.0,2590.0,2728.0,1219.0,1159.0,1529.0,469.0,10.0,32.0,104.0,106.0,39.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,1636.0,1606.0,1831.0,1739.0,1810.0,648.0,28.0,114.0,321.0,160.0,100.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1119.0,890.0,2107.0,1897.0,1841.0,926.0,94.0,251.0,459.0,239.0,145.0,31.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,642.0,498.0,1705.0,1515.0,1595.0,1446.0,188.0,573.0,913.0,455.0,392.0,75.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,262.0,312.0,1187.0,1081.0,869.0,1848.0,297.0,1004.0,1354.0,821.0,819.0,127.0,19.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,58.0,197.0,850.0,965.0,534.0,1645.0,615.0,1212.0,1513.0,966.0,1144.0,270.0,31.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,124.0,377.0,594.0,340.0,1362.0,1165.0,1391.0,1576.0,1167.0,1228.0,590.0,74.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,124.0,219.0,222.0,906.0,1539.0,1459.0,1442.0,1634.0,1359.0,862.0,200.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,38.0,81.0,441.0,2051.0,1517.0,1039.0,1576.0,1626.0,1207.0,414.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,126.0,2476.0,1364.0,679.0,1412.0,1483.0,1816.0,616.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,1362.0,870.0,450.0,1196.0,1389.0,3132.0,1563.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,208.0,127.0,252.0,274.0,1884.0,7074.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,9992.0
