Palmeiras,Flamengo,Fluminense,Athletico Paranaense,Red Bull Bragantino,Coritiba,São Paulo,Bahia,Cruzeiro,Botafogo,Vitória,Atlético-MG,Internacional,Grêmio,Corinthians,Vasco da Gama,Santos,Mirassol,Remo,Chapecoense
9400.0,453.0,65.0,26.0,25.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510.0,5443.0,1515.0,695.0,778.0,737.0,210.0,3.0,26.0,26.0,7.0,5.0,35.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0
75.0,2050.0,2422.0,1418.0,1466.0,1572.0,591.0,32.0,85.0,79.0,24.0,34.0,98.0,36.0,12.0,4.0,2.0,0.0,0.0,0.0
11.0,984.0,2034.0,1632.0,1828.0,1666.0,848.0,73.0,202.0,228.0,64.0,95.0,213.0,78.0,28.0,14.0,2.0,0.0,0.0,0.0
2.0,545.0,1366.0,1681.0,1699.0,1746.0,1197.0,141.0,294.0,382.0,117.0,130.0,438.0,161.0,70.0,15.0,12.0,3.0,1.0,0.0
0.0,278.0,999.0,1388.0,1448.0,1413.0,1372.0,314.0,485.0,581.0,248.0,305.0,672.0,295.0,111.0,39.0,43.0,2.0,7.0,0.0
0.0,125.0,618.0,1078.0,1000.0,1046.0,1505.0,491.0,701.0,883.0,369.0,453.0,902.0,463.0,205.0,72.0,70.0,11.0,8.0,0.0
0.0,66.0,384.0,717.0,673.0,690.0,1174.0,691.0,856.0,1107.0,538.0,624.0,1150.0,691.0,354.0,113.0,120.0,30.0,22.0,0.0
1.0,29.0,248.0,484.0,417.0,422.0,912.0,837.0,1042.0,1177.0,744.0,806.0,1062.0,850.0,481.0,219.0,198.0,39.0,32.0,0.0
1.0,21.0,137.0,348.0,274.0,265.0,680.0,1018.0,1001.0,1095.0,897.0,940.0,1107.0,963.0,592.0,300.0,255.0,57.0,49.0,0.0
0.0,4.0,90.0,222.0,159.0,174.0,492.0,1080.0,966.0,1013.0,971.0,1027.0,1020.0,1009.0,767.0,448.0,339.0,110.0,109.0,0.0
0.0,1.0,55.0,137.0,109.0,114.0,368.0,1033.0,952.0,894.0,1076.0,1055.0,841.0,1072.0,939.0,564.0,463.0,169.0,158.0,0.0
0.0,1.0,34.0,76.0,59.0,61.0,243.0,1023.0,880.0,740.0,1101.0,1038.0,694.0,991.0,1091.0,777.0,680.0,261.0,248.0,2.0
0.0,0.0,20.0,48.0,36.0,35.0,163.0,971.0,811.0,640.0,1051.0,984.0,584.0,973.0,1164.0,944.0,867.0,373.0,336.0,0.0
0.0,0.0,9.0,29.0,19.0,17.0,113.0,785.0,650.0,473.0,931.0,840.0,479.0,857.0,1238.0,1173.0,1180.0,653.0,551.0,3.0
0.0,0.0,3.0,14.0,5.0,13.0,72.0,668.0,497.0,356.0,829.0,754.0,322.0,683.0,1164.0,1382.0,1473.0,950.0,807.0,8.0
0.0,0.0,0.0,3.0,5.0,4.0,43.0,453.0,310.0,197.0,607.0,503.0,210.0,478.0,969.0,1629.0,1711.0,1555.0,1304.0,19.0
0.0,0.0,1.0,4.0,0.0,1.0,9.0,291.0,169.0,94.0,299.0,282.0,125.0,291.0,581.0,1430.0,1552.0,2421.0,2369.0,81.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,72.0,34.0,124.0,123.0,46.0,100.0,228.0,840.0,996.0,3124.0,3719.0,497.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,37.0,37.0,242.0,279.0,9390.0
