Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
467.0,514.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460.0,410.0,77.0,25.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,61.0,450.0,185.0,127.0,90.0,6.0,9.0,8.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,12.0,223.0,278.0,220.0,145.0,31.0,25.0,17.0,5.0,10.0,11.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0
3.0,2.0,107.0,201.0,193.0,211.0,53.0,53.0,66.0,23.0,33.0,20.0,4.0,9.0,3.0,10.0,9.0,0.0,0.0,0.0
2.0,1.0,74.0,121.0,166.0,193.0,85.0,95.0,73.0,37.0,62.0,33.0,10.0,11.0,5.0,19.0,13.0,0.0,0.0,0.0
0.0,0.0,22.0,75.0,93.0,124.0,120.0,107.0,122.0,65.0,78.0,66.0,20.0,37.0,14.0,33.0,24.0,0.0,0.0,0.0
0.0,0.0,18.0,49.0,68.0,72.0,104.0,114.0,103.0,87.0,92.0,76.0,38.0,55.0,13.0,67.0,41.0,0.0,3.0,0.0
0.0,0.0,9.0,31.0,42.0,61.0,122.0,124.0,108.0,81.0,96.0,73.0,48.0,65.0,19.0,62.0,52.0,3.0,4.0,0.0
0.0,0.0,4.0,15.0,29.0,33.0,118.0,105.0,106.0,123.0,94.0,64.0,55.0,80.0,36.0,82.0,45.0,6.0,5.0,0.0
0.0,0.0,0.0,8.0,18.0,32.0,77.0,103.0,96.0,100.0,94.0,88.0,71.0,86.0,51.0,81.0,73.0,7.0,15.0,0.0
0.0,0.0,0.0,6.0,7.0,12.0,71.0,65.0,75.0,109.0,95.0,90.0,79.0,107.0,64.0,99.0,90.0,11.0,20.0,0.0
0.0,0.0,0.0,4.0,8.0,4.0,64.0,47.0,80.0,94.0,68.0,116.0,95.0,101.0,91.0,91.0,94.0,18.0,25.0,0.0
0.0,0.0,0.0,0.0,1.0,8.0,48.0,46.0,51.0,73.0,95.0,86.0,97.0,106.0,102.0,93.0,117.0,33.0,42.0,2.0
0.0,0.0,0.0,0.0,3.0,1.0,42.0,36.0,44.0,76.0,67.0,85.0,130.0,91.0,96.0,104.0,116.0,47.0,56.0,6.0
0.0,0.0,0.0,2.0,2.0,3.0,26.0,34.0,29.0,61.0,45.0,75.0,129.0,84.0,130.0,97.0,108.0,73.0,97.0,5.0
0.0,0.0,0.0,0.0,0.0,3.0,21.0,24.0,12.0,33.0,42.0,66.0,108.0,88.0,166.0,72.0,91.0,132.0,131.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,4.0,17.0,19.0,33.0,72.0,45.0,124.0,60.0,88.0,242.0,237.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,9.0,9.0,15.0,36.0,30.0,79.0,24.0,36.0,345.0,288.0,118.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,3.0,7.0,1.0,1.0,83.0,77.0,819.0
