Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,Corinthians,São Paulo,Vitória,Grêmio,Mirassol,Santos,Internacional,Remo,Vasco da Gama,Chapecoense
9576.0,374.0,45.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399.0,7284.0,1736.0,116.0,15.0,62.0,328.0,29.0,0.0,16.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23.0,1783.0,4630.0,835.0,182.0,470.0,1504.0,232.0,18.0,171.0,132.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,385.0,1780.0,1862.0,482.0,1180.0,2578.0,630.0,71.0,464.0,455.0,80.0,4.0,13.0,0.0,7.0,7.0,0.0,0.0,0.0
0.0,109.0,877.0,1932.0,791.0,1543.0,1816.0,991.0,183.0,749.0,772.0,179.0,10.0,31.0,0.0,9.0,6.0,1.0,1.0,0.0
0.0,39.0,429.0,1621.0,1025.0,1572.0,1296.0,1250.0,294.0,982.0,999.0,355.0,31.0,62.0,1.0,18.0,24.0,1.0,1.0,0.0
0.0,17.0,257.0,1221.0,1204.0,1377.0,883.0,1388.0,408.0,1156.0,1249.0,558.0,60.0,106.0,4.0,54.0,47.0,2.0,9.0,0.0
0.0,4.0,131.0,919.0,1292.0,1119.0,591.0,1360.0,652.0,1339.0,1323.0,772.0,94.0,192.0,13.0,82.0,97.0,8.0,12.0,0.0
0.0,4.0,59.0,627.0,1343.0,944.0,414.0,1222.0,863.0,1307.0,1338.0,968.0,180.0,331.0,29.0,156.0,177.0,16.0,22.0,0.0
0.0,1.0,31.0,397.0,1258.0,734.0,271.0,997.0,1187.0,1219.0,1174.0,1283.0,300.0,494.0,52.0,250.0,261.0,31.0,60.0,0.0
0.0,0.0,15.0,258.0,915.0,460.0,178.0,765.0,1529.0,1008.0,976.0,1409.0,480.0,790.0,140.0,437.0,454.0,74.0,112.0,0.0
0.0,0.0,7.0,114.0,711.0,273.0,82.0,507.0,1576.0,696.0,719.0,1402.0,754.0,1183.0,252.0,642.0,690.0,184.0,208.0,0.0
0.0,0.0,1.0,63.0,388.0,146.0,31.0,316.0,1188.0,442.0,431.0,1041.0,1135.0,1524.0,487.0,977.0,1139.0,312.0,379.0,0.0
0.0,0.0,2.0,19.0,220.0,66.0,14.0,159.0,837.0,245.0,223.0,782.0,1384.0,1536.0,722.0,1341.0,1307.0,531.0,612.0,0.0
0.0,0.0,0.0,10.0,104.0,34.0,7.0,92.0,537.0,116.0,105.0,518.0,1467.0,1282.0,1101.0,1374.0,1562.0,832.0,859.0,0.0
0.0,0.0,0.0,4.0,53.0,14.0,2.0,35.0,349.0,52.0,59.0,314.0,1398.0,1004.0,1462.0,1376.0,1359.0,1221.0,1298.0,0.0
0.0,0.0,0.0,1.0,11.0,4.0,0.0,20.0,207.0,25.0,22.0,200.0,1194.0,738.0,1834.0,1264.0,1219.0,1668.0,1591.0,2.0
0.0,0.0,0.0,1.0,6.0,1.0,0.0,7.0,73.0,10.0,9.0,89.0,914.0,480.0,2018.0,1118.0,970.0,2221.0,2078.0,5.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,3.0,2.0,29.0,594.0,233.0,1875.0,892.0,679.0,2887.0,2736.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,3.0,1.0,11.0,22.0,9952.0
