Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Red Bull Bragantino,Bahia,Coritiba,Botafogo,Atlético-MG,Internacional,Vasco da Gama,Cruzeiro,Vitória,Grêmio,Santos,Corinthians,Remo,Mirassol,Chapecoense
6175.0,3565.0,222.0,13.0,6.0,5.0,1.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3288.0,5275.0,938.0,168.0,94.0,41.0,10.0,123.0,11.0,6.0,41.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437.0,901.0,4570.0,1093.0,756.0,416.0,106.0,1010.0,110.0,105.0,422.0,22.0,28.0,6.0,11.0,3.0,4.0,0.0,0.0,0.0
81.0,182.0,1893.0,1858.0,1357.0,918.0,352.0,1585.0,324.0,249.0,888.0,108.0,109.0,22.0,40.0,21.0,12.0,1.0,0.0,0.0
15.0,52.0,984.0,1628.0,1449.0,1190.0,550.0,1535.0,540.0,412.0,1064.0,156.0,206.0,58.0,70.0,41.0,36.0,11.0,3.0,0.0
3.0,15.0,571.0,1258.0,1311.0,1228.0,770.0,1373.0,746.0,595.0,1221.0,272.0,249.0,97.0,125.0,67.0,76.0,21.0,2.0,0.0
0.0,7.0,365.0,1045.0,1140.0,1238.0,929.0,1103.0,821.0,791.0,1139.0,397.0,410.0,174.0,225.0,98.0,88.0,24.0,6.0,0.0
1.0,1.0,190.0,837.0,937.0,1092.0,1028.0,992.0,1013.0,857.0,1083.0,520.0,472.0,256.0,292.0,200.0,163.0,59.0,7.0,0.0
0.0,2.0,131.0,624.0,747.0,967.0,1087.0,722.0,1038.0,1009.0,962.0,685.0,607.0,375.0,434.0,257.0,246.0,97.0,10.0,0.0
0.0,0.0,50.0,476.0,654.0,779.0,1055.0,514.0,1024.0,1131.0,808.0,804.0,742.0,514.0,582.0,365.0,334.0,147.0,21.0,0.0
0.0,0.0,41.0,344.0,486.0,688.0,960.0,369.0,1026.0,1085.0,723.0,926.0,836.0,631.0,689.0,455.0,476.0,216.0,49.0,0.0
0.0,0.0,14.0,252.0,374.0,518.0,846.0,240.0,897.0,997.0,508.0,1083.0,928.0,775.0,921.0,610.0,644.0,333.0,60.0,0.0
0.0,0.0,18.0,182.0,276.0,340.0,726.0,177.0,757.0,790.0,439.0,1073.0,993.0,1025.0,980.0,847.0,799.0,461.0,117.0,0.0
0.0,0.0,8.0,100.0,172.0,280.0,553.0,111.0,601.0,685.0,270.0,1023.0,1041.0,1208.0,1134.0,1010.0,958.0,639.0,206.0,1.0
0.0,0.0,2.0,62.0,109.0,150.0,432.0,66.0,444.0,522.0,205.0,949.0,958.0,1236.0,1219.0,1280.0,1208.0,849.0,306.0,3.0
0.0,0.0,3.0,26.0,84.0,79.0,287.0,38.0,314.0,360.0,119.0,862.0,951.0,1232.0,1179.0,1339.0,1414.0,1132.0,574.0,7.0
0.0,0.0,0.0,24.0,35.0,53.0,207.0,22.0,193.0,243.0,61.0,603.0,749.0,1126.0,1035.0,1471.0,1534.0,1598.0,1020.0,26.0
0.0,0.0,0.0,10.0,12.0,17.0,82.0,11.0,112.0,128.0,34.0,361.0,536.0,874.0,756.0,1270.0,1358.0,2306.0,2033.0,100.0
0.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,28.0,34.0,10.0,150.0,179.0,381.0,302.0,635.0,622.0,1966.0,4937.0,735.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,10.0,6.0,31.0,28.0,140.0,649.0,9128.0
