Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Atlético-MG,Internacional,Red Bull Bragantino,Coritiba,Vasco da Gama,Cruzeiro,Vitória,Botafogo,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
7313.0,2262.0,392.0,21.0,3.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2214.0,5674.0,1752.0,151.0,56.0,1.0,14.0,74.0,2.0,51.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408.0,1685.0,5019.0,1039.0,518.0,42.0,150.0,525.0,57.0,429.0,48.0,50.0,10.0,7.0,4.0,6.0,3.0,0.0,0.0,0.0
47.0,275.0,1517.0,2327.0,1580.0,278.0,539.0,1350.0,235.0,1264.0,184.0,211.0,49.0,64.0,37.0,31.0,12.0,0.0,0.0,0.0
13.0,76.0,632.0,1777.0,1648.0,465.0,834.0,1504.0,462.0,1444.0,352.0,342.0,125.0,117.0,98.0,62.0,49.0,0.0,0.0,0.0
3.0,17.0,322.0,1353.0,1437.0,673.0,987.0,1406.0,624.0,1368.0,470.0,516.0,187.0,242.0,169.0,114.0,107.0,5.0,0.0,0.0
2.0,7.0,191.0,949.0,1179.0,880.0,1144.0,1219.0,773.0,1224.0,640.0,609.0,293.0,368.0,218.0,172.0,127.0,2.0,3.0,0.0
0.0,2.0,84.0,720.0,937.0,1029.0,1106.0,993.0,883.0,1018.0,730.0,724.0,421.0,495.0,325.0,305.0,207.0,15.0,6.0,0.0
0.0,1.0,49.0,510.0,734.0,974.0,1099.0,798.0,1059.0,843.0,808.0,799.0,533.0,622.0,423.0,392.0,307.0,39.0,10.0,0.0
0.0,1.0,23.0,376.0,582.0,1008.0,954.0,620.0,1047.0,633.0,848.0,881.0,667.0,822.0,570.0,506.0,394.0,55.0,13.0,0.0
0.0,0.0,12.0,272.0,388.0,1008.0,774.0,458.0,974.0,510.0,949.0,910.0,821.0,907.0,699.0,648.0,546.0,93.0,31.0,0.0
0.0,0.0,6.0,202.0,303.0,901.0,671.0,357.0,900.0,406.0,913.0,869.0,990.0,1016.0,820.0,799.0,653.0,147.0,47.0,0.0
0.0,0.0,0.0,123.0,237.0,812.0,566.0,249.0,826.0,291.0,859.0,863.0,1129.0,1051.0,924.0,997.0,791.0,196.0,85.0,1.0
0.0,0.0,0.0,82.0,175.0,612.0,420.0,202.0,699.0,225.0,910.0,869.0,1101.0,1064.0,1107.0,1076.0,1003.0,323.0,129.0,3.0
0.0,0.0,1.0,55.0,111.0,553.0,334.0,128.0,579.0,149.0,795.0,807.0,1078.0,999.0,1222.0,1215.0,1223.0,521.0,228.0,2.0
0.0,0.0,0.0,28.0,60.0,412.0,200.0,68.0,425.0,77.0,689.0,710.0,1085.0,940.0,1246.0,1371.0,1430.0,804.0,445.0,10.0
0.0,0.0,0.0,11.0,39.0,216.0,146.0,30.0,298.0,47.0,506.0,540.0,829.0,774.0,1166.0,1328.0,1713.0,1460.0,861.0,36.0
0.0,0.0,0.0,4.0,9.0,112.0,52.0,11.0,122.0,15.0,228.0,245.0,518.0,408.0,700.0,744.0,1031.0,3341.0,2288.0,172.0
0.0,0.0,0.0,0.0,4.0,24.0,9.0,2.0,34.0,4.0,65.0,49.0,155.0,99.0,255.0,225.0,381.0,2619.0,5063.0,1012.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,5.0,17.0,9.0,23.0,380.0,791.0,8764.0
