Barcelona,Real Madrid,Real Betis,Atlético Madrid,Alavés,Osasuna,Sevilla,Deportivo La Coruña,Levante,Racing Santander,Real Sociedad,Espanyol,Athletic Club,Getafe,Villarreal,Celta Vigo,Valencia,Rayo Vallecano,Elche,Málaga
7307.0,2242.0,111.0,182.0,10.0,15.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,117.0,2.0,0.0,1.0,1.0,0.0
2094.0,5087.0,600.0,1078.0,105.0,136.0,36.0,7.0,26.0,0.0,34.0,15.0,13.0,18.0,683.0,38.0,7.0,15.0,8.0,0.0
417.0,1613.0,1761.0,2439.0,438.0,501.0,184.0,41.0,170.0,10.0,203.0,82.0,46.0,99.0,1662.0,134.0,52.0,114.0,34.0,0.0
126.0,550.0,1806.0,1877.0,781.0,800.0,380.0,93.0,300.0,23.0,333.0,183.0,126.0,191.0,1756.0,283.0,103.0,211.0,78.0,0.0
40.0,241.0,1477.0,1349.0,912.0,995.0,513.0,156.0,440.0,34.0,529.0,274.0,247.0,313.0,1422.0,433.0,165.0,325.0,135.0,0.0
12.0,135.0,1073.0,912.0,1020.0,1026.0,620.0,243.0,551.0,93.0,644.0,387.0,315.0,415.0,1138.0,555.0,229.0,403.0,229.0,0.0
3.0,57.0,809.0,621.0,951.0,975.0,697.0,328.0,666.0,143.0,755.0,474.0,407.0,506.0,801.0,661.0,309.0,529.0,308.0,0.0
1.0,30.0,673.0,439.0,905.0,914.0,740.0,375.0,704.0,163.0,797.0,552.0,461.0,583.0,609.0,691.0,427.0,588.0,347.0,1.0
0.0,16.0,441.0,330.0,827.0,828.0,784.0,466.0,740.0,220.0,772.0,608.0,554.0,617.0,480.0,765.0,472.0,620.0,459.0,1.0
0.0,9.0,339.0,205.0,714.0,716.0,774.0,537.0,771.0,304.0,738.0,654.0,607.0,722.0,377.0,750.0,553.0,719.0,509.0,2.0
0.0,13.0,256.0,168.0,647.0,636.0,758.0,604.0,753.0,354.0,761.0,778.0,624.0,735.0,249.0,731.0,635.0,740.0,552.0,6.0
0.0,3.0,220.0,134.0,552.0,516.0,740.0,655.0,760.0,437.0,708.0,780.0,727.0,731.0,216.0,762.0,693.0,720.0,635.0,11.0
0.0,2.0,151.0,94.0,503.0,467.0,691.0,700.0,759.0,549.0,698.0,776.0,767.0,749.0,163.0,680.0,791.0,761.0,682.0,17.0
0.0,1.0,94.0,68.0,426.0,415.0,685.0,765.0,679.0,658.0,673.0,748.0,814.0,765.0,124.0,724.0,801.0,757.0,782.0,21.0
0.0,1.0,77.0,43.0,343.0,335.0,624.0,905.0,637.0,795.0,619.0,776.0,822.0,737.0,86.0,699.0,821.0,763.0,880.0,37.0
0.0,0.0,45.0,27.0,315.0,258.0,552.0,944.0,565.0,940.0,550.0,796.0,872.0,778.0,46.0,665.0,933.0,742.0,914.0,58.0
0.0,0.0,42.0,20.0,255.0,228.0,485.0,1024.0,542.0,1178.0,489.0,778.0,843.0,702.0,34.0,544.0,987.0,709.0,1008.0,132.0
0.0,0.0,16.0,7.0,162.0,152.0,407.0,1030.0,536.0,1582.0,374.0,713.0,796.0,666.0,28.0,472.0,940.0,643.0,1146.0,330.0
0.0,0.0,8.0,7.0,118.0,81.0,297.0,961.0,351.0,1991.0,288.0,535.0,819.0,595.0,8.0,359.0,931.0,555.0,1098.0,998.0
0.0,0.0,1.0,0.0,16.0,6.0,30.0,166.0,50.0,526.0,31.0,90.0,138.0,76.0,1.0,52.0,151.0,85.0,195.0,8386.0
