Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,VfB Stuttgart,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04
8420.0,28.0,7.0,265.0,961.0,0.0,179.0,2.0,7.0,1.0,4.0,0.0,82.0,39.0,2.0,2.0,1.0,0.0
1137.0,305.0,107.0,1654.0,3921.0,19.0,1338.0,38.0,141.0,39.0,97.0,0.0,733.0,391.0,29.0,9.0,42.0,0.0
302.0,557.0,271.0,2082.0,2076.0,53.0,1734.0,108.0,330.0,113.0,223.0,3.0,1239.0,683.0,77.0,34.0,115.0,0.0
97.0,799.0,431.0,1622.0,1156.0,109.0,1704.0,187.0,568.0,264.0,359.0,11.0,1388.0,895.0,153.0,47.0,210.0,0.0
26.0,945.0,556.0,1245.0,684.0,159.0,1297.0,307.0,740.0,344.0,531.0,20.0,1290.0,1139.0,273.0,96.0,348.0,0.0
10.0,997.0,714.0,944.0,472.0,270.0,1029.0,418.0,836.0,483.0,643.0,24.0,1153.0,1068.0,339.0,144.0,455.0,1.0
3.0,1035.0,754.0,681.0,316.0,397.0,751.0,587.0,914.0,576.0,681.0,64.0,949.0,1056.0,494.0,208.0,534.0,0.0
2.0,953.0,834.0,505.0,169.0,501.0,578.0,696.0,953.0,684.0,825.0,96.0,763.0,924.0,606.0,267.0,639.0,5.0
2.0,855.0,929.0,325.0,105.0,543.0,425.0,775.0,941.0,799.0,867.0,132.0,648.0,843.0,693.0,395.0,716.0,7.0
1.0,747.0,876.0,246.0,53.0,697.0,304.0,829.0,912.0,866.0,900.0,187.0,511.0,746.0,785.0,508.0,829.0,3.0
0.0,698.0,870.0,163.0,45.0,812.0,246.0,887.0,770.0,920.0,856.0,273.0,418.0,610.0,921.0,645.0,853.0,13.0
0.0,617.0,847.0,110.0,21.0,926.0,157.0,941.0,736.0,921.0,851.0,405.0,301.0,505.0,900.0,783.0,946.0,33.0
0.0,478.0,824.0,74.0,12.0,1015.0,111.0,1011.0,660.0,949.0,865.0,594.0,214.0,374.0,939.0,900.0,924.0,56.0
0.0,409.0,663.0,52.0,6.0,1167.0,75.0,985.0,515.0,929.0,794.0,771.0,150.0,314.0,1010.0,1103.0,939.0,118.0
0.0,277.0,558.0,18.0,3.0,1197.0,43.0,904.0,455.0,874.0,643.0,1099.0,77.0,209.0,1078.0,1380.0,933.0,252.0
0.0,179.0,479.0,11.0,0.0,1147.0,22.0,731.0,300.0,683.0,531.0,1847.0,55.0,140.0,912.0,1591.0,821.0,551.0
0.0,96.0,234.0,3.0,0.0,794.0,6.0,482.0,185.0,452.0,274.0,3143.0,20.0,59.0,626.0,1458.0,564.0,1604.0
0.0,25.0,46.0,0.0,0.0,194.0,1.0,112.0,37.0,103.0,56.0,1331.0,9.0,5.0,163.0,430.0,131.0,7357.0
