FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
4505.0,3896.0,1.0,0.0,1502.0,11.0,0.0,1.0,82.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3358.0,3527.0,16.0,13.0,2668.0,72.0,2.0,2.0,338.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1729.0,2092.0,132.0,76.0,4177.0,445.0,4.0,25.0,1220.0,6.0,11.0,5.0,2.0,74.0,0.0,0.0,2.0,0.0
333.0,388.0,863.0,523.0,1181.0,1904.0,70.0,205.0,3737.0,55.0,129.0,59.0,13.0,465.0,1.0,29.0,44.0,1.0
63.0,71.0,1550.0,1031.0,295.0,2310.0,188.0,494.0,2035.0,183.0,363.0,216.0,59.0,887.0,5.0,88.0,161.0,1.0
9.0,20.0,1634.0,1301.0,116.0,1665.0,394.0,726.0,1086.0,279.0,625.0,404.0,134.0,1159.0,16.0,164.0,262.0,6.0
3.0,3.0,1327.0,1358.0,36.0,1154.0,526.0,905.0,606.0,469.0,802.0,519.0,184.0,1361.0,17.0,274.0,440.0,16.0
0.0,1.0,1165.0,1218.0,10.0,748.0,729.0,967.0,372.0,609.0,948.0,678.0,284.0,1231.0,40.0,358.0,620.0,22.0
0.0,1.0,862.0,1045.0,9.0,579.0,879.0,1110.0,212.0,768.0,991.0,839.0,406.0,1084.0,60.0,481.0,632.0,42.0
0.0,1.0,713.0,943.0,1.0,415.0,961.0,1032.0,129.0,808.0,1028.0,887.0,534.0,965.0,90.0,663.0,771.0,59.0
0.0,0.0,542.0,725.0,3.0,268.0,1022.0,966.0,88.0,954.0,1022.0,964.0,718.0,794.0,162.0,740.0,924.0,108.0
0.0,0.0,435.0,575.0,2.0,188.0,1007.0,912.0,43.0,1108.0,952.0,1050.0,771.0,648.0,260.0,852.0,1011.0,186.0
0.0,0.0,292.0,427.0,0.0,108.0,1047.0,800.0,27.0,1043.0,911.0,1036.0,984.0,499.0,410.0,1090.0,1040.0,286.0
0.0,0.0,221.0,324.0,0.0,68.0,1029.0,683.0,13.0,1100.0,793.0,983.0,1146.0,338.0,575.0,1184.0,1074.0,469.0
0.0,0.0,139.0,243.0,0.0,46.0,863.0,514.0,9.0,1021.0,643.0,896.0,1323.0,248.0,958.0,1245.0,1104.0,748.0
0.0,0.0,76.0,131.0,0.0,14.0,712.0,371.0,2.0,859.0,449.0,722.0,1494.0,144.0,1596.0,1242.0,950.0,1238.0
0.0,0.0,26.0,52.0,0.0,2.0,401.0,198.0,1.0,539.0,256.0,504.0,1232.0,73.0,2549.0,979.0,666.0,2522.0
0.0,0.0,6.0,15.0,0.0,3.0,166.0,89.0,0.0,199.0,76.0,238.0,716.0,25.0,3261.0,611.0,299.0,4296.0
