Swansea City,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Middlesbrough,Bristol City,West Bromwich Albion,Birmingham City,Sheffield United,Millwall,Wrexham,West Ham United,Blackburn Rovers,Watford,Bolton Wanderers,Derby County,Lincoln City,Southampton,Cardiff City,Norwich City,Portsmouth,Stoke City,Burnley,Preston North End
568.0,156.0,102.0,4276.0,803.0,106.0,54.0,136.0,119.0,328.0,99.0,1851.0,18.0,6.0,0.0,70.0,0.0,1127.0,0.0,87.0,4.0,7.0,81.0,2.0
788.0,267.0,180.0,2069.0,1160.0,239.0,115.0,260.0,252.0,560.0,286.0,1837.0,42.0,25.0,2.0,193.0,1.0,1333.0,0.0,189.0,15.0,11.0,172.0,4.0
866.0,365.0,287.0,1165.0,1192.0,316.0,208.0,366.0,382.0,660.0,411.0,1432.0,59.0,53.0,0.0,339.0,1.0,1229.0,1.0,348.0,26.0,28.0,262.0,4.0
942.0,425.0,384.0,769.0,1044.0,417.0,284.0,462.0,494.0,757.0,470.0,1097.0,95.0,90.0,3.0,349.0,1.0,1107.0,1.0,374.0,36.0,63.0,316.0,20.0
883.0,494.0,451.0,493.0,938.0,508.0,357.0,556.0,504.0,810.0,555.0,785.0,139.0,130.0,4.0,440.0,4.0,937.0,2.0,432.0,62.0,83.0,415.0,18.0
818.0,545.0,547.0,372.0,848.0,532.0,414.0,599.0,584.0,740.0,581.0,649.0,171.0,163.0,3.0,458.0,1.0,803.0,8.0,481.0,64.0,127.0,449.0,43.0
709.0,580.0,538.0,251.0,711.0,597.0,488.0,593.0,607.0,730.0,679.0,518.0,228.0,220.0,14.0,536.0,7.0,661.0,13.0,488.0,117.0,154.0,516.0,45.0
674.0,589.0,614.0,161.0,611.0,594.0,521.0,622.0,603.0,721.0,605.0,414.0,292.0,251.0,16.0,600.0,7.0,565.0,17.0,567.0,149.0,179.0,558.0,70.0
576.0,664.0,591.0,142.0,510.0,624.0,539.0,689.0,583.0,677.0,643.0,312.0,288.0,301.0,22.0,598.0,7.0,479.0,25.0,618.0,185.0,235.0,575.0,117.0
551.0,640.0,650.0,82.0,428.0,631.0,595.0,660.0,636.0,591.0,622.0,290.0,377.0,346.0,39.0,621.0,11.0,411.0,31.0,619.0,200.0,265.0,588.0,116.0
490.0,662.0,669.0,79.0,413.0,635.0,635.0,574.0,647.0,518.0,643.0,196.0,424.0,400.0,42.0,636.0,18.0,313.0,37.0,622.0,250.0,312.0,632.0,153.0
431.0,622.0,641.0,33.0,320.0,651.0,649.0,603.0,633.0,535.0,617.0,179.0,495.0,462.0,68.0,635.0,24.0,223.0,74.0,629.0,329.0,366.0,598.0,183.0
365.0,552.0,645.0,31.0,269.0,620.0,627.0,579.0,589.0,463.0,635.0,117.0,555.0,486.0,71.0,627.0,53.0,244.0,87.0,689.0,397.0,460.0,579.0,260.0
292.0,637.0,607.0,30.0,222.0,611.0,659.0,614.0,568.0,416.0,562.0,91.0,602.0,640.0,104.0,611.0,69.0,173.0,126.0,553.0,409.0,492.0,621.0,291.0
256.0,539.0,592.0,20.0,150.0,572.0,615.0,547.0,521.0,364.0,498.0,75.0,728.0,699.0,163.0,594.0,81.0,114.0,206.0,615.0,499.0,580.0,608.0,364.0
239.0,480.0,539.0,10.0,139.0,506.0,649.0,475.0,524.0,282.0,491.0,40.0,698.0,734.0,205.0,574.0,134.0,94.0,230.0,548.0,663.0,691.0,607.0,448.0
182.0,478.0,460.0,8.0,87.0,472.0,574.0,403.0,437.0,252.0,425.0,47.0,790.0,777.0,277.0,525.0,188.0,65.0,351.0,492.0,760.0,773.0,527.0,650.0
135.0,398.0,457.0,7.0,60.0,411.0,519.0,378.0,420.0,213.0,365.0,28.0,764.0,828.0,430.0,456.0,288.0,50.0,446.0,470.0,850.0,822.0,512.0,693.0
108.0,323.0,353.0,2.0,41.0,341.0,482.0,323.0,310.0,173.0,302.0,23.0,858.0,821.0,561.0,406.0,427.0,27.0,586.0,366.0,916.0,898.0,454.0,899.0
60.0,224.0,282.0,0.0,30.0,248.0,386.0,230.0,258.0,105.0,211.0,12.0,792.0,789.0,825.0,302.0,641.0,29.0,834.0,325.0,996.0,971.0,357.0,1093.0
32.0,173.0,199.0,0.0,11.0,189.0,311.0,154.0,158.0,58.0,135.0,3.0,622.0,691.0,1211.0,205.0,948.0,8.0,1233.0,243.0,1075.0,863.0,259.0,1219.0
22.0,103.0,141.0,0.0,9.0,107.0,186.0,108.0,105.0,26.0,87.0,3.0,486.0,538.0,1612.0,127.0,1468.0,4.0,1671.0,123.0,889.0,735.0,170.0,1280.0
10.0,61.0,54.0,0.0,3.0,60.0,95.0,49.0,43.0,18.0,55.0,1.0,316.0,379.0,2082.0,67.0,2164.0,2.0,1994.0,82.0,657.0,553.0,108.0,1147.0
3.0,23.0,17.0,0.0,1.0,13.0,38.0,20.0,23.0,3.0,23.0,0.0,161.0,171.0,2246.0,31.0,3457.0,2.0,2027.0,40.0,452.0,332.0,36.0,881.0
