AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,PEC Zwolle,Telstar,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
872.0,6911.0,471.0,781.0,52.0,12.0,436.0,12.0,411.0,13.0,19.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0
2042.0,1748.0,1280.0,1965.0,190.0,39.0,1222.0,98.0,1142.0,126.0,98.0,2.0,1.0,27.0,0.0,0.0,20.0,0.0
1809.0,715.0,1407.0,1976.0,383.0,94.0,1438.0,213.0,1363.0,271.0,210.0,6.0,3.0,54.0,0.0,0.0,58.0,0.0
1518.0,332.0,1492.0,1563.0,610.0,176.0,1486.0,357.0,1412.0,424.0,340.0,24.0,5.0,126.0,0.0,0.0,135.0,0.0
1194.0,159.0,1505.0,1196.0,750.0,264.0,1372.0,530.0,1428.0,592.0,496.0,45.0,19.0,206.0,0.0,0.0,244.0,0.0
906.0,72.0,1179.0,867.0,1005.0,463.0,1197.0,725.0,1254.0,807.0,733.0,71.0,28.0,306.0,0.0,2.0,385.0,0.0
607.0,42.0,885.0,591.0,1185.0,622.0,941.0,947.0,915.0,1112.0,946.0,159.0,63.0,446.0,1.0,0.0,538.0,0.0
393.0,19.0,621.0,413.0,1262.0,836.0,692.0,1098.0,701.0,1183.0,1109.0,235.0,112.0,627.0,0.0,1.0,698.0,0.0
297.0,0.0,448.0,267.0,1092.0,1011.0,485.0,1180.0,505.0,1180.0,1164.0,384.0,207.0,892.0,6.0,7.0,875.0,0.0
159.0,2.0,276.0,178.0,1062.0,1175.0,319.0,1147.0,371.0,1123.0,1178.0,564.0,335.0,995.0,7.0,16.0,1092.0,1.0
98.0,0.0,197.0,109.0,805.0,1306.0,190.0,1063.0,240.0,1005.0,1139.0,877.0,510.0,1194.0,36.0,13.0,1218.0,0.0
64.0,0.0,128.0,51.0,656.0,1302.0,119.0,972.0,150.0,822.0,981.0,1172.0,860.0,1284.0,76.0,51.0,1312.0,0.0
27.0,0.0,70.0,26.0,502.0,1152.0,66.0,776.0,80.0,681.0,734.0,1599.0,1353.0,1315.0,184.0,134.0,1297.0,4.0
10.0,0.0,30.0,10.0,286.0,858.0,24.0,546.0,20.0,439.0,532.0,2126.0,1967.0,1313.0,378.0,309.0,1118.0,34.0
4.0,0.0,10.0,7.0,134.0,517.0,12.0,271.0,8.0,180.0,263.0,1840.0,2977.0,929.0,1071.0,932.0,719.0,126.0
0.0,0.0,1.0,0.0,22.0,149.0,1.0,57.0,0.0,33.0,54.0,663.0,1138.0,234.0,3478.0,3141.0,236.0,793.0
0.0,0.0,0.0,0.0,3.0,23.0,0.0,8.0,0.0,6.0,4.0,210.0,372.0,35.0,3314.0,3718.0,44.0,2263.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,23.0,50.0,10.0,1449.0,1676.0,8.0,6779.0
