PSV Eindhoven,Feyenoord Rotterdam,NEC Nijmegen,FC Twente,Ajax Amsterdam,AZ Alkmaar,FC Utrecht,Heerenveen,FC Groningen,Sparta Rotterdam,Go Ahead Eagles,Fortuna Sittard,PEC Zwolle,FC Volendam,Excelsior,Telstar,NAC Breda,Heracles Almelo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5508.0,3242.0,982.0,255.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3029.0,3766.0,2131.0,980.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1073.0,2098.0,3498.0,2911.0,403.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,333.0,808.0,2733.0,4332.0,1309.0,297.0,183.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,55.0,81.0,621.0,1096.0,5280.0,1780.0,905.0,141.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,5.0,31.0,311.0,2030.0,3819.0,2428.0,1117.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,108.0,707.0,2622.0,3220.0,2486.0,836.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,156.0,1162.0,2287.0,4046.0,2226.0,76.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,289.0,913.0,2118.0,5620.0,730.0,292.0,30.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,59.0,83.0,869.0,4022.0,3613.0,1322.0,9.0,5.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,150.0,3651.0,3698.0,2336.0,103.0,39.0,16.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384.0,2212.0,5217.0,658.0,227.0,302.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,136.0,984.0,3463.0,2176.0,3027.0,86.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,105.0,2725.0,3392.0,3460.0,315.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2589.0,3566.0,2669.0,1157.0,14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,595.0,505.0,8249.0,200.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,193.0,9785.0
