Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6568.0,2945.0,311.0,64.0,47.0,21.0,29.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2560.0,4804.0,1381.0,372.0,370.0,147.0,197.0,51.0,95.0,12.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
602.0,1400.0,3322.0,1380.0,1334.0,596.0,619.0,207.0,375.0,74.0,22.0,37.0,10.0,6.0,3.0,9.0,3.0,1.0,0.0,0.0
186.0,474.0,1941.0,1850.0,1822.0,1028.0,977.0,489.0,714.0,220.0,71.0,103.0,53.0,27.0,13.0,24.0,8.0,0.0,0.0,0.0
58.0,200.0,1193.0,1649.0,1645.0,1250.0,1303.0,812.0,887.0,393.0,143.0,201.0,78.0,56.0,43.0,63.0,17.0,9.0,0.0,0.0
16.0,93.0,745.0,1314.0,1326.0,1342.0,1459.0,961.0,1082.0,532.0,244.0,354.0,142.0,123.0,96.0,126.0,34.0,11.0,0.0,0.0
8.0,49.0,447.0,1087.0,1080.0,1228.0,1335.0,1142.0,1182.0,818.0,309.0,485.0,209.0,198.0,151.0,166.0,84.0,18.0,4.0,0.0
2.0,18.0,282.0,764.0,819.0,1119.0,1090.0,1254.0,1215.0,925.0,487.0,683.0,329.0,310.0,258.0,260.0,132.0,46.0,7.0,0.0
0.0,10.0,160.0,530.0,555.0,991.0,907.0,1161.0,1042.0,1053.0,614.0,914.0,501.0,433.0,407.0,403.0,232.0,74.0,13.0,0.0
0.0,4.0,103.0,369.0,357.0,703.0,673.0,1018.0,966.0,1219.0,792.0,989.0,663.0,617.0,532.0,566.0,286.0,116.0,26.0,1.0
0.0,1.0,61.0,251.0,257.0,553.0,514.0,872.0,725.0,1050.0,887.0,1032.0,895.0,843.0,660.0,701.0,446.0,208.0,43.0,1.0
0.0,2.0,27.0,151.0,169.0,365.0,330.0,642.0,550.0,945.0,1017.0,1113.0,1059.0,974.0,797.0,795.0,644.0,336.0,81.0,3.0
0.0,0.0,10.0,103.0,87.0,267.0,233.0,461.0,408.0,777.0,1088.0,1016.0,1085.0,1082.0,1000.0,996.0,823.0,439.0,120.0,5.0
0.0,0.0,9.0,53.0,65.0,171.0,150.0,360.0,284.0,648.0,1095.0,967.0,1137.0,1075.0,1107.0,1096.0,970.0,597.0,207.0,9.0
0.0,0.0,7.0,34.0,37.0,112.0,84.0,245.0,214.0,516.0,992.0,713.0,1067.0,1168.0,1304.0,1121.0,1184.0,836.0,340.0,26.0
0.0,0.0,0.0,17.0,21.0,56.0,57.0,158.0,120.0,390.0,912.0,612.0,1014.0,1103.0,1146.0,1113.0,1474.0,1203.0,546.0,58.0
0.0,0.0,1.0,9.0,5.0,32.0,23.0,115.0,88.0,242.0,677.0,427.0,829.0,953.0,1093.0,1185.0,1471.0,1664.0,1012.0,174.0
0.0,0.0,0.0,3.0,4.0,16.0,17.0,39.0,30.0,141.0,428.0,251.0,617.0,708.0,915.0,836.0,1335.0,2343.0,1832.0,485.0
0.0,0.0,0.0,0.0,0.0,3.0,3.0,11.0,10.0,42.0,200.0,78.0,279.0,288.0,424.0,464.0,725.0,1663.0,4149.0,1661.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,19.0,33.0,36.0,50.0,75.0,132.0,436.0,1620.0,7577.0
