Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,AFC Bournemouth,Brighton & Hove Albion,Everton,Sunderland,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6294.0,3706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3706.0,6290.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,5491.0,2812.0,1691.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3071.0,3948.0,2922.0,37.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1358.0,3086.0,4707.0,430.0,92.0,120.0,143.0,45.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,70.0,139.0,523.0,3222.0,942.0,1494.0,2156.0,733.0,401.0,272.0,37.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,13.0,113.0,2036.0,1574.0,1764.0,1933.0,1231.0,651.0,559.0,82.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,36.0,1461.0,1761.0,1697.0,1723.0,1439.0,810.0,818.0,156.0,88.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8.0,1075.0,1684.0,1532.0,1483.0,1565.0,1081.0,1113.0,228.0,198.0,33.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,769.0,1567.0,1301.0,1129.0,1593.0,1315.0,1464.0,437.0,341.0,82.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,559.0,1174.0,1057.0,705.0,1463.0,1639.0,1858.0,714.0,656.0,169.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,287.0,752.0,620.0,463.0,1123.0,1948.0,1878.0,1324.0,1153.0,432.0,19.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,99.0,330.0,290.0,182.0,574.0,1301.0,1213.0,2570.0,2199.0,1119.0,119.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,23.0,100.0,95.0,62.0,206.0,690.0,619.0,2615.0,3025.0,2182.0,340.0,35.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,16.0,23.0,12.0,27.0,138.0,191.0,1607.0,1859.0,4737.0,1156.0,168.0,64.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,12.0,230.0,398.0,1066.0,6366.0,1165.0,752.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,148.0,1637.0,4488.0,3691.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,355.0,4139.0,5485.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7692.0,2308.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308.0,7692.0
