Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,SC Freiburg,Eintracht Frankfurt,FC Augsburg,Mainz,1. FC Union Berlin,FC Cologne,Borussia Mönchengladbach,Hamburg SV,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9631.0,359.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,354.0,8257.0,950.0,359.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,1215.0,5325.0,2581.0,864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,147.0,2565.0,4537.0,2751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,22.0,1152.0,2521.0,6296.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,5559.0,4316.0,107.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4213.0,4982.0,636.0,164.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,215.0,641.0,4847.0,3190.0,460.0,192.0,317.0,75.0,63.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,59.0,2776.0,3822.0,1075.0,856.0,833.0,332.0,236.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,1575.0,1967.0,2115.0,1525.0,1057.0,795.0,24.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,731.0,1938.0,2089.0,1977.0,1500.0,1230.0,71.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,348.0,1819.0,1840.0,1920.0,1969.0,1709.0,191.0,21.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,128.0,1499.0,1595.0,1722.0,2227.0,2302.0,398.0,84.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,1114.0,1082.0,1336.0,2248.0,3057.0,919.0,207.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,122.0,227.0,363.0,581.0,597.0,5924.0,2142.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,9.0,11.0,2379.0,7148.0,440.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,392.0,9519.0
