Bayern Munich,Borussia Dortmund,RB Leipzig,TSG Hoffenheim,VfB Stuttgart,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Mainz,Borussia Mönchengladbach,1. FC Union Berlin,FC Cologne,Hamburg SV,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9553.0,444.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,433.0,8907.0,303.0,299.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,606.0,4114.0,4007.0,1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,43.0,3795.0,3240.0,2922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1788.0,2451.0,5761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4441.0,5531.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5419.0,4351.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,140.0,118.0,5934.0,2927.0,309.0,328.0,23.0,15.0,206.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2738.0,4245.0,749.0,1018.0,471.0,121.0,658.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,1537.0,1739.0,1930.0,1576.0,612.0,1899.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,762.0,2189.0,1909.0,1812.0,1072.0,1966.0,8.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,356.0,2025.0,1792.0,2093.0,1668.0,1967.0,19.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,147.0,1793.0,1609.0,2285.0,2325.0,1731.0,81.0,22.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1163.0,1381.0,1637.0,3868.0,1493.0,375.0,57.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,103.0,317.0,80.0,5537.0,3807.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3711.0,5419.0,868.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,689.0,9042.0
