Paris Saint-Germain,Lens,Lyon,Lille,Stade Rennais,Marseille,AS Monaco,Strasbourg,Lorient,Toulouse,Brest,Paris FC,Angers,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9883.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,9834.0,28.0,15.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,46.0,3998.0,3229.0,1106.0,1618.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,2705.0,3303.0,1730.0,2190.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2030.0,2320.0,2512.0,2793.0,344.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1149.0,931.0,3830.0,2588.0,1473.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,90.0,202.0,810.0,798.0,7410.0,674.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,12.0,699.0,6459.0,2671.0,61.0,68.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2403.0,6292.0,553.0,501.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,835.0,3171.0,3656.0,1980.0,38.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,173.0,3722.0,3209.0,2628.0,137.0,22.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,2287.0,2271.0,4759.0,517.0,93.0,49.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,280.0,349.0,5624.0,2402.0,1119.0,28.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,12.0,2921.0,4169.0,2734.0,143.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,745.0,3137.0,5035.0,1081.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,175.0,1059.0,8622.0,121.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,9343.0,531.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,9464.0
