Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Cruzeiro,Vitória,Atlético-MG,Internacional,Santos,Grêmio,Corinthians,Mirassol,Remo,Chapecoense
6427.0,3046.0,301.0,129.0,46.0,20.0,20.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2674.0,4684.0,1330.0,636.0,238.0,156.0,162.0,41.0,56.0,16.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
634.0,1410.0,3167.0,2000.0,926.0,542.0,592.0,233.0,294.0,85.0,17.0,28.0,52.0,7.0,3.0,8.0,2.0,0.0,0.0,0.0
183.0,502.0,2080.0,2212.0,1497.0,984.0,1020.0,462.0,569.0,178.0,57.0,59.0,108.0,32.0,20.0,29.0,8.0,0.0,0.0,0.0
56.0,190.0,1220.0,1662.0,1704.0,1299.0,1296.0,776.0,798.0,368.0,138.0,113.0,170.0,61.0,59.0,71.0,17.0,2.0,0.0,0.0
18.0,90.0,782.0,1159.0,1456.0,1372.0,1392.0,959.0,1065.0,550.0,236.0,173.0,341.0,124.0,98.0,138.0,45.0,2.0,0.0,0.0
3.0,42.0,426.0,808.0,1232.0,1278.0,1367.0,1153.0,1125.0,723.0,339.0,322.0,494.0,196.0,155.0,242.0,83.0,10.0,2.0,0.0
4.0,20.0,292.0,529.0,868.0,1121.0,1126.0,1234.0,1210.0,915.0,485.0,428.0,710.0,312.0,262.0,319.0,151.0,12.0,2.0,0.0
1.0,10.0,161.0,353.0,660.0,931.0,916.0,1114.0,1115.0,1112.0,639.0,613.0,825.0,439.0,394.0,477.0,198.0,34.0,7.0,1.0
0.0,4.0,117.0,222.0,464.0,740.0,666.0,1032.0,1007.0,1077.0,805.0,789.0,974.0,621.0,502.0,618.0,292.0,58.0,12.0,0.0
0.0,2.0,55.0,139.0,349.0,522.0,524.0,892.0,761.0,1104.0,955.0,841.0,1096.0,785.0,651.0,766.0,454.0,91.0,13.0,0.0
0.0,0.0,28.0,65.0,237.0,383.0,339.0,696.0,620.0,934.0,1065.0,1026.0,1101.0,956.0,834.0,930.0,591.0,156.0,38.0,1.0
0.0,0.0,24.0,43.0,155.0,273.0,251.0,481.0,480.0,808.0,1060.0,1009.0,1026.0,1093.0,1049.0,1133.0,769.0,301.0,41.0,4.0
0.0,0.0,9.0,23.0,84.0,170.0,151.0,384.0,347.0,725.0,1068.0,1121.0,928.0,1179.0,1241.0,1128.0,958.0,352.0,123.0,9.0
0.0,0.0,3.0,14.0,46.0,93.0,98.0,258.0,266.0,585.0,1044.0,1089.0,810.0,1213.0,1255.0,1183.0,1164.0,637.0,210.0,32.0
0.0,0.0,4.0,4.0,28.0,64.0,46.0,163.0,158.0,393.0,920.0,1005.0,617.0,1185.0,1359.0,1073.0,1593.0,935.0,392.0,61.0
0.0,0.0,1.0,2.0,7.0,36.0,26.0,72.0,86.0,272.0,678.0,816.0,437.0,1010.0,1168.0,1051.0,1741.0,1675.0,707.0,215.0
0.0,0.0,0.0,0.0,3.0,12.0,7.0,36.0,24.0,123.0,381.0,413.0,233.0,586.0,677.0,588.0,1295.0,3081.0,1939.0,602.0
0.0,0.0,0.0,0.0,0.0,4.0,1.0,12.0,11.0,28.0,99.0,146.0,67.0,176.0,247.0,219.0,540.0,2018.0,4352.0,2080.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,8.0,9.0,23.0,26.0,26.0,99.0,636.0,2162.0,6995.0
