AZ Alkmaar,Fortuna Sittard,PSV Eindhoven,Go Ahead Eagles,Ajax Amsterdam,FC Groningen,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,Telstar,FC Twente,ADO Den Haag,PEC Zwolle,FC Utrecht,Willem II,SC Cambuur
240.0,0.0,7168.0,40.0,977.0,28.0,860.0,51.0,2.0,397.0,0.0,3.0,225.0,0.0,0.0,9.0,0.0,0.0
851.0,8.0,1666.0,169.0,2352.0,185.0,2340.0,232.0,19.0,1212.0,0.0,16.0,874.0,0.0,0.0,76.0,0.0,0.0
1282.0,17.0,646.0,368.0,2011.0,352.0,1998.0,424.0,59.0,1475.0,0.0,39.0,1166.0,2.0,0.0,161.0,0.0,0.0
1343.0,27.0,311.0,586.0,1528.0,572.0,1583.0,616.0,89.0,1606.0,2.0,77.0,1355.0,4.0,0.0,301.0,0.0,0.0
1414.0,83.0,114.0,738.0,1056.0,835.0,1155.0,890.0,166.0,1401.0,8.0,177.0,1472.0,8.0,0.0,483.0,0.0,0.0
1299.0,129.0,58.0,992.0,749.0,1091.0,733.0,1115.0,318.0,1175.0,19.0,309.0,1371.0,9.0,0.0,632.0,1.0,0.0
1104.0,261.0,17.0,1147.0,537.0,1192.0,556.0,1214.0,490.0,933.0,31.0,509.0,1078.0,27.0,1.0,897.0,3.0,3.0
887.0,406.0,14.0,1358.0,350.0,1278.0,351.0,1282.0,662.0,696.0,69.0,645.0,834.0,44.0,5.0,1099.0,14.0,6.0
649.0,590.0,3.0,1238.0,224.0,1304.0,207.0,1222.0,988.0,483.0,135.0,902.0,646.0,95.0,13.0,1266.0,21.0,14.0
423.0,904.0,2.0,1119.0,124.0,1125.0,113.0,1061.0,1239.0,311.0,260.0,1186.0,450.0,160.0,38.0,1388.0,54.0,43.0
268.0,1218.0,1.0,887.0,64.0,850.0,61.0,817.0,1481.0,170.0,465.0,1514.0,266.0,346.0,97.0,1297.0,116.0,82.0
140.0,1543.0,0.0,621.0,20.0,617.0,29.0,538.0,1509.0,88.0,806.0,1542.0,158.0,640.0,183.0,1054.0,300.0,212.0
65.0,1802.0,0.0,406.0,7.0,317.0,11.0,297.0,1315.0,41.0,1298.0,1311.0,70.0,1035.0,353.0,707.0,536.0,429.0
26.0,1318.0,0.0,204.0,1.0,151.0,2.0,143.0,800.0,9.0,1909.0,896.0,24.0,1660.0,733.0,360.0,990.0,774.0
8.0,830.0,0.0,84.0,0.0,70.0,1.0,70.0,500.0,1.0,1823.0,487.0,10.0,1870.0,1253.0,164.0,1465.0,1364.0
1.0,537.0,0.0,29.0,0.0,24.0,0.0,16.0,231.0,1.0,1512.0,248.0,1.0,1789.0,1810.0,75.0,1969.0,1757.0
0.0,249.0,0.0,11.0,0.0,5.0,0.0,8.0,99.0,1.0,1053.0,109.0,0.0,1377.0,2363.0,25.0,2280.0,2420.0
0.0,78.0,0.0,3.0,0.0,4.0,0.0,4.0,33.0,0.0,610.0,30.0,0.0,934.0,3151.0,6.0,2251.0,2896.0
