AZ Alkmaar,FC Groningen,Go Ahead Eagles,Fortuna Sittard,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,FC Twente,Telstar,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II,SC Cambuur
249.0,144.0,43.0,0.0,734.0,7343.0,649.0,48.0,2.0,397.0,0.0,377.0,1.0,13.0,0.0,0.0,0.0,0.0
885.0,567.0,214.0,4.0,1955.0,1534.0,1840.0,223.0,16.0,1358.0,0.0,1318.0,22.0,64.0,0.0,0.0,0.0,0.0
1150.0,885.0,326.0,21.0,1747.0,589.0,1810.0,376.0,43.0,1432.0,0.0,1417.0,32.0,172.0,0.0,0.0,0.0,0.0
1276.0,1007.0,519.0,41.0,1479.0,291.0,1516.0,627.0,80.0,1398.0,1.0,1415.0,78.0,272.0,0.0,0.0,0.0,0.0
1233.0,1164.0,713.0,64.0,1231.0,131.0,1217.0,841.0,148.0,1290.0,3.0,1395.0,160.0,409.0,0.0,0.0,0.0,1.0
1252.0,1278.0,939.0,133.0,861.0,60.0,950.0,1046.0,291.0,1137.0,17.0,1127.0,263.0,643.0,0.0,1.0,2.0,0.0
1120.0,1263.0,1075.0,191.0,720.0,19.0,756.0,1201.0,428.0,1016.0,20.0,971.0,368.0,834.0,2.0,8.0,3.0,5.0
975.0,1159.0,1266.0,343.0,530.0,21.0,520.0,1269.0,589.0,737.0,62.0,777.0,661.0,1054.0,3.0,14.0,16.0,4.0
754.0,939.0,1315.0,592.0,355.0,7.0,340.0,1348.0,936.0,543.0,117.0,496.0,886.0,1303.0,7.0,28.0,17.0,17.0
515.0,683.0,1268.0,865.0,218.0,5.0,208.0,1096.0,1280.0,333.0,247.0,380.0,1245.0,1484.0,25.0,65.0,47.0,36.0
309.0,479.0,1024.0,1257.0,100.0,0.0,99.0,862.0,1585.0,212.0,506.0,191.0,1614.0,1351.0,63.0,143.0,121.0,84.0
184.0,258.0,650.0,1683.0,47.0,0.0,67.0,554.0,1706.0,90.0,896.0,83.0,1684.0,1104.0,138.0,336.0,306.0,214.0
67.0,114.0,372.0,1885.0,21.0,0.0,23.0,301.0,1375.0,43.0,1504.0,38.0,1474.0,744.0,325.0,704.0,581.0,429.0
21.0,49.0,174.0,1361.0,2.0,0.0,3.0,142.0,816.0,10.0,2077.0,11.0,802.0,342.0,761.0,1311.0,1147.0,971.0
10.0,8.0,68.0,823.0,0.0,0.0,2.0,51.0,434.0,3.0,1796.0,4.0,417.0,133.0,1278.0,1848.0,1702.0,1423.0
0.0,2.0,22.0,457.0,0.0,0.0,0.0,12.0,186.0,1.0,1394.0,0.0,199.0,52.0,1859.0,1972.0,2004.0,1840.0
0.0,1.0,11.0,198.0,0.0,0.0,0.0,3.0,68.0,0.0,901.0,0.0,78.0,20.0,2447.0,1885.0,2112.0,2276.0
0.0,0.0,1.0,82.0,0.0,0.0,0.0,0.0,17.0,0.0,459.0,0.0,16.0,6.0,3092.0,1685.0,1942.0,2700.0
