Espanyol,Alavés,Sevilla,Racing Santander,Villarreal,Deportivo,Elche,Athletic Club,Atlético Madrid,Barcelona,Celta Vigo,Málaga,Osasuna,Real Betis,Real Madrid,Real Sociedad,Valencia,Rayo Vallecano,Levante,Getafe
1.0,0.0,0.0,1.0,172.0,0.0,0.0,0.0,58.0,7579.0,8.0,0.0,0.0,16.0,2163.0,1.0,1.0,0.0,0.0,0.0
2.0,3.0,2.0,28.0,1311.0,0.0,6.0,1.0,484.0,2055.0,92.0,26.0,4.0,224.0,5719.0,23.0,9.0,11.0,0.0,0.0
42.0,83.0,18.0,235.0,3798.0,0.0,77.0,8.0,1770.0,292.0,552.0,231.0,52.0,1040.0,1452.0,184.0,60.0,89.0,4.0,13.0
114.0,211.0,76.0,503.0,2067.0,0.0,168.0,29.0,2256.0,58.0,1060.0,466.0,142.0,1558.0,406.0,443.0,170.0,204.0,20.0,49.0
224.0,404.0,155.0,739.0,1072.0,0.0,294.0,61.0,1600.0,11.0,1253.0,749.0,281.0,1564.0,157.0,625.0,284.0,402.0,45.0,80.0
368.0,537.0,235.0,909.0,615.0,0.0,420.0,108.0,1092.0,2.0,1176.0,828.0,399.0,1345.0,57.0,740.0,466.0,506.0,76.0,121.0
434.0,608.0,341.0,964.0,337.0,0.0,515.0,163.0,800.0,2.0,1049.0,890.0,515.0,1018.0,24.0,854.0,529.0,649.0,116.0,192.0
523.0,644.0,423.0,878.0,234.0,0.0,682.0,238.0,577.0,1.0,927.0,896.0,596.0,786.0,12.0,854.0,611.0,685.0,176.0,257.0
634.0,733.0,473.0,803.0,152.0,0.0,685.0,305.0,417.0,0.0,803.0,890.0,622.0,607.0,6.0,831.0,678.0,767.0,256.0,338.0
670.0,801.0,578.0,797.0,83.0,0.0,676.0,366.0,313.0,0.0,654.0,832.0,641.0,479.0,1.0,872.0,734.0,801.0,280.0,422.0
761.0,848.0,651.0,693.0,58.0,0.0,758.0,429.0,197.0,0.0,543.0,779.0,762.0,379.0,3.0,720.0,746.0,773.0,373.0,527.0
756.0,737.0,737.0,688.0,30.0,0.0,772.0,539.0,129.0,0.0,449.0,687.0,798.0,241.0,0.0,785.0,784.0,796.0,451.0,621.0
846.0,756.0,766.0,581.0,25.0,0.0,742.0,635.0,110.0,0.0,400.0,612.0,804.0,251.0,0.0,637.0,820.0,793.0,565.0,657.0
833.0,800.0,795.0,549.0,19.0,0.0,753.0,711.0,76.0,0.0,304.0,566.0,794.0,174.0,0.0,602.0,830.0,742.0,690.0,762.0
824.0,696.0,905.0,516.0,13.0,0.0,783.0,826.0,59.0,0.0,250.0,463.0,814.0,115.0,0.0,521.0,787.0,710.0,845.0,873.0
887.0,663.0,988.0,377.0,8.0,0.0,760.0,999.0,27.0,0.0,198.0,366.0,794.0,93.0,0.0,443.0,727.0,637.0,1003.0,1030.0
782.0,581.0,971.0,344.0,4.0,0.0,733.0,1238.0,19.0,0.0,126.0,356.0,736.0,55.0,0.0,361.0,677.0,577.0,1221.0,1219.0
744.0,520.0,991.0,248.0,2.0,0.0,627.0,1434.0,8.0,0.0,103.0,228.0,708.0,37.0,0.0,299.0,598.0,488.0,1646.0,1319.0
555.0,375.0,895.0,147.0,0.0,0.0,549.0,1910.0,8.0,0.0,53.0,135.0,538.0,18.0,0.0,205.0,489.0,370.0,2233.0,1520.0
0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
