Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Atlético-MG,Corinthians,Coritiba,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
3299.0,6692.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6470.0,3214.0,195.0,73.0,40.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,88.0,4546.0,2777.0,1301.0,215.0,82.0,298.0,46.0,39.0,392.0,2.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
28.0,5.0,2500.0,2839.0,1894.0,537.0,286.0,722.0,200.0,73.0,838.0,11.0,52.0,2.0,7.0,1.0,5.0,0.0,0.0,0.0
2.0,1.0,1309.0,1884.0,1938.0,967.0,573.0,1208.0,468.0,193.0,1247.0,15.0,150.0,6.0,14.0,3.0,20.0,1.0,1.0,0.0
1.0,0.0,727.0,1079.0,1598.0,1284.0,818.0,1435.0,699.0,349.0,1523.0,48.0,282.0,53.0,41.0,8.0,53.0,1.0,1.0,0.0
0.0,0.0,387.0,642.0,1132.0,1500.0,1115.0,1374.0,926.0,511.0,1493.0,81.0,487.0,79.0,114.0,25.0,125.0,5.0,4.0,0.0
0.0,0.0,177.0,347.0,797.0,1377.0,1279.0,1366.0,1233.0,757.0,1246.0,189.0,653.0,135.0,170.0,49.0,194.0,15.0,16.0,0.0
0.0,0.0,78.0,170.0,528.0,1183.0,1273.0,1132.0,1377.0,1017.0,1055.0,298.0,888.0,248.0,314.0,90.0,304.0,27.0,18.0,0.0
0.0,0.0,46.0,100.0,341.0,989.0,1273.0,890.0,1291.0,1219.0,812.0,457.0,1099.0,358.0,448.0,163.0,427.0,50.0,37.0,0.0
0.0,0.0,20.0,48.0,202.0,686.0,1015.0,635.0,1222.0,1365.0,551.0,713.0,1298.0,500.0,646.0,271.0,630.0,116.0,82.0,0.0
0.0,0.0,6.0,20.0,118.0,535.0,819.0,399.0,883.0,1314.0,386.0,903.0,1355.0,728.0,909.0,440.0,814.0,216.0,155.0,0.0
0.0,0.0,2.0,16.0,75.0,332.0,587.0,272.0,659.0,1043.0,231.0,1216.0,1120.0,970.0,1104.0,685.0,1059.0,316.0,313.0,0.0
0.0,0.0,2.0,2.0,22.0,196.0,373.0,136.0,441.0,863.0,106.0,1313.0,937.0,1211.0,1339.0,917.0,1244.0,489.0,409.0,0.0
0.0,0.0,0.0,0.0,9.0,99.0,233.0,74.0,255.0,533.0,66.0,1374.0,649.0,1298.0,1285.0,1239.0,1333.0,906.0,647.0,0.0
0.0,0.0,0.0,0.0,2.0,71.0,151.0,34.0,155.0,361.0,29.0,1240.0,492.0,1288.0,1218.0,1452.0,1297.0,1174.0,1031.0,5.0
0.0,0.0,0.0,0.0,2.0,24.0,80.0,12.0,89.0,216.0,12.0,1057.0,269.0,1306.0,1020.0,1604.0,1125.0,1701.0,1470.0,13.0
0.0,0.0,0.0,0.0,0.0,4.0,31.0,8.0,45.0,109.0,10.0,727.0,186.0,1044.0,869.0,1588.0,859.0,2329.0,2148.0,43.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,38.0,1.0,350.0,70.0,758.0,491.0,1426.0,501.0,2561.0,3508.0,273.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,15.0,11.0,39.0,9.0,93.0,160.0,9666.0
