Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Watford,Blackburn Rovers,West Ham United,Burnley,Wolverhampton Wanderers,Wrexham,Cardiff City,Birmingham City,Sheffield United,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
27.0,2482.0,195.0,29.0,405.0,6.0,3278.0,6.0,2.0,111.0,98.0,91.0,194.0,105.0,83.0,170.0,302.0,29.0,4.0,343.0,3.0,1.0,16.0,2020.0
70.0,2006.0,306.0,87.0,615.0,11.0,2189.0,10.0,10.0,235.0,185.0,197.0,343.0,192.0,201.0,302.0,451.0,45.0,13.0,559.0,9.0,2.0,54.0,1908.0
109.0,1480.0,503.0,145.0,849.0,32.0,1410.0,31.0,17.0,305.0,304.0,314.0,501.0,255.0,282.0,426.0,651.0,113.0,25.0,668.0,20.0,5.0,82.0,1473.0
174.0,1027.0,567.0,186.0,865.0,60.0,898.0,78.0,24.0,449.0,343.0,377.0,596.0,407.0,415.0,536.0,722.0,182.0,43.0,784.0,39.0,16.0,135.0,1077.0
219.0,712.0,622.0,256.0,850.0,69.0,648.0,99.0,51.0,496.0,492.0,459.0,624.0,414.0,515.0,595.0,748.0,195.0,78.0,758.0,55.0,31.0,200.0,814.0
263.0,539.0,628.0,299.0,780.0,115.0,463.0,129.0,79.0,554.0,495.0,481.0,650.0,465.0,562.0,613.0,802.0,268.0,88.0,765.0,75.0,32.0,256.0,599.0
301.0,453.0,727.0,361.0,683.0,130.0,291.0,128.0,87.0,548.0,567.0,491.0,687.0,528.0,559.0,681.0,721.0,298.0,135.0,734.0,85.0,48.0,282.0,475.0
340.0,339.0,638.0,423.0,687.0,193.0,227.0,186.0,106.0,582.0,581.0,545.0,650.0,578.0,573.0,633.0,638.0,356.0,158.0,699.0,121.0,63.0,309.0,375.0
444.0,238.0,640.0,449.0,612.0,225.0,164.0,224.0,135.0,564.0,604.0,575.0,572.0,568.0,567.0,624.0,665.0,378.0,204.0,626.0,164.0,81.0,386.0,291.0
458.0,165.0,634.0,473.0,523.0,262.0,103.0,276.0,174.0,554.0,577.0,565.0,620.0,631.0,623.0,587.0,553.0,462.0,230.0,608.0,190.0,118.0,376.0,238.0
506.0,151.0,593.0,515.0,467.0,302.0,89.0,284.0,229.0,610.0,613.0,568.0,558.0,568.0,607.0,606.0,534.0,457.0,281.0,524.0,231.0,126.0,422.0,159.0
512.0,110.0,548.0,563.0,437.0,350.0,84.0,395.0,259.0,549.0,566.0,579.0,526.0,558.0,617.0,500.0,507.0,529.0,256.0,494.0,293.0,162.0,476.0,130.0
505.0,82.0,539.0,539.0,415.0,393.0,42.0,409.0,330.0,589.0,553.0,563.0,535.0,563.0,541.0,508.0,444.0,512.0,402.0,407.0,316.0,178.0,520.0,115.0
585.0,54.0,464.0,577.0,355.0,451.0,24.0,435.0,349.0,539.0,552.0,585.0,495.0,587.0,552.0,497.0,381.0,536.0,399.0,381.0,349.0,250.0,527.0,76.0
601.0,53.0,431.0,625.0,291.0,512.0,22.0,498.0,399.0,517.0,504.0,527.0,381.0,513.0,478.0,503.0,358.0,627.0,515.0,303.0,434.0,299.0,530.0,79.0
606.0,36.0,418.0,589.0,252.0,545.0,21.0,548.0,487.0,446.0,485.0,486.0,391.0,521.0,537.0,434.0,334.0,578.0,493.0,288.0,501.0,357.0,597.0,50.0
619.0,28.0,328.0,590.0,216.0,591.0,21.0,594.0,507.0,460.0,472.0,470.0,357.0,477.0,469.0,383.0,275.0,653.0,584.0,233.0,566.0,439.0,629.0,39.0
619.0,17.0,286.0,589.0,182.0,692.0,8.0,662.0,640.0,439.0,434.0,459.0,300.0,444.0,418.0,333.0,245.0,604.0,636.0,211.0,626.0,510.0,621.0,25.0
580.0,7.0,264.0,605.0,163.0,726.0,8.0,704.0,705.0,344.0,392.0,409.0,279.0,363.0,354.0,276.0,198.0,634.0,766.0,186.0,741.0,625.0,652.0,19.0
582.0,7.0,218.0,549.0,132.0,780.0,2.0,759.0,822.0,315.0,338.0,380.0,231.0,346.0,303.0,269.0,163.0,601.0,810.0,140.0,799.0,819.0,622.0,13.0
555.0,5.0,174.0,490.0,95.0,876.0,5.0,823.0,948.0,266.0,309.0,289.0,189.0,324.0,274.0,203.0,122.0,583.0,848.0,114.0,933.0,922.0,643.0,10.0
497.0,6.0,126.0,444.0,51.0,925.0,0.0,947.0,1092.0,232.0,240.0,266.0,149.0,257.0,225.0,145.0,97.0,522.0,926.0,96.0,1007.0,1143.0,598.0,9.0
451.0,2.0,99.0,361.0,50.0,915.0,3.0,938.0,1163.0,174.0,184.0,190.0,113.0,235.0,148.0,108.0,56.0,464.0,1017.0,53.0,1178.0,1489.0,605.0,4.0
377.0,1.0,52.0,256.0,25.0,839.0,0.0,837.0,1385.0,122.0,112.0,134.0,59.0,101.0,97.0,68.0,33.0,374.0,1089.0,26.0,1265.0,2284.0,462.0,2.0
