Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8444.0,1556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1556.0,8423.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,21.0,6284.0,3695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3695.0,6294.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,8.0,6944.0,1542.0,948.0,184.0,65.0,241.0,39.0,14.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1871.0,3782.0,2116.0,748.0,326.0,750.0,206.0,102.0,39.0,56.0,1.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,774.0,2260.0,2472.0,1337.0,740.0,1322.0,499.0,247.0,126.0,187.0,7.0,21.0,5.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,256.0,1244.0,1733.0,1797.0,1186.0,1800.0,797.0,449.0,271.0,374.0,21.0,44.0,19.0,8.0,1.0,0.0
0.0,0.0,0.0,0.0,92.0,634.0,1116.0,1747.0,1418.0,1749.0,1243.0,731.0,452.0,630.0,30.0,97.0,45.0,16.0,0.0,0.0
0.0,0.0,0.0,0.0,40.0,300.0,697.0,1453.0,1604.0,1328.0,1352.0,1075.0,727.0,959.0,102.0,203.0,111.0,45.0,4.0,0.0
0.0,0.0,0.0,0.0,14.0,122.0,426.0,1063.0,1404.0,1075.0,1506.0,1245.0,1071.0,1180.0,181.0,377.0,215.0,114.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,70.0,228.0,728.0,1189.0,799.0,1430.0,1504.0,1241.0,1299.0,276.0,616.0,387.0,215.0,18.0,0.0
0.0,0.0,0.0,0.0,0.0,35.0,134.0,479.0,932.0,458.0,1158.0,1424.0,1518.0,1339.0,535.0,980.0,573.0,381.0,54.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,79.0,272.0,625.0,259.0,866.0,1277.0,1493.0,1343.0,815.0,1326.0,922.0,591.0,127.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,30.0,131.0,318.0,134.0,521.0,954.0,1255.0,1087.0,1293.0,1745.0,1328.0,927.0,268.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.0,136.0,60.0,232.0,541.0,923.0,734.0,1876.0,1728.0,1707.0,1414.0,572.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,48.0,16.0,107.0,302.0,575.0,480.0,2079.0,1441.0,1894.0,1964.0,1032.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,40.0,117.0,251.0,255.0,1844.0,1037.0,1739.0,2506.0,2077.0,118.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,18.0,53.0,67.0,903.0,369.0,979.0,1668.0,5297.0,640.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,14.0,75.0,148.0,543.0,9180.0
