Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Mainz,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9997.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9838.0,95.0,30.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,145.0,5106.0,2630.0,1836.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,2663.0,3877.0,2611.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1610.0,2519.0,3606.0,2261.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,525.0,935.0,1908.0,6515.0,92.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,8.0,7.0,102.0,5976.0,3318.0,215.0,135.0,133.0,74.0,27.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,2855.0,4856.0,821.0,422.0,536.0,264.0,202.0,15.0,26.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,732.0,1258.0,2516.0,1291.0,1947.0,953.0,979.0,120.0,195.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,241.0,383.0,2050.0,1686.0,2156.0,1508.0,1209.0,317.0,405.0,43.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,76.0,122.0,1609.0,1695.0,1838.0,1737.0,1504.0,613.0,721.0,82.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,1195.0,1647.0,1372.0,1739.0,1673.0,973.0,1127.0,209.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,828.0,1367.0,1003.0,1553.0,1713.0,1477.0,1582.0,425.0,45.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,490.0,1104.0,636.0,1239.0,1483.0,2002.0,2121.0,801.0,122.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,539.0,272.0,718.0,918.0,2937.0,2162.0,1869.0,365.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,108.0,100.0,208.0,271.0,1376.0,1453.0,4801.0,1602.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,7.0,21.0,166.0,203.0,1719.0,7496.0,374.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,41.0,355.0,9599.0
