Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9758.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242.0,9586.0,129.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,161.0,6643.0,2340.0,473.0,351.0,14.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,2260.0,4717.0,1558.0,1133.0,143.0,101.0,20.0,44.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,704.0,1985.0,2840.0,2803.0,606.0,546.0,146.0,262.0,54.0,32.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,201.0,685.0,2415.0,2545.0,1415.0,1215.0,362.0,741.0,208.0,141.0,59.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,45.0,161.0,1289.0,1538.0,2090.0,1753.0,766.0,1334.0,412.0,357.0,212.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,47.0,729.0,791.0,1942.0,1823.0,1117.0,1673.0,655.0,706.0,394.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,18.0,397.0,422.0,1406.0,1625.0,1527.0,1689.0,927.0,1094.0,706.0,182.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,4.0,170.0,264.0,1045.0,1256.0,1764.0,1515.0,1139.0,1366.0,1085.0,380.0,7.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,95.0,97.0,719.0,804.0,1626.0,1179.0,1568.0,1700.0,1556.0,619.0,33.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,26.0,44.0,381.0,546.0,1316.0,873.0,1923.0,1848.0,1929.0,988.0,102.0,23.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8.0,12.0,193.0,240.0,962.0,509.0,1953.0,1695.0,2187.0,1849.0,277.0,94.0,15.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,44.0,72.0,355.0,150.0,1018.0,892.0,1434.0,4252.0,1151.0,437.0,144.0,51.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,36.0,28.0,113.0,152.0,356.0,1221.0,4274.0,2118.0,1373.0,322.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,16.0,61.0,297.0,2449.0,3956.0,2301.0,900.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,1226.0,2504.0,3709.0,2518.0,1.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,478.0,861.0,2434.0,6136.0,54.0,32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,67.0,6893.0,3017.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3051.0,6949.0
