Manchester City,Arsenal,Hull City,Chelsea,Brentford,Liverpool,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Crystal Palace,Ipswich Town,AFC Bournemouth,Nottingham Forest,Aston Villa,Tottenham Hotspur,Fulham,Coventry City
4262.0,4925.0,5.0,99.0,70.0,144.0,37.0,40.0,32.0,96.0,236.0,6.0,1.0,0.0,28.0,6.0,9.0,1.0,3.0,0.0
3603.0,3293.0,33.0,357.0,304.0,497.0,184.0,147.0,139.0,331.0,771.0,53.0,17.0,0.0,138.0,50.0,62.0,8.0,13.0,0.0
1086.0,978.0,116.0,922.0,798.0,1165.0,537.0,414.0,381.0,864.0,1611.0,170.0,55.0,1.0,399.0,191.0,226.0,27.0,59.0,0.0
475.0,376.0,218.0,993.0,932.0,1177.0,681.0,611.0,571.0,950.0,1370.0,276.0,108.0,2.0,544.0,306.0,282.0,47.0,81.0,0.0
226.0,191.0,313.0,1011.0,913.0,1107.0,722.0,660.0,590.0,944.0,1156.0,334.0,126.0,4.0,667.0,397.0,405.0,93.0,141.0,0.0
138.0,113.0,357.0,904.0,901.0,933.0,726.0,742.0,716.0,902.0,951.0,444.0,188.0,1.0,743.0,519.0,470.0,82.0,170.0,0.0
82.0,53.0,437.0,838.0,905.0,885.0,714.0,750.0,736.0,869.0,821.0,536.0,253.0,4.0,733.0,506.0,520.0,130.0,228.0,0.0
41.0,29.0,474.0,801.0,781.0,744.0,759.0,757.0,764.0,828.0,657.0,597.0,281.0,11.0,752.0,607.0,621.0,223.0,273.0,0.0
36.0,18.0,536.0,732.0,710.0,683.0,736.0,770.0,756.0,729.0,564.0,645.0,384.0,23.0,769.0,688.0,660.0,221.0,340.0,0.0
18.0,12.0,619.0,616.0,714.0,568.0,768.0,774.0,740.0,660.0,470.0,655.0,455.0,15.0,745.0,693.0,721.0,291.0,465.0,1.0
15.0,4.0,711.0,572.0,592.0,502.0,735.0,745.0,783.0,580.0,348.0,720.0,541.0,43.0,691.0,767.0,749.0,394.0,507.0,1.0
7.0,5.0,739.0,557.0,562.0,428.0,671.0,674.0,775.0,490.0,303.0,774.0,637.0,47.0,719.0,739.0,752.0,490.0,628.0,3.0
4.0,1.0,822.0,408.0,472.0,331.0,618.0,656.0,678.0,488.0,239.0,881.0,710.0,89.0,687.0,814.0,800.0,590.0,711.0,1.0
4.0,1.0,857.0,366.0,423.0,285.0,650.0,561.0,605.0,382.0,193.0,824.0,860.0,121.0,635.0,795.0,798.0,741.0,878.0,21.0
2.0,1.0,894.0,300.0,326.0,214.0,502.0,525.0,579.0,310.0,135.0,828.0,960.0,245.0,587.0,834.0,818.0,909.0,1000.0,31.0
1.0,0.0,917.0,236.0,265.0,158.0,395.0,465.0,487.0,273.0,90.0,779.0,1176.0,427.0,456.0,764.0,714.0,1166.0,1168.0,63.0
0.0,0.0,845.0,153.0,184.0,105.0,290.0,374.0,373.0,171.0,55.0,719.0,1286.0,780.0,375.0,662.0,645.0,1504.0,1313.0,166.0
0.0,0.0,764.0,103.0,110.0,63.0,191.0,244.0,216.0,98.0,28.0,522.0,1238.0,1658.0,245.0,480.0,519.0,1787.0,1256.0,478.0
0.0,0.0,304.0,28.0,34.0,9.0,73.0,79.0,72.0,29.0,2.0,196.0,619.0,4475.0,74.0,161.0,205.0,1063.0,636.0,1941.0
0.0,0.0,39.0,4.0,4.0,2.0,11.0,12.0,7.0,6.0,0.0,41.0,105.0,2054.0,13.0,21.0,24.0,233.0,130.0,7294.0
