FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Estrela,Gil Vicente,Braga,Maritimo,Académico de Viseu,Vitória de Guimaraes,C.D. Nacional,Moreirense,FC Famalicao,Rio Ave,Alverca,Estoril,Casa Pia
3067.0,3185.0,3713.0,2.0,2.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3212.0,3281.0,3324.0,7.0,3.0,2.0,8.0,158.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
3253.0,3043.0,2647.0,83.0,74.0,11.0,112.0,750.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
389.0,419.0,265.0,1292.0,853.0,357.0,1250.0,4503.0,11.0,6.0,51.0,82.0,18.0,434.0,3.0,13.0,54.0,0.0
64.0,56.0,42.0,1940.0,1500.0,824.0,1812.0,2051.0,47.0,25.0,154.0,313.0,73.0,901.0,16.0,50.0,129.0,3.0
6.0,10.0,7.0,1745.0,1580.0,1068.0,1701.0,1069.0,111.0,69.0,293.0,499.0,183.0,1192.0,49.0,120.0,294.0,4.0
8.0,4.0,2.0,1383.0,1474.0,1272.0,1410.0,614.0,199.0,101.0,455.0,660.0,281.0,1383.0,114.0,216.0,406.0,18.0
1.0,2.0,0.0,1050.0,1210.0,1312.0,1133.0,393.0,345.0,194.0,649.0,900.0,389.0,1328.0,187.0,275.0,605.0,27.0
0.0,0.0,0.0,846.0,952.0,1211.0,853.0,196.0,457.0,320.0,832.0,1059.0,551.0,1193.0,251.0,449.0,788.0,42.0
0.0,0.0,0.0,590.0,768.0,1041.0,615.0,117.0,618.0,442.0,1006.0,1087.0,730.0,1010.0,398.0,596.0,901.0,81.0
0.0,0.0,0.0,398.0,554.0,866.0,399.0,57.0,824.0,576.0,1009.0,1165.0,915.0,792.0,528.0,770.0,1001.0,146.0
0.0,0.0,0.0,243.0,413.0,654.0,260.0,36.0,1014.0,757.0,1166.0,999.0,929.0,593.0,687.0,926.0,1091.0,232.0
0.0,0.0,0.0,181.0,254.0,491.0,187.0,18.0,1106.0,933.0,1020.0,924.0,1176.0,432.0,893.0,1034.0,1027.0,324.0
0.0,0.0,0.0,129.0,169.0,377.0,131.0,5.0,1211.0,1105.0,977.0,744.0,1067.0,281.0,1046.0,1176.0,1047.0,535.0
0.0,0.0,0.0,62.0,107.0,240.0,72.0,0.0,1178.0,1332.0,886.0,582.0,1144.0,216.0,1304.0,1153.0,950.0,774.0
0.0,0.0,0.0,35.0,56.0,164.0,33.0,1.0,1219.0,1454.0,701.0,516.0,1064.0,127.0,1404.0,1266.0,768.0,1192.0
0.0,0.0,0.0,10.0,20.0,77.0,16.0,1.0,1018.0,1496.0,538.0,311.0,918.0,62.0,1771.0,1185.0,587.0,1990.0
0.0,0.0,0.0,4.0,11.0,33.0,7.0,1.0,642.0,1190.0,262.0,159.0,562.0,25.0,1349.0,771.0,352.0,4632.0
