Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,São Paulo,Vitória,Corinthians,Santos,Botafogo,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
7302.0,2690.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2666.0,7117.0,106.0,68.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,170.0,4256.0,3402.0,689.0,1306.0,4.0,108.0,8.0,6.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,19.0,3000.0,3077.0,1351.0,2013.0,35.0,288.0,50.0,44.0,2.0,0.0,9.0,108.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,3.0,1597.0,1962.0,2278.0,2602.0,139.0,677.0,190.0,148.0,4.0,12.0,36.0,339.0,1.0,12.0,0.0,0.0,0.0,0.0
0.0,1.0,678.0,950.0,2728.0,2048.0,381.0,1351.0,470.0,394.0,13.0,32.0,116.0,792.0,12.0,34.0,0.0,0.0,0.0,0.0
0.0,0.0,244.0,345.0,1510.0,1096.0,868.0,2048.0,1101.0,814.0,57.0,126.0,278.0,1351.0,30.0,129.0,2.0,1.0,0.0,0.0
0.0,0.0,77.0,121.0,722.0,490.0,1323.0,1747.0,1466.0,1242.0,114.0,311.0,473.0,1554.0,77.0,261.0,20.0,2.0,0.0,0.0
0.0,0.0,20.0,44.0,368.0,241.0,1540.0,1287.0,1459.0,1422.0,241.0,551.0,718.0,1455.0,187.0,417.0,30.0,20.0,0.0,0.0
0.0,0.0,14.0,17.0,188.0,102.0,1602.0,965.0,1379.0,1442.0,377.0,762.0,868.0,1275.0,271.0,634.0,69.0,35.0,0.0,0.0
0.0,0.0,1.0,8.0,104.0,45.0,1374.0,652.0,1238.0,1311.0,577.0,1006.0,1043.0,1018.0,509.0,938.0,113.0,57.0,6.0,0.0
0.0,0.0,2.0,3.0,31.0,18.0,1081.0,397.0,965.0,1075.0,791.0,1312.0,1340.0,796.0,726.0,1115.0,213.0,126.0,8.0,1.0
0.0,0.0,0.0,0.0,14.0,4.0,782.0,238.0,720.0,812.0,1038.0,1452.0,1453.0,570.0,990.0,1333.0,311.0,245.0,38.0,0.0
0.0,0.0,0.0,0.0,7.0,0.0,466.0,142.0,485.0,579.0,1412.0,1432.0,1256.0,363.0,1357.0,1438.0,548.0,421.0,94.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,236.0,69.0,276.0,349.0,1693.0,1250.0,1052.0,196.0,1637.0,1375.0,937.0,719.0,206.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,119.0,24.0,116.0,231.0,1740.0,899.0,745.0,111.0,1700.0,1155.0,1465.0,1245.0,447.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,41.0,5.0,52.0,97.0,1193.0,548.0,408.0,33.0,1322.0,729.0,2401.0,2188.0,954.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,23.0,31.0,604.0,258.0,167.0,15.0,829.0,340.0,2399.0,2900.0,2293.0,130.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,144.0,48.0,37.0,3.0,340.0,88.0,1401.0,1888.0,5383.0,664.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1.0,91.0,153.0,571.0,9170.0
