Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Mainz,Borussia Mönchengladbach,Werder Bremen,1. FC Union Berlin,FC Cologne,Hamburg SV,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9784.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,216.0,9089.0,256.0,340.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,622.0,4084.0,3672.0,1622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,72.0,3021.0,3682.0,3225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,2639.0,2306.0,5054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5744.0,4230.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4129.0,5636.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,127.0,134.0,5874.0,2843.0,411.0,141.0,438.0,25.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2706.0,4204.0,884.0,526.0,1176.0,393.0,111.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,1555.0,2026.0,1640.0,1921.0,1473.0,649.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,781.0,2217.0,1975.0,1937.0,1705.0,1023.0,22.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,408.0,1829.0,2231.0,1680.0,2042.0,1637.0,67.0,26.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,174.0,1592.0,1857.0,1512.0,2310.0,2286.0,168.0,94.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,985.0,1525.0,1266.0,1777.0,3651.0,534.0,227.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,105.0,70.0,273.0,630.0,4981.0,3806.0,79.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3952.0,5272.0,768.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,572.0,9153.0
