Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Getafe,Celta Vigo,Real Sociedad,Osasuna,Athletic Club,Rayo Vallecano,Valencia,Espanyol,Elche,Girona,Alavés,Mallorca,Sevilla,Levante,Real Oviedo
9993.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,9975.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.0,9477.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,505.0,9471.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,24.0,8972.0,226.0,511.0,217.0,47.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,766.0,2153.0,4470.0,1586.0,776.0,125.0,30.0,12.0,32.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,192.0,2617.0,2579.0,2451.0,1377.0,326.0,114.0,98.0,108.0,55.0,71.0,5.0,5.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,40.0,2229.0,1329.0,2412.0,1903.0,810.0,276.0,255.0,299.0,156.0,234.0,35.0,20.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,1468.0,615.0,1495.0,2337.0,1352.0,608.0,529.0,590.0,370.0,442.0,113.0,71.0,3.0,2.0,0.0
0.0,0.0,0.0,0.0,1.0,722.0,286.0,873.0,1554.0,1762.0,1073.0,912.0,796.0,783.0,792.0,250.0,181.0,8.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,355.0,140.0,468.0,903.0,1591.0,1278.0,1204.0,1064.0,1062.0,1149.0,413.0,332.0,28.0,13.0,0.0
0.0,0.0,0.0,0.0,0.0,149.0,41.0,238.0,525.0,1245.0,1387.0,1324.0,1292.0,1292.0,1180.0,674.0,569.0,47.0,37.0,0.0
0.0,0.0,0.0,0.0,0.0,57.0,20.0,142.0,299.0,1073.0,1270.0,1354.0,1418.0,1314.0,1282.0,779.0,814.0,87.0,91.0,0.0
0.0,0.0,0.0,0.0,0.0,20.0,7.0,76.0,166.0,728.0,1208.0,1399.0,1374.0,1357.0,1287.0,1023.0,979.0,216.0,160.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0,80.0,520.0,1044.0,1217.0,1195.0,1328.0,1235.0,1337.0,1354.0,319.0,331.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,32.0,305.0,875.0,968.0,951.0,1067.0,1059.0,1646.0,1745.0,676.0,662.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,607.0,547.0,619.0,838.0,806.0,2099.0,1877.0,1197.0,1253.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,208.0,161.0,220.0,297.0,352.0,1221.0,1291.0,3086.0,3031.0,113.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,42.0,53.0,85.0,389.0,706.0,4142.0,4091.0,452.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,16.0,56.0,187.0,322.0,9416.0
