Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Brentford,Fulham,Everton,Sunderland,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6567.0,3433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3433.0,6567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7439.0,1778.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2045.0,4597.0,3326.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,505.0,3442.0,5468.0,473.0,26.0,66.0,7.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,159.0,397.0,5151.0,1219.0,1556.0,451.0,690.0,267.0,92.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,20.0,26.0,2112.0,1943.0,2508.0,1032.0,1372.0,688.0,270.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,0.0,1164.0,1899.0,2108.0,1542.0,1658.0,1105.0,410.0,69.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,551.0,1696.0,1496.0,2020.0,1751.0,1593.0,632.0,156.0,95.0,10.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,346.0,1527.0,1067.0,1930.0,1709.0,1869.0,998.0,262.0,246.0,41.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,130.0,1069.0,710.0,1676.0,1689.0,2073.0,1498.0,513.0,481.0,134.0,27.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.0,473.0,368.0,904.0,800.0,1500.0,2721.0,1255.0,1312.0,492.0,138.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,125.0,97.0,333.0,255.0,627.0,1854.0,2451.0,2464.0,1248.0,514.0,23.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,21.0,18.0,96.0,60.0,243.0,1074.0,2746.0,2560.0,2048.0,1003.0,110.0,20.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,5.0,32.0,408.0,1911.0,1778.0,3319.0,2055.0,369.0,107.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,580.0,858.0,2140.0,4736.0,1108.0,534.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,144.0,487.0,1297.0,4728.0,3311.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,80.0,225.0,3660.0,6025.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8171.0,1829.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1829.0,8171.0
