Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Botafogo,Red Bull Bragantino,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Mirassol,Remo,Chapecoense
4998.0,4833.0,116.0,31.0,15.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4269.0,4380.0,800.0,268.0,149.0,93.0,16.0,18.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605.0,598.0,4293.0,1984.0,1190.0,794.0,160.0,239.0,60.0,22.0,21.0,15.0,2.0,4.0,0.0,7.0,6.0,0.0,0.0,0.0
96.0,138.0,2201.0,2599.0,1910.0,1473.0,425.0,625.0,207.0,76.0,82.0,77.0,16.0,27.0,3.0,32.0,13.0,0.0,0.0,0.0
22.0,40.0,1269.0,1881.0,2055.0,1797.0,810.0,927.0,444.0,210.0,166.0,146.0,43.0,72.0,12.0,59.0,47.0,0.0,0.0,0.0
10.0,4.0,650.0,1236.0,1594.0,1724.0,1134.0,1300.0,707.0,384.0,338.0,314.0,105.0,159.0,44.0,188.0,106.0,3.0,0.0,0.0
0.0,5.0,311.0,806.0,1116.0,1268.0,1388.0,1434.0,1051.0,585.0,511.0,454.0,195.0,263.0,82.0,325.0,198.0,8.0,0.0,0.0
0.0,1.0,177.0,479.0,752.0,952.0,1341.0,1314.0,1202.0,808.0,652.0,595.0,281.0,444.0,167.0,486.0,326.0,22.0,1.0,0.0
0.0,1.0,91.0,315.0,454.0,648.0,1174.0,1082.0,1206.0,957.0,915.0,826.0,384.0,588.0,244.0,618.0,456.0,40.0,1.0,0.0
0.0,0.0,50.0,186.0,318.0,463.0,966.0,872.0,1154.0,1032.0,1021.0,901.0,528.0,771.0,337.0,767.0,560.0,63.0,10.0,1.0
0.0,0.0,21.0,105.0,193.0,287.0,791.0,674.0,975.0,1098.0,1046.0,1005.0,656.0,887.0,476.0,910.0,751.0,110.0,15.0,0.0
0.0,0.0,11.0,49.0,113.0,198.0,595.0,512.0,863.0,1057.0,1065.0,1028.0,776.0,998.0,650.0,1022.0,865.0,167.0,27.0,4.0
0.0,0.0,4.0,31.0,65.0,134.0,427.0,393.0,673.0,939.0,1036.0,1053.0,946.0,1135.0,772.0,1106.0,973.0,247.0,62.0,4.0
0.0,0.0,2.0,14.0,36.0,82.0,299.0,221.0,549.0,830.0,971.0,981.0,1102.0,1150.0,999.0,1116.0,1176.0,371.0,95.0,6.0
0.0,0.0,3.0,11.0,28.0,42.0,232.0,189.0,406.0,731.0,803.0,899.0,1256.0,1138.0,1217.0,1034.0,1204.0,585.0,189.0,33.0
0.0,0.0,1.0,3.0,6.0,24.0,138.0,106.0,253.0,573.0,672.0,748.0,1348.0,952.0,1542.0,948.0,1300.0,939.0,366.0,81.0
0.0,0.0,0.0,2.0,6.0,11.0,73.0,65.0,161.0,419.0,405.0,587.0,1230.0,821.0,1712.0,794.0,1099.0,1692.0,748.0,175.0
0.0,0.0,0.0,0.0,0.0,4.0,27.0,20.0,71.0,203.0,218.0,281.0,811.0,427.0,1184.0,413.0,657.0,3132.0,1940.0,612.0
0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,12.0,69.0,71.0,79.0,287.0,142.0,489.0,150.0,230.0,1991.0,4408.0,2060.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,11.0,34.0,22.0,70.0,25.0,33.0,630.0,2138.0,7024.0
