AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
862.0,6938.0,453.0,803.0,31.0,10.0,425.0,17.0,416.0,26.0,12.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0
2011.0,1751.0,1277.0,2057.0,174.0,41.0,1192.0,97.0,1091.0,140.0,108.0,3.0,27.0,1.0,0.0,0.0,30.0,0.0
1833.0,714.0,1409.0,1823.0,390.0,98.0,1485.0,202.0,1406.0,311.0,197.0,10.0,65.0,1.0,0.0,0.0,56.0,0.0
1497.0,308.0,1583.0,1538.0,535.0,167.0,1501.0,388.0,1377.0,465.0,368.0,29.0,113.0,5.0,0.0,0.0,126.0,0.0
1162.0,171.0,1363.0,1190.0,779.0,292.0,1376.0,548.0,1406.0,641.0,558.0,55.0,217.0,17.0,1.0,0.0,224.0,0.0
901.0,61.0,1129.0,856.0,959.0,471.0,1199.0,783.0,1244.0,839.0,717.0,131.0,284.0,53.0,0.0,0.0,373.0,0.0
641.0,29.0,886.0,645.0,1208.0,627.0,887.0,988.0,954.0,999.0,934.0,169.0,458.0,64.0,1.0,2.0,508.0,0.0
404.0,15.0,680.0,422.0,1212.0,837.0,704.0,1054.0,693.0,1145.0,1032.0,312.0,623.0,136.0,3.0,0.0,728.0,0.0
280.0,8.0,474.0,270.0,1161.0,1030.0,501.0,1122.0,520.0,1165.0,1133.0,442.0,821.0,185.0,6.0,6.0,876.0,0.0
167.0,3.0,324.0,169.0,1001.0,1152.0,305.0,1099.0,356.0,1093.0,1230.0,663.0,1013.0,329.0,12.0,8.0,1075.0,1.0
118.0,2.0,199.0,114.0,894.0,1233.0,197.0,1068.0,250.0,1004.0,1076.0,889.0,1196.0,520.0,35.0,19.0,1183.0,3.0
74.0,0.0,127.0,62.0,656.0,1200.0,128.0,930.0,154.0,850.0,972.0,1250.0,1307.0,877.0,59.0,54.0,1300.0,0.0
31.0,0.0,68.0,31.0,518.0,1201.0,68.0,798.0,78.0,636.0,808.0,1553.0,1375.0,1226.0,145.0,121.0,1340.0,3.0
16.0,0.0,17.0,17.0,325.0,917.0,19.0,555.0,40.0,427.0,540.0,2006.0,1274.0,1963.0,425.0,300.0,1128.0,31.0
3.0,0.0,9.0,3.0,139.0,542.0,11.0,291.0,14.0,218.0,273.0,1739.0,917.0,2909.0,1076.0,936.0,779.0,141.0
0.0,0.0,2.0,0.0,15.0,156.0,2.0,54.0,1.0,35.0,34.0,586.0,237.0,1211.0,3550.0,3091.0,215.0,811.0
0.0,0.0,0.0,0.0,3.0,23.0,0.0,6.0,0.0,6.0,7.0,148.0,64.0,428.0,3285.0,3781.0,50.0,2199.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,15.0,6.0,75.0,1402.0,1682.0,5.0,6811.0
