FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
3917.0,4228.0,4.0,4.0,1726.0,14.0,0.0,2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3373.0,3345.0,20.0,13.0,2735.0,111.0,3.0,4.0,385.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
2110.0,1942.0,140.0,78.0,3926.0,440.0,4.0,28.0,1220.0,6.0,9.0,8.0,2.0,79.0,0.0,4.0,4.0,0.0
456.0,407.0,891.0,517.0,1130.0,1840.0,90.0,208.0,3626.0,94.0,145.0,61.0,20.0,442.0,2.0,22.0,49.0,0.0
108.0,64.0,1487.0,1043.0,318.0,2216.0,231.0,468.0,1991.0,222.0,380.0,208.0,58.0,949.0,6.0,73.0,176.0,2.0
29.0,8.0,1550.0,1334.0,109.0,1695.0,410.0,708.0,1079.0,429.0,585.0,363.0,104.0,1158.0,8.0,158.0,264.0,9.0
7.0,3.0,1310.0,1284.0,31.0,1149.0,533.0,914.0,634.0,548.0,809.0,549.0,201.0,1298.0,18.0,256.0,443.0,13.0
0.0,3.0,1170.0,1188.0,12.0,777.0,675.0,917.0,409.0,693.0,984.0,672.0,296.0,1215.0,48.0,359.0,554.0,28.0
0.0,0.0,894.0,1034.0,8.0,566.0,874.0,1085.0,216.0,772.0,991.0,830.0,395.0,1071.0,54.0,496.0,672.0,42.0
0.0,0.0,732.0,938.0,5.0,404.0,955.0,1085.0,128.0,912.0,955.0,877.0,473.0,923.0,88.0,635.0,809.0,81.0
0.0,0.0,599.0,762.0,0.0,272.0,997.0,914.0,85.0,999.0,1045.0,978.0,658.0,810.0,167.0,707.0,882.0,125.0
0.0,0.0,409.0,607.0,0.0,195.0,1045.0,906.0,48.0,1008.0,989.0,1057.0,770.0,670.0,263.0,838.0,991.0,204.0
0.0,0.0,310.0,468.0,0.0,132.0,994.0,785.0,38.0,1031.0,924.0,1000.0,994.0,506.0,400.0,1037.0,1065.0,316.0
0.0,0.0,203.0,313.0,0.0,88.0,1004.0,709.0,17.0,1000.0,766.0,975.0,1171.0,392.0,587.0,1197.0,1100.0,478.0
0.0,0.0,167.0,231.0,0.0,65.0,903.0,560.0,11.0,889.0,617.0,935.0,1375.0,238.0,887.0,1352.0,1054.0,716.0
0.0,0.0,86.0,118.0,0.0,25.0,708.0,375.0,7.0,770.0,446.0,748.0,1478.0,156.0,1578.0,1255.0,988.0,1262.0
0.0,0.0,23.0,54.0,0.0,11.0,402.0,240.0,0.0,427.0,250.0,527.0,1227.0,63.0,2592.0,1033.0,672.0,2479.0
0.0,0.0,5.0,14.0,0.0,0.0,172.0,92.0,1.0,200.0,105.0,212.0,778.0,19.0,3302.0,578.0,277.0,4245.0
