AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
1990.0,4816.0,305.0,941.0,322.0,62.0,33.0,1270.0,3.0,234.0,14.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
2334.0,2258.0,660.0,1579.0,583.0,162.0,93.0,1716.0,3.0,546.0,25.0,11.0,2.0,4.0,15.0,3.0,3.0,0.0,0.0,3.0
1760.0,1262.0,982.0,1708.0,947.0,304.0,202.0,1778.0,17.0,827.0,83.0,43.0,4.0,9.0,54.0,7.0,5.0,0.0,0.0,8.0
1340.0,729.0,1197.0,1537.0,1216.0,524.0,329.0,1556.0,37.0,1109.0,179.0,65.0,18.0,19.0,91.0,26.0,7.0,0.0,0.0,21.0
959.0,436.0,1350.0,1273.0,1306.0,724.0,496.0,1227.0,66.0,1358.0,317.0,119.0,43.0,34.0,167.0,71.0,12.0,1.0,0.0,41.0
642.0,234.0,1367.0,999.0,1396.0,967.0,701.0,880.0,131.0,1344.0,483.0,235.0,51.0,62.0,281.0,100.0,44.0,1.0,0.0,82.0
423.0,128.0,1129.0,712.0,1261.0,1174.0,956.0,631.0,273.0,1170.0,668.0,380.0,110.0,137.0,450.0,178.0,61.0,1.0,0.0,158.0
240.0,77.0,916.0,488.0,988.0,1254.0,1125.0,386.0,368.0,1011.0,822.0,575.0,187.0,213.0,690.0,302.0,112.0,4.0,2.0,240.0
142.0,30.0,671.0,313.0,647.0,1190.0,1160.0,245.0,540.0,820.0,1017.0,749.0,341.0,344.0,811.0,441.0,198.0,5.0,1.0,335.0
84.0,17.0,537.0,193.0,505.0,943.0,1046.0,138.0,717.0,520.0,1142.0,894.0,501.0,448.0,940.0,602.0,283.0,18.0,4.0,468.0
40.0,7.0,321.0,105.0,297.0,778.0,928.0,85.0,952.0,408.0,1072.0,1007.0,628.0,616.0,1031.0,707.0,367.0,25.0,6.0,620.0
25.0,1.0,218.0,72.0,214.0,604.0,817.0,40.0,915.0,250.0,1024.0,1038.0,783.0,773.0,1007.0,832.0,537.0,54.0,8.0,788.0
13.0,1.0,129.0,40.0,148.0,484.0,626.0,28.0,1031.0,169.0,874.0,1002.0,913.0,899.0,1014.0,955.0,678.0,109.0,26.0,861.0
6.0,3.0,97.0,18.0,73.0,322.0,540.0,10.0,1023.0,111.0,722.0,970.0,1070.0,1047.0,907.0,1035.0,842.0,140.0,57.0,1007.0
2.0,1.0,68.0,17.0,49.0,202.0,355.0,4.0,1030.0,72.0,573.0,924.0,1138.0,1093.0,836.0,1141.0,1039.0,245.0,81.0,1130.0
0.0,0.0,32.0,3.0,27.0,146.0,279.0,3.0,989.0,22.0,398.0,722.0,1191.0,1214.0,668.0,1116.0,1329.0,431.0,172.0,1258.0
0.0,0.0,16.0,0.0,15.0,102.0,163.0,0.0,866.0,22.0,313.0,627.0,1278.0,1235.0,499.0,1055.0,1533.0,728.0,382.0,1166.0
0.0,0.0,4.0,2.0,6.0,46.0,115.0,3.0,651.0,7.0,188.0,433.0,1066.0,1131.0,350.0,898.0,1713.0,1467.0,871.0,1049.0
0.0,0.0,1.0,0.0,0.0,11.0,34.0,0.0,293.0,0.0,65.0,169.0,512.0,569.0,158.0,409.0,950.0,3674.0,2590.0,565.0
0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,95.0,0.0,21.0,34.0,163.0,153.0,26.0,121.0,287.0,3097.0,5800.0,200.0
