Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,Corinthians,São Paulo,Botafogo,Vitória,Santos,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
3589.0,6367.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6068.0,3486.0,364.0,55.0,5.0,18.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311.0,140.0,6195.0,2110.0,254.0,723.0,51.0,169.0,20.0,2.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,7.0,2176.0,3986.0,898.0,1659.0,226.0,620.0,183.0,21.0,20.0,167.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,765.0,1958.0,1905.0,2369.0,573.0,1339.0,489.0,69.0,83.0,421.0,4.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,268.0,983.0,1984.0,1956.0,998.0,1748.0,808.0,169.0,216.0,756.0,7.0,58.0,23.0,19.0,1.0,4.0,0.0,0.0
0.0,0.0,126.0,470.0,1716.0,1277.0,1294.0,1785.0,1233.0,390.0,351.0,1131.0,18.0,104.0,64.0,34.0,4.0,3.0,0.0,0.0
0.0,0.0,46.0,247.0,1257.0,833.0,1520.0,1502.0,1481.0,628.0,600.0,1358.0,60.0,214.0,136.0,86.0,16.0,15.0,1.0,0.0
0.0,0.0,11.0,110.0,867.0,547.0,1536.0,1106.0,1633.0,976.0,897.0,1386.0,91.0,365.0,242.0,161.0,34.0,35.0,3.0,0.0
0.0,0.0,7.0,49.0,552.0,323.0,1372.0,721.0,1406.0,1271.0,1201.0,1440.0,182.0,524.0,475.0,319.0,92.0,60.0,6.0,0.0
0.0,0.0,2.0,14.0,289.0,172.0,992.0,454.0,1073.0,1578.0,1527.0,1203.0,362.0,826.0,685.0,504.0,152.0,152.0,15.0,0.0
0.0,0.0,0.0,10.0,164.0,69.0,662.0,280.0,734.0,1491.0,1534.0,891.0,559.0,1143.0,1043.0,784.0,305.0,303.0,28.0,0.0
0.0,0.0,0.0,3.0,77.0,35.0,393.0,153.0,458.0,1293.0,1248.0,545.0,844.0,1388.0,1413.0,1097.0,462.0,516.0,75.0,0.0
0.0,0.0,0.0,1.0,22.0,11.0,214.0,80.0,247.0,897.0,916.0,342.0,1158.0,1363.0,1535.0,1458.0,769.0,817.0,170.0,0.0
0.0,0.0,0.0,0.0,8.0,5.0,107.0,25.0,117.0,595.0,634.0,181.0,1388.0,1348.0,1423.0,1553.0,1092.0,1202.0,322.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,38.0,11.0,65.0,364.0,420.0,95.0,1583.0,1118.0,1158.0,1500.0,1509.0,1485.0,650.0,1.0
0.0,0.0,0.0,0.0,1.0,1.0,19.0,3.0,42.0,150.0,233.0,45.0,1657.0,811.0,949.0,1225.0,1970.0,1832.0,1060.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,89.0,98.0,11.0,1418.0,508.0,588.0,892.0,2088.0,2142.0,2129.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,21.0,4.0,663.0,212.0,253.0,367.0,1489.0,1418.0,5386.0,169.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,17.0,16.0,155.0,9806.0
