Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
4188.0,4586.0,20.0,180.0,133.0,62.0,52.0,41.0,149.0,386.0,13.0,0.0,91.0,46.0,27.0,3.0,0.0,1.0,20.0,2.0
3125.0,3143.0,78.0,510.0,423.0,217.0,209.0,170.0,430.0,911.0,69.0,0.0,329.0,168.0,94.0,27.0,0.0,3.0,87.0,7.0
1239.0,1116.0,163.0,1035.0,891.0,549.0,448.0,405.0,920.0,1454.0,135.0,3.0,647.0,415.0,235.0,82.0,0.0,29.0,207.0,27.0
633.0,496.0,278.0,1076.0,974.0,650.0,590.0,537.0,990.0,1275.0,273.0,4.0,816.0,518.0,339.0,158.0,0.0,54.0,309.0,30.0
319.0,243.0,378.0,1043.0,978.0,670.0,679.0,634.0,1004.0,1123.0,346.0,7.0,799.0,596.0,443.0,210.0,0.0,65.0,385.0,78.0
171.0,139.0,435.0,946.0,887.0,799.0,688.0,692.0,891.0,931.0,417.0,16.0,822.0,643.0,546.0,300.0,0.0,106.0,474.0,97.0
123.0,89.0,528.0,839.0,821.0,793.0,727.0,702.0,817.0,803.0,485.0,22.0,857.0,703.0,575.0,329.0,0.0,151.0,497.0,139.0
74.0,64.0,587.0,803.0,738.0,746.0,753.0,676.0,755.0,667.0,526.0,36.0,791.0,757.0,634.0,423.0,2.0,162.0,629.0,177.0
32.0,53.0,631.0,678.0,706.0,748.0,778.0,712.0,716.0,556.0,591.0,44.0,782.0,723.0,676.0,459.0,3.0,258.0,648.0,206.0
37.0,18.0,689.0,588.0,633.0,720.0,776.0,699.0,662.0,435.0,701.0,72.0,722.0,741.0,697.0,548.0,1.0,282.0,678.0,301.0
26.0,17.0,688.0,543.0,574.0,686.0,672.0,729.0,596.0,393.0,753.0,109.0,666.0,728.0,762.0,606.0,1.0,353.0,724.0,374.0
14.0,13.0,698.0,453.0,533.0,668.0,710.0,726.0,480.0,292.0,773.0,142.0,595.0,734.0,751.0,707.0,5.0,453.0,761.0,492.0
9.0,12.0,791.0,361.0,431.0,612.0,650.0,708.0,420.0,245.0,859.0,222.0,520.0,738.0,727.0,799.0,7.0,568.0,764.0,557.0
4.0,1.0,815.0,271.0,376.0,557.0,611.0,605.0,392.0,179.0,779.0,326.0,455.0,648.0,813.0,914.0,14.0,747.0,767.0,726.0
3.0,4.0,825.0,264.0,320.0,487.0,524.0,607.0,291.0,148.0,844.0,428.0,396.0,556.0,742.0,972.0,32.0,887.0,830.0,840.0
1.0,4.0,793.0,170.0,237.0,420.0,452.0,527.0,186.0,87.0,786.0,732.0,313.0,502.0,678.0,999.0,90.0,1141.0,758.0,1124.0
1.0,1.0,738.0,122.0,201.0,333.0,339.0,408.0,158.0,66.0,723.0,1129.0,199.0,429.0,562.0,994.0,175.0,1393.0,605.0,1424.0
0.0,1.0,531.0,86.0,89.0,192.0,239.0,277.0,86.0,37.0,583.0,1944.0,134.0,242.0,457.0,855.0,463.0,1595.0,547.0,1642.0
1.0,0.0,295.0,31.0,51.0,81.0,86.0,130.0,55.0,11.0,296.0,3527.0,61.0,101.0,209.0,520.0,1487.0,1376.0,273.0,1409.0
0.0,0.0,39.0,1.0,4.0,10.0,17.0,15.0,2.0,1.0,48.0,1237.0,5.0,12.0,33.0,95.0,7720.0,376.0,37.0,348.0
