Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
8420.0,16.0,5.0,290.0,991.0,0.0,6.0,9.0,4.0,7.0,0.0,96.0,41.0,1.0,0.0,2.0,0.0,112.0
1162.0,330.0,130.0,1817.0,4006.0,15.0,80.0,159.0,58.0,100.0,0.0,757.0,435.0,31.0,5.0,40.0,0.0,875.0
277.0,644.0,302.0,2069.0,2074.0,56.0,233.0,363.0,130.0,228.0,2.0,1262.0,795.0,91.0,20.0,124.0,0.0,1330.0
88.0,837.0,468.0,1539.0,1168.0,126.0,344.0,545.0,257.0,376.0,11.0,1437.0,950.0,174.0,54.0,219.0,0.0,1407.0
36.0,975.0,597.0,1229.0,668.0,209.0,526.0,709.0,345.0,493.0,17.0,1245.0,1051.0,259.0,80.0,290.0,0.0,1271.0
9.0,1000.0,692.0,879.0,406.0,280.0,664.0,805.0,443.0,584.0,31.0,1107.0,1082.0,369.0,144.0,425.0,0.0,1080.0
4.0,950.0,789.0,587.0,261.0,361.0,755.0,889.0,537.0,712.0,51.0,927.0,998.0,485.0,221.0,560.0,2.0,911.0
2.0,945.0,830.0,486.0,173.0,462.0,788.0,939.0,694.0,752.0,77.0,764.0,917.0,608.0,268.0,580.0,0.0,715.0
0.0,811.0,872.0,360.0,104.0,580.0,834.0,921.0,778.0,811.0,115.0,602.0,827.0,683.0,387.0,710.0,6.0,599.0
2.0,729.0,908.0,247.0,59.0,665.0,931.0,863.0,847.0,868.0,155.0,483.0,669.0,797.0,483.0,827.0,6.0,461.0
0.0,680.0,822.0,176.0,38.0,745.0,874.0,830.0,912.0,882.0,261.0,418.0,643.0,830.0,638.0,870.0,15.0,366.0
0.0,577.0,829.0,117.0,26.0,917.0,868.0,760.0,937.0,948.0,413.0,313.0,483.0,905.0,686.0,908.0,28.0,285.0
0.0,474.0,780.0,88.0,15.0,1020.0,836.0,699.0,959.0,861.0,503.0,224.0,363.0,940.0,935.0,994.0,64.0,245.0
0.0,420.0,681.0,58.0,7.0,1102.0,800.0,514.0,930.0,780.0,793.0,153.0,314.0,1056.0,1135.0,974.0,131.0,152.0
0.0,294.0,584.0,39.0,2.0,1192.0,635.0,428.0,889.0,679.0,1196.0,106.0,203.0,1052.0,1420.0,949.0,230.0,102.0
0.0,201.0,451.0,13.0,2.0,1215.0,536.0,332.0,735.0,522.0,1866.0,75.0,163.0,923.0,1571.0,824.0,513.0,58.0
0.0,105.0,225.0,5.0,0.0,857.0,240.0,203.0,437.0,323.0,3171.0,29.0,58.0,642.0,1504.0,593.0,1579.0,29.0
0.0,12.0,35.0,1.0,0.0,198.0,50.0,32.0,108.0,74.0,1338.0,2.0,8.0,154.0,449.0,111.0,7426.0,2.0
