Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
243.0,247.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,215.0,45.0,12.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,31.0,223.0,92.0,52.0,50.0,6.0,8.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,112.0,134.0,114.0,74.0,13.0,6.0,11.0,4.0,11.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,49.0,106.0,107.0,97.0,30.0,22.0,32.0,13.0,15.0,13.0,4.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0
1.0,1.0,30.0,63.0,85.0,91.0,51.0,42.0,48.0,15.0,23.0,12.0,8.0,5.0,2.0,13.0,9.0,0.0,1.0,0.0
0.0,0.0,19.0,36.0,46.0,69.0,60.0,62.0,65.0,36.0,28.0,21.0,8.0,11.0,8.0,19.0,9.0,2.0,1.0,0.0
0.0,1.0,7.0,25.0,35.0,38.0,57.0,62.0,60.0,46.0,44.0,40.0,12.0,22.0,7.0,20.0,22.0,1.0,1.0,0.0
0.0,0.0,6.0,13.0,24.0,20.0,58.0,52.0,57.0,39.0,51.0,48.0,23.0,36.0,10.0,36.0,24.0,1.0,2.0,0.0
0.0,0.0,3.0,7.0,14.0,14.0,48.0,54.0,44.0,53.0,58.0,48.0,28.0,34.0,19.0,37.0,33.0,3.0,3.0,0.0
0.0,0.0,0.0,4.0,8.0,17.0,47.0,52.0,36.0,49.0,48.0,38.0,47.0,45.0,22.0,43.0,37.0,3.0,4.0,0.0
0.0,0.0,0.0,4.0,3.0,9.0,33.0,43.0,33.0,47.0,56.0,42.0,48.0,55.0,32.0,44.0,42.0,3.0,5.0,1.0
0.0,0.0,0.0,1.0,3.0,5.0,27.0,24.0,27.0,42.0,48.0,59.0,52.0,56.0,37.0,45.0,52.0,9.0,13.0,0.0
0.0,0.0,1.0,0.0,0.0,7.0,25.0,25.0,29.0,48.0,33.0,37.0,56.0,49.0,45.0,63.0,60.0,12.0,10.0,0.0
0.0,0.0,0.0,1.0,2.0,3.0,18.0,19.0,15.0,40.0,31.0,35.0,57.0,49.0,63.0,58.0,54.0,30.0,25.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,9.0,15.0,17.0,30.0,28.0,38.0,55.0,50.0,74.0,46.0,49.0,47.0,39.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,14.0,20.0,12.0,32.0,50.0,43.0,71.0,38.0,51.0,71.0,77.0,4.0
0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,7.0,13.0,10.0,20.0,33.0,21.0,70.0,23.0,36.0,106.0,135.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,4.0,10.0,16.0,19.0,37.0,7.0,19.0,173.0,151.0,55.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,39.0,33.0,423.0
