Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Espanyol,Valencia,Elche,Mallorca,Girona,Alavés,Sevilla,Levante,Real Oviedo
500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,499.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,469.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,30.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,448.0,26.0,13.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,45.0,230.0,96.0,23.0,79.0,22.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,124.0,143.0,43.0,127.0,44.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,59.0,125.0,88.0,123.0,70.0,10.0,10.0,2.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,40.0,64.0,105.0,67.0,122.0,29.0,25.0,4.0,19.0,21.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,17.0,33.0,104.0,51.0,106.0,40.0,46.0,19.0,37.0,32.0,13.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,17.0,59.0,27.0,65.0,85.0,54.0,19.0,83.0,56.0,27.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,7.0,49.0,9.0,31.0,85.0,85.0,35.0,74.0,61.0,43.0,13.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,4.0,22.0,59.0,86.0,60.0,72.0,88.0,54.0,23.0,7.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,11.0,63.0,63.0,94.0,55.0,73.0,89.0,32.0,10.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,46.0,62.0,96.0,49.0,67.0,80.0,63.0,20.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,40.0,90.0,47.0,51.0,85.0,104.0,28.0,13.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,63.0,43.0,35.0,70.0,141.0,66.0,37.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,16.0,11.0,10.0,30.0,89.0,225.0,102.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,29.0,127.0,294.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,452.0
